,Station,Easting,Northing,Elevation,Alignment_Station_int
961,206+280,2612868.4623,1268257.0216,214.935,206280.0
963,206+283,2612869.9524,1268254.4179,214.86,206283.0
965,206+286,2612871.4425,1268251.8141,214.785,206286.0
967,206+289,2612872.9326,1268249.2103,214.71,206289.0
969,206+292,2612874.4227,1268246.6066,214.635,206292.0
971,206+295,2612875.9128,1268244.0028,214.56,206295.0
973,206+298,2612877.4029,1268241.399,214.485,206298.0
975,206+301,2612878.893,1268238.7953,214.41,206301.0
977,206+304,2612880.3831,1268236.1915,214.335,206304.0
979,206+306.711,2612881.7295,1268233.8388,214.268,206306.711
981,206+307,2612881.8732,1268233.5877,214.26,206307.0
983,206+310,2612883.3634,1268230.984,214.185,206310.0
985,206+313,2612884.8537,1268228.3804,214.11,206313.0
987,206+316,2612886.3445,1268225.777,214.035,206316.0
989,206+319,2612887.8358,1268223.1739,213.96,206319.0
991,206+322,2612889.3279,1268220.5713,213.885,206322.0
993,206+325,2612890.821,1268217.9693,213.81,206325.0
995,206+328,2612892.3153,1268215.3679,213.735,206328.0
997,206+331,2612893.8109,1268212.7673,213.66,206331.0
999,206+334,2612895.3081,1268210.1676,213.585,206334.0
1001,206+337,2612896.807,1268207.5689,213.51,206337.0
1003,206+340,2612898.3078,1268204.9713,213.435,206340.0
1005,206+343,2612899.8108,1268202.3749,213.36,206343.0
1007,206+346,2612901.316,1268199.7799,213.285,206346.0
1009,206+349,2612902.8238,1268197.1863,213.21,206349.0
1011,206+352,2612904.3342,1268194.5943,213.135,206352.0
1013,206+355,2612905.8475,1268192.0039,213.06,206355.0
1015,206+358,2612907.3639,1268189.4154,212.985,206358.0
1017,206+361,2612908.8836,1268186.8287,212.91,206361.0
1019,206+364,2612910.4066,1268184.2441,212.835,206364.0
1021,206+367,2612911.9333,1268181.6616,212.76,206367.0
1023,206+370,2612913.4638,1268179.0814,212.685,206370.0
1025,206+373,2612914.9983,1268176.5035,212.61,206373.0
1027,206+376,2612916.537,1268173.9282,212.535,206376.0
1029,206+379,2612918.08,1268171.3554,212.46,206379.0
1031,206+382,2612919.6276,1268168.7854,212.385,206382.0
1033,206+385,2612921.18,1268166.2183,212.31,206385.0
1035,206+388,2612922.7372,1268163.6541,212.235,206388.0
1037,206+391,2612924.2996,1268161.0931,212.16,206391.0
1039,206+393.67,2612925.6945,1268158.8164,212.094,206393.67
1041,206+394,2612925.8672,1268158.5352,212.085,206394.0
1043,206+397,2612927.4403,1268155.9807,212.011,206397.0
1045,206+400,2612929.0191,1268153.4298,211.937,206400.0
1047,206+403,2612930.6036,1268150.8824,211.864,206403.0
1049,206+406,2612932.1942,1268148.3387,211.791,206406.0
1051,206+409,2612933.791,1268145.799,211.72,206409.0
1053,206+412,2612935.3941,1268143.2632,211.649,206412.0
1055,206+415,2612937.0037,1268140.7316,211.579,206415.0
1057,206+418,2612938.6201,1268138.2043,211.509,206418.0
1059,206+421,2612940.2433,1268135.6814,211.44,206421.0
1061,206+424,2612941.8736,1268133.163,211.372,206424.0
1063,206+427,2612943.5111,1268130.6494,211.305,206427.0
1065,206+430,2612945.156,1268128.1405,211.238,206430.0
1067,206+433,2612946.8085,1268125.6367,211.172,206433.0
1069,206+436,2612948.4687,1268123.1379,211.107,206436.0
1071,206+439,2612950.1368,1268120.6445,211.043,206439.0
1073,206+442,2612951.813,1268118.1564,210.979,206442.0
1075,206+445,2612953.4975,1268115.6739,210.916,206445.0
1077,206+448,2612955.1903,1268113.1972,210.853,206448.0
1079,206+451,2612956.8917,1268110.7263,210.792,206451.0
1081,206+454,2612958.6018,1268108.2614,210.731,206454.0
1083,206+454.301,2612958.7738,1268108.0144,210.725,206454.301
1085,206+457,2612960.3209,1268105.8024,210.671,206457.0
1087,206+460,2612962.0488,1268103.35,210.611,206460.0
1089,206+463,2612963.7855,1268100.9038,210.553,206463.0
1091,206+466,2612965.531,1268098.4639,210.495,206466.0
1093,206+469,2612967.2853,1268096.0303,210.437,206469.0
1095,206+472,2612969.0484,1268093.6031,210.381,206472.0
1097,206+475,2612970.8203,1268091.1822,210.325,206475.0
1099,206+478,2612972.6009,1268088.7678,210.27,206478.0
1101,206+481,2612974.3902,1268086.3598,210.216,206481.0
1103,206+484,2612976.1883,1268083.9584,210.162,206484.0
1105,206+487,2612977.9949,1268081.5634,210.109,206487.0
1107,206+490,2612979.8103,1268079.175,210.057,206490.0
1109,206+493,2612981.6342,1268076.7931,210.005,206493.0
1111,206+496,2612983.4668,1268074.4179,209.954,206496.0
1113,206+499,2612985.3079,1268072.0493,209.904,206499.0
1115,206+502,2612987.1576,1268069.6874,209.855,206502.0
1117,206+505,2612989.0158,1268067.3321,209.806,206505.0
1119,206+508,2612990.8825,1268064.9836,209.758,206508.0
1121,206+511,2612992.7577,1268062.6419,209.711,206511.0
1123,206+514,2612994.6413,1268060.307,209.665,206514.0
1125,206+517,2612996.5333,1268057.9789,209.619,206517.0
1127,206+520,2612998.4338,1268055.6576,209.574,206520.0
1129,206+523,2613000.3426,1268053.3432,209.53,206523.0
1131,206+526,2613002.2598,1268051.0358,209.486,206526.0
1133,206+529,2613004.1853,1268048.7352,209.443,206529.0
1135,206+532,2613006.1191,1268046.4417,209.401,206532.0
1137,206+535,2613008.0612,1268044.1552,209.36,206535.0
1139,206+538,2613010.0116,1268041.8757,209.319,206538.0
1141,206+541,2613011.9702,1268039.6032,209.279,206541.0
1143,206+544,2613013.9369,1268037.3379,209.24,206544.0
1145,206+547,2613015.9119,1268035.0796,209.201,206547.0
1147,206+550,2613017.895,1268032.8286,209.163,206550.0
1149,206+553,2613019.8862,1268030.5847,209.126,206553.0
1151,206+556,2613021.8855,1268028.348,209.09,206556.0
1153,206+559,2613023.8929,1268026.1186,209.054,206559.0
1155,206+562,2613025.9084,1268023.8964,209.019,206562.0
1157,206+565,2613027.9318,1268021.6816,208.985,206565.0
1159,206+568,2613029.9633,1268019.474,208.952,206568.0
1161,206+571,2613032.0027,1268017.2738,208.919,206571.0
1163,206+574,2613034.05,1268015.081,208.887,206574.0
1165,206+577,2613036.1053,1268012.8957,208.856,206577.0
1167,206+580,2613038.1684,1268010.7177,208.825,206580.0
1169,206+583,2613040.2394,1268008.5473,208.795,206583.0
1171,206+586,2613042.3183,1268006.3843,208.766,206586.0
1173,206+589,2613044.4049,1268004.2289,208.737,206589.0
1175,206+592,2613046.4993,1268002.081,208.71,206592.0
1177,206+595,2613048.6015,1267999.9407,208.683,206595.0
1179,206+598,2613050.7114,1267997.808,208.656,206598.0
1181,206+601,2613052.829,1267995.683,208.631,206601.0
1183,206+604,2613054.9542,1267993.5656,208.606,206604.0
1185,206+607,2613057.0871,1267991.4559,208.582,206607.0
1187,206+610,2613059.2276,1267989.3539,208.558,206610.0
1189,206+613,2613061.3757,1267987.2597,208.536,206613.0
1191,206+616,2613063.5314,1267985.1733,208.514,206616.0
1193,206+619,2613065.6946,1267983.0947,208.493,206619.0
1195,206+622,2613067.8652,1267981.0239,208.472,206622.0
1197,206+625,2613070.0434,1267978.961,208.452,206625.0
1199,206+628,2613072.2289,1267976.9059,208.433,206628.0
1201,206+631,2613074.4219,1267974.8588,208.415,206631.0
1203,206+634,2613076.6223,1267972.8196,208.397,206634.0
1205,206+637,2613078.8301,1267970.7884,208.38,206637.0
1207,206+640,2613081.0451,1267968.7651,208.364,206640.0
1209,206+643,2613083.2675,1267966.7499,208.348,206643.0
1211,206+643.615,2613083.7237,1267966.338,208.345,206643.615
1213,206+646,2613085.4971,1267964.7427,208.333,206646.0
1215,206+649,2613087.734,1267962.7436,208.319,206649.0
1217,206+652,2613089.9781,1267960.7526,208.304,206652.0
1219,206+655,2613092.2293,1267958.7698,208.289,206655.0
1221,206+658,2613094.4878,1267956.795,208.274,206658.0
1223,206+661,2613096.7533,1267954.8285,208.259,206661.0
1225,206+664,2613099.0259,1267952.8701,208.244,206664.0
1227,206+667,2613101.3056,1267950.92,208.229,206667.0
1229,206+670,2613103.5924,1267948.9782,208.214,206670.0
1231,206+673,2613105.8861,1267947.0446,208.199,206673.0
1233,206+676,2613108.1868,1267945.1193,208.184,206676.0
1235,206+679,2613110.4945,1267943.2023,208.169,206679.0
1237,206+682,2613112.809,1267941.2937,208.154,206682.0
1239,206+685,2613115.1305,1267939.3935,208.139,206685.0
1241,206+688,2613117.4588,1267937.5017,208.124,206688.0
1243,206+691,2613119.7939,1267935.6183,208.109,206691.0
1245,206+694,2613122.1358,1267933.7433,208.094,206694.0
1247,206+697,2613124.4845,1267931.8769,208.079,206697.0
1249,206+700,2613126.8399,1267930.0189,208.064,206700.0
1251,206+703,2613129.202,1267928.1695,208.049,206703.0
1253,206+706,2613131.5708,1267926.3286,208.034,206706.0
1255,206+709,2613133.9462,1267924.4963,208.019,206709.0
1257,206+712,2613136.3282,1267922.6725,208.004,206712.0
1259,206+715,2613138.7169,1267920.8574,207.989,206715.0
1261,206+718,2613141.112,1267919.051,207.974,206718.0
1263,206+721,2613143.5137,1267917.2532,207.959,206721.0
1265,206+724,2613145.9218,1267915.4641,207.944,206724.0
1267,206+727,2613148.3364,1267913.6837,207.929,206727.0
1269,206+730,2613150.7574,1267911.9121,207.914,206730.0
1271,206+733,2613153.1848,1267910.1492,207.899,206733.0
1273,206+736,2613155.6186,1267908.3952,207.884,206736.0
1275,206+739,2613158.0586,1267906.6499,207.869,206739.0
1277,206+742,2613160.505,1267904.9134,207.854,206742.0
1279,206+745,2613162.9576,1267903.1858,207.839,206745.0
1281,206+748,2613165.4165,1267901.4671,207.824,206748.0
1283,206+751,2613167.8816,1267899.7573,207.809,206751.0
1285,206+754,2613170.3528,1267898.0564,207.794,206754.0
1287,206+757,2613172.8301,1267896.3644,207.779,206757.0
1289,206+760,2613175.3136,1267894.6815,207.764,206760.0
1291,206+763,2613177.8031,1267893.0075,207.749,206763.0
1293,206+766,2613180.2987,1267891.3425,207.734,206766.0
1295,206+769,2613182.8002,1267889.6865,207.719,206769.0
1297,206+772,2613185.3077,1267888.0396,207.705,206772.0
1299,206+775,2613187.8212,1267886.4018,207.69,206775.0
1301,206+778,2613190.3406,1267884.773,207.675,206778.0
1303,206+781,2613192.8658,1267883.1534,207.66,206781.0
1305,206+784,2613195.3969,1267881.5429,207.645,206784.0
1307,206+785.027,2613196.2644,1267880.9939,207.639,206785.027
1309,206+787,2613197.9341,1267879.9414,207.63,206787.0
1311,206+790,2613200.4766,1267878.3491,207.615,206790.0
1313,206+793,2613203.0247,1267876.7657,207.6,206793.0
1315,206+796,2613205.5783,1267875.1911,207.585,206796.0
1317,206+799,2613208.137,1267873.6249,207.57,206799.0
1319,206+802,2613210.7009,1267872.0672,207.555,206802.0
1321,206+805,2613213.2697,1267870.5177,207.54,206805.0
1323,206+805.402,2613213.6143,1267870.3107,207.538,206805.402
1325,206+808,2613215.8434,1267868.9762,207.525,206808.0
1327,206+811,2613218.4218,1267867.4426,207.511,206811.0
1329,206+814,2613221.0047,1267865.9166,207.497,206814.0
1331,206+817,2613223.5921,1267864.3982,207.484,206817.0
1333,206+820,2613226.1837,1267862.8871,207.472,206820.0
1335,206+823,2613228.7795,1267861.3831,207.46,206823.0
1337,206+826,2613231.3793,1267859.8862,207.449,206826.0
1339,206+829,2613233.983,1267858.396,207.439,206829.0
1341,206+832,2613236.5905,1267856.9124,207.429,206832.0
1343,206+835,2613239.2017,1267855.4353,207.419,206835.0
1345,206+838,2613241.8163,1267853.9644,207.41,206838.0
1347,206+841,2613244.4344,1267852.4996,207.402,206841.0
1349,206+844,2613247.0557,1267851.0406,207.395,206844.0
1351,206+847,2613249.6802,1267849.5874,207.388,206847.0
1353,206+850,2613252.3078,1267848.1396,207.382,206850.0
1355,206+853,2613254.9383,1267846.6972,207.376,206853.0
1357,206+856,2613257.5715,1267845.2599,207.371,206856.0
1359,206+859,2613260.2075,1267843.8275,207.366,206859.0
1361,206+862,2613262.8461,1267842.3999,207.362,206862.0
1363,206+865,2613265.4871,1267840.9769,207.359,206865.0
1365,206+868,2613268.1304,1267839.5582,207.356,206868.0
1367,206+871,2613270.7761,1267838.1437,207.354,206871.0
1369,206+874,2613273.4238,1267836.7332,207.352,206874.0
1371,206+877,2613276.0736,1267835.3266,207.351,206877.0
1373,206+880,2613278.7252,1267833.9235,207.351,206880.0
1375,206+883,2613281.3787,1267832.5238,207.351,206883.0
1377,206+886,2613284.0339,1267831.1274,207.352,206886.0
1379,206+889,2613286.6907,1267829.734,207.354,206889.0
1381,206+892,2613289.3489,1267828.3434,207.356,206892.0
1383,206+895,2613292.0086,1267826.9555,207.358,206895.0
1385,206+898,2613294.6695,1267825.5701,207.362,206898.0
1387,206+901,2613297.3316,1267824.1869,207.366,206901.0
1389,206+904,2613299.9947,1267822.8057,207.37,206904.0
1391,206+907,2613302.6589,1267821.4264,207.375,206907.0
1393,206+910,2613305.3239,1267820.0488,207.381,206910.0
1395,206+913,2613307.9896,1267818.6727,207.387,206913.0
1397,206+916,2613310.656,1267817.2979,207.394,206916.0
1399,206+919,2613313.323,1267815.9241,207.401,206919.0
1401,206+922,2613315.9905,1267814.5512,207.409,206922.0
1403,206+925,2613318.6583,1267813.179,207.418,206925.0
1405,206+928,2613321.3263,1267811.8074,207.427,206928.0
1407,206+931,2613323.9945,1267810.436,207.437,206931.0
1409,206+932.617,2613325.4324,1267809.697,207.443,206932.617
1411,206+934,2613326.6628,1267809.0647,207.448,206934.0
1413,206+937,2613329.331,1267807.6934,207.459,206937.0
1415,206+940,2613331.9993,1267806.3222,207.47,206940.0
1417,206+943,2613334.6676,1267804.9509,207.483,206943.0
1419,206+946,2613337.3358,1267803.5796,207.496,206946.0
1421,206+949,2613340.0041,1267802.2084,207.509,206949.0
1423,206+952,2613342.6723,1267800.8371,207.523,206952.0
1425,206+955,2613345.3406,1267799.4658,207.538,206955.0
1427,206+958,2613348.0089,1267798.0946,207.553,206958.0
1429,206+961,2613350.6771,1267796.7233,207.569,206961.0
1431,206+964,2613353.3454,1267795.352,207.585,206964.0
1433,206+967,2613356.0137,1267793.9808,207.603,206967.0
1435,206+970,2613358.6819,1267792.6095,207.62,206970.0
1437,206+973,2613361.3502,1267791.2382,207.638,206973.0
1439,206+976,2613364.0184,1267789.8669,207.657,206976.0
1441,206+979,2613366.6867,1267788.4957,207.677,206979.0
1443,206+982,2613369.355,1267787.1244,207.697,206982.0
1445,206+985,2613372.0232,1267785.7531,207.718,206985.0
1447,206+988,2613374.6915,1267784.3819,207.739,206988.0
1449,206+991,2613377.3598,1267783.0106,207.761,206991.0
1451,206+994,2613380.028,1267781.6393,207.783,206994.0
1453,206+997,2613382.6963,1267780.2681,207.806,206997.0
1455,207+000,2613385.3645,1267778.8968,207.83,207000.0
1457,207+003,2613388.0328,1267777.5255,207.854,207003.0
1459,207+006,2613390.7011,1267776.1543,207.879,207006.0
1461,207+009,2613393.3693,1267774.783,207.905,207009.0
1463,207+012,2613396.0376,1267773.4117,207.931,207012.0
1465,207+015,2613398.7059,1267772.0405,207.957,207015.0
1467,207+018,2613401.3741,1267770.6692,207.985,207018.0
1469,207+021,2613404.0424,1267769.2979,208.013,207021.0
1471,207+024,2613406.7106,1267767.9267,208.041,207024.0
1473,207+027,2613409.3789,1267766.5554,208.07,207027.0
1475,207+030,2613412.0472,1267765.1841,208.1,207030.0
1477,207+033,2613414.7154,1267763.8129,208.13,207033.0
1479,207+036,2613417.3837,1267762.4416,208.161,207036.0
1481,207+039,2613420.052,1267761.0703,208.193,207039.0
1483,207+042,2613422.7202,1267759.6991,208.225,207042.0
1485,207+045,2613425.3885,1267758.3278,208.257,207045.0
1487,207+048,2613428.0567,1267756.9565,208.291,207048.0
1489,207+051,2613430.725,1267755.5853,208.325,207051.0
1491,207+054,2613433.3933,1267754.214,208.359,207054.0
1493,207+057,2613436.0615,1267752.8427,208.394,207057.0
1495,207+060,2613438.7298,1267751.4715,208.43,207060.0
1497,207+063,2613441.3981,1267750.1002,208.466,207063.0
1499,207+066,2613444.0663,1267748.7289,208.503,207066.0
1501,207+069,2613446.7346,1267747.3576,208.541,207069.0
1503,207+072,2613449.4028,1267745.9864,208.579,207072.0
1505,207+075,2613452.0711,1267744.6151,208.617,207075.0
1507,207+078,2613454.7394,1267743.2438,208.657,207078.0
1509,207+081,2613457.4076,1267741.8726,208.697,207081.0
1511,207+084,2613460.0759,1267740.5013,208.737,207084.0
1513,207+087,2613462.7442,1267739.13,208.778,207087.0
1515,207+090,2613465.4124,1267737.7588,208.82,207090.0
1517,207+093,2613468.0807,1267736.3875,208.862,207093.0
1519,207+096,2613470.7489,1267735.0162,208.905,207096.0
1521,207+099,2613473.4172,1267733.645,208.949,207099.0
1523,207+102,2613476.0855,1267732.2737,208.993,207102.0
1525,207+105,2613478.7537,1267730.9024,209.038,207105.0
1527,207+108,2613481.422,1267729.5312,209.083,207108.0
1529,207+111,2613484.0903,1267728.1599,209.129,207111.0
1531,207+114,2613486.7585,1267726.7886,209.175,207114.0
1533,207+117,2613489.4268,1267725.4174,209.222,207117.0
1535,207+120,2613492.095,1267724.0461,209.27,207120.0
1537,207+123,2613494.7633,1267722.6748,209.318,207123.0
1539,207+126,2613497.4316,1267721.3036,209.367,207126.0
1541,207+129,2613500.0998,1267719.9323,209.417,207129.0
1543,207+132,2613502.7681,1267718.561,209.467,207132.0
1545,207+135,2613505.4364,1267717.1898,209.518,207135.0
1547,207+138,2613508.1046,1267715.8185,209.569,207138.0
1549,207+141,2613510.7729,1267714.4472,209.621,207141.0
1551,207+144,2613513.4411,1267713.076,209.673,207144.0
1553,207+147,2613516.1094,1267711.7047,209.727,207147.0
1555,207+150,2613518.7777,1267710.3334,209.78,207150.0
1557,207+153,2613521.4459,1267708.9622,209.835,207153.0
1559,207+156,2613524.1142,1267707.5909,209.89,207156.0
1561,207+159,2613526.7825,1267706.2196,209.945,207159.0
1563,207+162,2613529.4507,1267704.8483,210.001,207162.0
1565,207+165,2613532.119,1267703.4771,210.058,207165.0
1567,207+165.384,2613532.4608,1267703.3014,210.065,207165.384
1569,207+168,2613534.7872,1267702.1058,210.115,207168.0
1571,207+171,2613537.4555,1267700.7345,210.172,207171.0
1573,207+174,2613540.1238,1267699.3633,210.229,207174.0
1575,207+177,2613542.792,1267697.992,210.286,207177.0
1577,207+180,2613545.4603,1267696.6207,210.343,207180.0
1579,207+183,2613548.1286,1267695.2495,210.4,207183.0
1581,207+186,2613550.7968,1267693.8782,210.458,207186.0
1583,207+189,2613553.4651,1267692.5069,210.515,207189.0
1585,207+192,2613556.1333,1267691.1357,210.572,207192.0
1587,207+195,2613558.8016,1267689.7644,210.629,207195.0
1589,207+198,2613561.4699,1267688.3931,210.686,207198.0
1591,207+201,2613564.1381,1267687.0219,210.743,207201.0
1593,207+204,2613566.8064,1267685.6506,210.8,207204.0
1595,207+207,2613569.4747,1267684.2793,210.857,207207.0
1597,207+210,2613572.1429,1267682.9081,210.914,207210.0
1599,207+213,2613574.8112,1267681.5368,210.972,207213.0
1601,207+216,2613577.4794,1267680.1655,211.029,207216.0
1603,207+219,2613580.1477,1267678.7943,211.086,207219.0
1605,207+222,2613582.816,1267677.423,211.143,207222.0
1607,207+225,2613585.4842,1267676.0517,211.2,207225.0
1609,207+228,2613588.1525,1267674.6805,211.257,207228.0
1611,207+231,2613590.8208,1267673.3092,211.314,207231.0
1613,207+234,2613593.489,1267671.9379,211.371,207234.0
1615,207+237,2613596.1573,1267670.5667,211.428,207237.0
1617,207+240,2613598.8255,1267669.1954,211.485,207240.0
1619,207+243,2613601.4938,1267667.8241,211.543,207243.0
1621,207+246,2613604.1621,1267666.4529,211.6,207246.0
1623,207+249,2613606.8303,1267665.0816,211.657,207249.0
1625,207+252,2613609.4986,1267663.7103,211.714,207252.0
1627,207+255,2613612.1669,1267662.339,211.771,207255.0
1629,207+258,2613614.8351,1267660.9678,211.828,207258.0
1631,207+261,2613617.5034,1267659.5965,211.885,207261.0
1633,207+264,2613620.1716,1267658.2252,211.942,207264.0
1635,207+267,2613622.8399,1267656.854,211.999,207267.0
1637,207+270,2613625.5082,1267655.4827,212.056,207270.0
1639,207+273,2613628.1764,1267654.1114,212.114,207273.0
1641,207+276,2613630.8447,1267652.7402,212.171,207276.0
1643,207+279,2613633.513,1267651.3689,212.228,207279.0
1645,207+282,2613636.1812,1267649.9976,212.285,207282.0
1647,207+285,2613638.8495,1267648.6264,212.342,207285.0
1649,207+288,2613641.5177,1267647.2551,212.399,207288.0
1651,207+291,2613644.186,1267645.8838,212.456,207291.0
1653,207+294,2613646.8543,1267644.5126,212.513,207294.0
1655,207+297,2613649.5225,1267643.1413,212.57,207297.0
1657,207+300,2613652.1908,1267641.77,212.627,207300.0
1659,207+303,2613654.8591,1267640.3988,212.685,207303.0
1661,207+306,2613657.5273,1267639.0275,212.742,207306.0
1663,207+309,2613660.1956,1267637.6562,212.799,207309.0
1665,207+312,2613662.8638,1267636.285,212.856,207312.0
1667,207+315,2613665.5321,1267634.9137,212.913,207315.0
1669,207+318,2613668.2004,1267633.5424,212.97,207318.0
1671,207+321,2613670.8686,1267632.1712,213.027,207321.0
1673,207+324,2613673.5369,1267630.7999,213.084,207324.0
1675,207+327,2613676.2052,1267629.4286,213.141,207327.0
1677,207+330,2613678.8734,1267628.0574,213.198,207330.0
1679,207+333,2613681.5417,1267626.6861,213.256,207333.0
1681,207+336,2613684.2099,1267625.3148,213.313,207336.0
1683,207+339,2613686.8782,1267623.9436,213.37,207339.0
1685,207+342,2613689.5465,1267622.5723,213.427,207342.0
1687,207+345,2613692.2147,1267621.201,213.484,207345.0
1689,207+348,2613694.883,1267619.8297,213.541,207348.0
1691,207+351,2613697.5513,1267618.4585,213.598,207351.0
1693,207+354,2613700.2195,1267617.0872,213.655,207354.0
1695,207+357,2613702.8878,1267615.7159,213.712,207357.0
1697,207+360,2613705.556,1267614.3447,213.769,207360.0
1699,207+363,2613708.2243,1267612.9734,213.827,207363.0
1701,207+366,2613710.8926,1267611.6021,213.884,207366.0
1703,207+369,2613713.5608,1267610.2309,213.941,207369.0
1705,207+372,2613716.2291,1267608.8596,213.998,207372.0
1707,207+375,2613718.8974,1267607.4883,214.055,207375.0
1709,207+378,2613721.5656,1267606.1171,214.112,207378.0
1711,207+381,2613724.2339,1267604.7458,214.169,207381.0
1713,207+384,2613726.9021,1267603.3745,214.226,207384.0
1715,207+387,2613729.5704,1267602.0033,214.283,207387.0
1717,207+390,2613732.2387,1267600.632,214.341,207390.0
1719,207+393,2613734.9069,1267599.2607,214.398,207393.0
1721,207+396,2613737.5752,1267597.8895,214.455,207396.0
1723,207+399,2613740.2435,1267596.5182,214.512,207399.0
1725,207+402,2613742.9117,1267595.1469,214.569,207402.0
1727,207+405,2613745.58,1267593.7757,214.626,207405.0
1729,207+408,2613748.2482,1267592.4044,214.683,207408.0
1731,207+411,2613750.9165,1267591.0331,214.74,207411.0
1733,207+414,2613753.5848,1267589.6619,214.797,207414.0
1735,207+417,2613756.253,1267588.2906,214.854,207417.0
1737,207+420,2613758.9213,1267586.9193,214.912,207420.0
1739,207+423,2613761.5896,1267585.5481,214.969,207423.0
1741,207+426,2613764.2578,1267584.1768,215.026,207426.0
1743,207+429,2613766.9261,1267582.8055,215.083,207429.0
1745,207+432,2613769.5943,1267581.4343,215.14,207432.0
1747,207+435,2613772.2626,1267580.063,215.197,207435.0
1749,207+438,2613774.9309,1267578.6917,215.254,207438.0
1751,207+441,2613777.5991,1267577.3204,215.311,207441.0
1753,207+444,2613780.2674,1267575.9492,215.368,207444.0
1755,207+447,2613782.9357,1267574.5779,215.425,207447.0
1757,207+450,2613785.6039,1267573.2066,215.483,207450.0
1759,207+453,2613788.2722,1267571.8354,215.54,207453.0
1761,207+456,2613790.9404,1267570.4641,215.597,207456.0
1763,207+459,2613793.6087,1267569.0928,215.654,207459.0
1765,207+462,2613796.277,1267567.7216,215.711,207462.0
1767,207+465,2613798.9452,1267566.3503,215.768,207465.0
1769,207+468,2613801.6135,1267564.979,215.825,207468.0
1771,207+471,2613804.2818,1267563.6078,215.882,207471.0
1773,207+474,2613806.95,1267562.2365,215.939,207474.0
1775,207+477,2613809.6183,1267560.8652,215.996,207477.0
1777,207+480,2613812.2865,1267559.494,216.054,207480.0
1779,207+483,2613814.9548,1267558.1227,216.111,207483.0
1781,207+486,2613817.6231,1267556.7514,216.168,207486.0
1783,207+489,2613820.2913,1267555.3802,216.225,207489.0
1785,207+492,2613822.9596,1267554.0089,216.282,207492.0
1787,207+495,2613825.6279,1267552.6376,216.339,207495.0
1789,207+498,2613828.2961,1267551.2664,216.396,207498.0
1791,207+501,2613830.9644,1267549.8951,216.453,207501.0
1793,207+504,2613833.6326,1267548.5238,216.51,207504.0
1795,207+507,2613836.3009,1267547.1526,216.567,207507.0
1797,207+510,2613838.9692,1267545.7813,216.625,207510.0
1799,207+513,2613841.6374,1267544.41,216.682,207513.0
1801,207+516,2613844.3057,1267543.0388,216.739,207516.0
1803,207+519,2613846.974,1267541.6675,216.796,207519.0
1805,207+522,2613849.6422,1267540.2962,216.853,207522.0
1807,207+525,2613852.3105,1267538.925,216.91,207525.0
1809,207+528,2613854.9787,1267537.5537,216.967,207528.0
1811,207+531,2613857.647,1267536.1824,217.024,207531.0
1813,207+534,2613860.3153,1267534.8111,217.081,207534.0
1815,207+537,2613862.9835,1267533.4399,217.139,207537.0
1817,207+540,2613865.6518,1267532.0686,217.196,207540.0
1819,207+543,2613868.3201,1267530.6973,217.253,207543.0
1821,207+546,2613870.9883,1267529.3261,217.31,207546.0
1823,207+549,2613873.6566,1267527.9548,217.367,207549.0
1825,207+552,2613876.3248,1267526.5835,217.424,207552.0
1827,207+555,2613878.9931,1267525.2123,217.481,207555.0
1829,207+558,2613881.6614,1267523.841,217.538,207558.0
1831,207+561,2613884.3296,1267522.4697,217.595,207561.0
1833,207+564,2613886.9979,1267521.0985,217.652,207564.0
1835,207+567,2613889.6662,1267519.7272,217.71,207567.0
1837,207+570,2613892.3344,1267518.3559,217.767,207570.0
1839,207+573,2613895.0027,1267516.9847,217.824,207573.0
1841,207+576,2613897.6709,1267515.6134,217.881,207576.0
1843,207+579,2613900.3392,1267514.2421,217.938,207579.0
1845,207+582,2613903.0075,1267512.8709,217.995,207582.0
1847,207+585,2613905.6757,1267511.4996,218.052,207585.0
1849,207+588,2613908.344,1267510.1283,218.109,207588.0
1851,207+591,2613911.0123,1267508.7571,218.166,207591.0
1853,207+594,2613913.6805,1267507.3858,218.223,207594.0
1855,207+597,2613916.3488,1267506.0145,218.281,207597.0
1857,207+600,2613919.017,1267504.6433,218.338,207600.0
1859,207+603,2613921.6853,1267503.272,218.395,207603.0
1861,207+606,2613924.3536,1267501.9007,218.452,207606.0
1863,207+609,2613927.0218,1267500.5295,218.509,207609.0
1865,207+612,2613929.6901,1267499.1582,218.566,207612.0
1867,207+615,2613932.3584,1267497.7869,218.623,207615.0
1869,207+618,2613935.0266,1267496.4157,218.68,207618.0
1871,207+621,2613937.6949,1267495.0444,218.737,207621.0
1873,207+624,2613940.3631,1267493.6731,218.794,207624.0
1875,207+627,2613943.0314,1267492.3018,218.852,207627.0
1877,207+630,2613945.6997,1267490.9306,218.909,207630.0
1879,207+633,2613948.3679,1267489.5593,218.966,207633.0
1881,207+636,2613951.0362,1267488.188,219.023,207636.0
1883,207+639,2613953.7045,1267486.8168,219.08,207639.0
1885,207+642,2613956.3727,1267485.4455,219.137,207642.0
1887,207+645,2613959.041,1267484.0742,219.194,207645.0
1889,207+648,2613961.7092,1267482.703,219.251,207648.0
1891,207+651,2613964.3775,1267481.3317,219.308,207651.0
1893,207+654,2613967.0458,1267479.9604,219.365,207654.0
1895,207+657,2613969.714,1267478.5892,219.423,207657.0
1897,207+660,2613972.3823,1267477.2179,219.48,207660.0
