easting,northing,site_name,tmp1521026778474
2612071.548,1269294.122,,236
2612072.991,1269295.359,,236
2612075.303,1269297.27,,236
2612077.657,1269299.129,,235.815293683044
2612080.052,1269300.936,,235.815293683044
2612082.487,1269302.689,,235.815293683044
2612084.959,1269304.388,,235.815293683044
2612087.469,1269306.031,,235.815293683044
2612090.014,1269307.619,,235.815293683044
2612092.594,1269309.15,,235.707125103563
2612095.208,1269310.623,,235.707125103563
2612097.853,1269312.038,,235.707125103563
2612100.529,1269313.394,,235.707125103563
2612103.234,1269314.69,,235.707125103563
2612105.968,1269315.927,,235.707125103563
2612108.728,1269317.102,,235.707125103563
2612111.513,1269318.216,,235.707125103563
2612114.323,1269319.268,,236
2612117.155,1269320.257,,236
2612117.759,1269320.459,,236
2612120.008,1269321.183,,236
2612122.881,1269322.046,,236
2612125.773,1269322.845,,236
2612128.682,1269323.58,,236
2612131.606,1269324.25,,236
2612134.544,1269324.855,,235.707088459285
2612137.495,1269325.395,,235.707088459285
2612140.457,1269325.869,,235.707088459285
2612143.429,1269326.277,,235.707088459285
2612146.409,1269326.62,,235.707088459285
2612149.397,1269326.896,,235.707088459285
2612152.389,1269327.107,,235.707088459285
2612155.386,1269327.251,,235.666666666667
2612158.385,1269327.328,,235.666666666667
2612161.384,1269327.339,,235.666666666667
2612164.384,1269327.284,,235.666666666667
2612167.381,1269327.162,,235.666666666667
2612170.375,1269326.973,,235.666666666667
2612173.364,1269326.718,,235.666666666667
2612176.347,1269326.398,,236
2612179.322,1269326.011,,236
2612182.288,1269325.558,,236
2612185.242,1269325.04,,236
2612188.185,1269324.456,,236
2612191.114,1269323.808,,236
2612194.028,1269323.094,,236
2612196.925,1269322.316,,236
2612199.805,1269321.474,,236
2612202.665,1269320.569,,236
2612202.69,1269320.561,,236
2612205.596,1269319.621,,236
2612208.434,1269318.648,,235.5
2612211.249,1269317.614,,235.5
2612214.042,1269316.519,,235.5
2612216.811,1269315.364,,235.5
2612219.555,1269314.152,,236
2612222.273,1269312.882,,236
2612224.964,1269311.556,,236
2612227.628,1269310.175,,236
2612230.262,1269308.74,,236
2612232.867,1269307.252,,236
2612235.442,1269305.713,,236
2612237.986,1269304.123,,236
2612240.498,1269302.483,,236
2612242.978,1269300.796,,236
2612245.426,1269299.061,,236
2612247.85,1269297.272,,235.5
2612250.299,1269295.561,,235.5
2612252.738,1269293.814,,235.5
2612255.156,1269292.039,,235.5
2612257.554,1269290.237,,235.5
2612259.931,1269288.406,,236
2612262.287,1269286.549,,236
2612264.621,1269284.665,,236
2612266.934,1269282.753,,236
2612269.224,1269280.816,,236
2612271.492,1269278.851,,236
2612273.736,1269276.861,,235.5
2612275.958,1269274.845,,235.5
2612278.156,1269272.804,,235.5
2612280.331,1269270.737,,236
2612282.481,1269268.646,,236
2612284.608,1269266.529,,236
2612286.71,1269264.388,,236
2612288.786,1269262.224,,236
2612290.838,1269260.035,,236
2612292.865,1269257.823,,236
2612293.23,1269257.419,,236
2612294.865,1269255.588,,235.5
2612296.84,1269253.329,,235.5
2612298.789,1269251.048,,235.5
2612300.711,1269248.745,,236
2612302.606,1269246.42,,236
2612304.475,1269244.073,,236
2612306.316,1269241.704,,236
2612308.13,1269239.315,,236
2612309.916,1269236.904,,236
2612311.674,1269234.474,,236
2612313.405,1269232.023,,236
2612315.106,1269229.552,,236
2612315.865,1269228.431,,236
2612316.787,1269227.062,,236
2612318.442,1269224.559,,236
2612320.07,1269222.04,,236
2612321.672,1269219.503,,236.142857142857
2612323.25,1269216.952,,236.142857142857
2612324.806,1269214.387,,236.142857142857
2612326.339,1269211.808,,236.142857142857
2612327.853,1269209.218,,236.142857142857
2612329.347,1269206.617,,236.142857142857
2612330.824,1269204.005,,236.142857142857
2612332.285,1269201.385,,236.142857142857
2612333.731,1269198.757,,236.142857142857
2612335.164,1269196.121,,236.142857142857
2612336.585,1269193.479,,236
2612337.995,1269190.831,,236
2612339.397,1269188.179,,236
2612340.792,1269185.523,,236
2612342.18,1269182.863,,236.184706316956
2612343.564,1269180.202,,236.184706316956
2612344.77,1269177.877,,236.184706316956
2612344.948,1269177.54,,236.184706316956
2612346.35,1269174.888,,236.184706316956
2612347.754,1269172.236,,236.2
2612349.159,1269169.586,,236.2
2612349.283,1269169.354,,236.2
2612350.566,1269166.936,,236.2
2612351.975,1269164.288,,236.2
2612353.385,1269161.64,,236.2
2612354.796,1269158.992,,236.2
2612356.21,1269156.346,,236.2
2612357.624,1269153.701,,236.2
2612359.041,1269151.056,,236.2
2612360.459,1269148.412,,236.2
2612361.879,1269145.77,,236.2
2612363.3,1269143.128,,236.4
2612364.722,1269140.486,,236.4
2612366.147,1269137.846,,236.4
2612367.573,1269135.207,,236.4
2612369,1269132.568,,236.4
2612370.43,1269129.93,,236.4
2612371.86,1269127.294,,236.4
2612373.292,1269124.658,,236.4
2612374.726,1269122.022,,236.4
2612376.162,1269119.388,,236.4
2612377.599,1269116.755,,236.4
2612379.037,1269114.122,,236.4
2612380.478,1269111.49,,236.4
2612381.919,1269108.86,,236.460511255246
2612383.362,1269106.23,,236.460511255246
2612384.807,1269103.6,,236.585792724777
2612386.254,1269100.972,,236.585792724777
2612387.702,1269098.345,,236.585792724777
2612389.152,1269095.718,,236.585792724777
2612390.603,1269093.093,,236.585792724777
2612392.056,1269090.468,,236.585792724777
2612393.51,1269087.844,,236.575120192308
2612394.966,1269085.221,,236.575120192308
2612396.423,1269082.599,,236.575120192308
2612397.882,1269079.978,,236.575120192308
2612399.343,1269077.357,,236.575120192308
2612400.805,1269074.738,,236.575120192308
2612402.269,1269072.119,,236.575120192308
2612402.972,1269070.863,,236.575120192308
2612403.735,1269069.501,,236.575120192308
2612405.202,1269066.884,,236.72383319525
2612406.67,1269064.268,,236.72383319525
2612408.14,1269061.653,,236.72383319525
2612409.612,1269059.039,,236.72383319525
2612411.085,1269056.426,,236.72383319525
2612412.56,1269053.813,,236.72383319525
2612414.036,1269051.202,,236.72383319525
2612415.514,1269048.591,,236.72383319525
2612416.994,1269045.981,,236.777777777778
2612418.474,1269043.372,,236.777777777778
2612419.957,1269040.764,,236.777777777778
2612421.441,1269038.157,,236.777777777778
2612422.927,1269035.551,,236.777777777778
2612424.414,1269032.945,,236.777777777778
2612425.903,1269030.341,,236.881150463513
2612426.331,1269029.594,,236.881150463513
2612427.393,1269027.737,,236.881150463513
2612428.883,1269025.133,,236.865120043162
2612430.374,1269022.529,,236.865120043162
2612431.864,1269019.926,,236.865120043162
2612433.354,1269017.322,,236.865120043162
2612434.844,1269014.718,,236.865120043162
2612436.334,1269012.114,,236.865120043162
2612437.824,1269009.511,,236.865120043162
2612439.314,1269006.907,,236.865120043162
2612440.804,1269004.303,,236.792911540715
2612442.294,1269001.699,,236.792911540715
2612443.784,1268999.096,,236.792911540715
2612445.274,1268996.492,,236.792911540715
2612446.764,1268993.888,,236.853544229643
2612448.255,1268991.284,,236.853544229643
2612449.745,1268988.68,,236.853544229643
2612451.235,1268986.077,,236.828414550446
2612452.725,1268983.473,,236.828414550446
2612454.215,1268980.869,,236.828414550446
2612455.705,1268978.265,,236.828414550446
2612457.195,1268975.662,,236.828414550446
2612458.685,1268973.058,,236.828414550446
2612460.175,1268970.454,,236.828414550446
2612461.666,1268967.85,,236.828414550446
2612463.156,1268965.246,,236.792874896437
2612464.646,1268962.643,,236.792874896437
2612466.136,1268960.039,,236.792874896437
2612467.626,1268957.435,,237
2612469.116,1268954.831,,237
2612470.606,1268952.228,,237
2612472.096,1268949.624,,237
2612473.586,1268947.02,,237
2612475.076,1268944.416,,237
2612476.566,1268941.813,,237
2612478.057,1268939.209,,237
2612479.547,1268936.605,,237
2612481.037,1268934.001,,237
2612482.527,1268931.398,,237
2612484.017,1268928.794,,237
2612485.507,1268926.19,,237
2612486.997,1268923.586,,236.773448119619
2612488.487,1268920.982,,237
2612489.977,1268918.379,,237
2612491.468,1268915.775,,237
2612492.958,1268913.171,,237
2612494.448,1268910.567,,237
2612495.938,1268907.964,,237
2612497.428,1268905.36,,237
2612498.918,1268902.756,,237
2612500.408,1268900.152,,237
2612501.898,1268897.548,,237
2612503.388,1268894.945,,237
2612504.878,1268892.341,,237
2612506.368,1268889.737,,237
2612507.859,1268887.134,,237
2612509.349,1268884.53,,237.2
2612510.839,1268881.926,,237.2
2612512.329,1268879.322,,237.2
2612513.819,1268876.718,,237.2
2612515.309,1268874.115,,237.2
2612516.799,1268871.511,,237.2
2612518.289,1268868.907,,237.2
2612519.779,1268866.303,,237.2
2612521.27,1268863.7,,237.2
2612522.76,1268861.096,,237.2
2612524.25,1268858.492,,237.2
2612525.74,1268855.888,,237.2
2612527.23,1268853.284,,237.2
2612528.72,1268850.681,,237.2
2612530.21,1268848.077,,237.4
2612531.7,1268845.473,,237.4
2612533.19,1268842.869,,237.4
