,Easting,Northing,Elevation,DTM,Rocksurface,delta_rocksurface_tunnelaxis,BoreClass,Area1,Area2,Distance,Area1_mean_dist,Area2_mean_dist
39,2612179.3221,1269326.0108,271.935,250.981,236.0,-35.935,BC1,100.0,100.0,3.00006610783,300.006610783,300.006610783
40,2612182.2877,1269325.5581,271.909,251.0078,236.0,-35.909,BC1,100.0,100.0,3.00004571294,300.004571294,300.004571294
41,2612185.2425,1269325.0399,271.879,250.9561,236.0,-35.879,BC1,100.0,100.0,3.00020215655,300.020215655,300.020215655
42,2612188.1852,1269324.4562,271.847,251.1372,236.0,-35.847,BC1,100.0,100.0,3.00009381487,300.009381487,300.009381487
43,2612191.1141,1269323.8075,271.811,251.031,236.0,-35.811,BC1,100.0,100.0,3.00022545324,300.022545324,300.022545324
44,2612194.028,1269323.0941,271.771,251.031,236.0,-35.771,BC1,100.0,100.0,3.00018068275,300.018068275,300.018068275
45,2612196.9253,1269322.3163,271.729,251.0368,236.0,-35.729,BC1,100.0,100.0,3.00028125392,300.028125392,300.028125392
46,2612199.8047,1269321.4745,271.683,251.0368,236.0,-35.683,BC1,100.0,100.0,3.02727609713,302.727609713,302.727609713
47,2612202.6903,1269320.5606,271.633,251.048,236.0,-35.633,BC1,100.0,100.0,3.05408990864,305.408990864,305.408990864
48,2612205.5957,1269319.6207,271.581,254.2674,236.0,-35.581,BC1,100.0,100.0,3.00041225158,300.041225158,300.041225158
49,2612208.4335,1269318.6479,271.526,254.2674,235.5,-36.026,BC1,100.0,100.0,3.00045949341,300.045949341,300.045949341
50,2612211.2494,1269317.6135,271.467,254.3974,235.5,-35.967,BC1,100.0,100.0,3.00069702223,300.069702223,300.069702223
51,2612214.0425,1269316.5186,271.404,254.3974,235.5,-35.904,BC1,100.0,100.0,3.00057339525,300.057339525,300.057339525
52,2612216.8114,1269315.3643,271.339,254.1948,235.5,-35.839,BC1,100.0,100.0,3.00078252455,300.078252455,300.078252455
53,2612219.5554,1269314.1517,271.27,254.2604,236.0,-35.27,BC1,100.0,100.0,3.00075931234,300.075931234,300.075931234
54,2612222.2733,1269312.8819,271.198,254.1907,236.0,-35.198,BC1,100.0,100.0,3.00089686598,300.089686598,300.089686598
55,2612224.9643,1269311.5559,271.123,254.1907,236.0,-35.123,BC1,100.0,100.0,3.00100587125,300.100587125,300.100587125
56,2612227.6275,1269310.1749,271.044,254.1214,236.0,-35.044,BC1,100.0,100.0,3.00108967727,300.108967727,300.108967727
57,2612230.262,1269308.7399,270.962,254.0603,236.0,-34.962,BC1,100.0,100.0,3.00117015493,300.117015493,300.117015493
58,2612232.8671,1269307.2522,270.877,254.0603,236.0,-34.877,BC1,100.0,100.0,3.00118166727,300.118166727,300.118166727
59,2612235.4419,1269305.7128,270.789,254.0751,236.0,-34.789,BC1,100.0,100.0,3.00141633257,300.141633257,300.141633257
60,2612237.9859,1269304.1228,270.697,249.5718,236.0,-34.697,BC1,100.0,100.0,3.00143907786,300.143907786,300.143907786
61,2612240.4982,1269302.4833,270.602,251.5019,236.0,-34.602,BC1,100.0,100.0,3.00155415246,300.155415246,300.155415246
62,2612242.9784,1269300.7956,270.504,251.5019,236.0,-34.504,BC1,100.0,100.0,3.00167432775,300.167432775,300.167432775
63,2612245.4258,1269299.0607,270.402,249.9201,236.0,-34.402,BC1,100.0,100.0,3.01468684969,301.468684969,301.468684969
64,2612247.8502,1269297.2719,270.298,249.9201,235.5,-34.798,BC1,100.0,100.0,0.0,0.0,0.0
65,2612247.8502,1269297.2719,270.298,249.9201,235.5,-34.798,BC1,100.0,100.0,0.0,0.0,0.0
66,2612247.8502,1269297.2719,270.298,249.9201,235.5,-34.798,BC1,100.0,100.0,0.0,0.0,0.0
67,2612247.8502,1269297.2719,270.298,249.9201,235.5,-34.798,BC1,100.0,100.0,0.000999999999976,0.0999999999976,0.0999999999976
68,2612247.8502,1269297.2719,270.297,249.9201,235.5,-34.797,BC1,100.0,100.0,0.0,0.0,0.0
69,2612247.8502,1269297.2719,270.297,249.9201,235.5,-34.797,BC1,100.0,100.0,0.0,0.0,0.0
70,2612247.8502,1269297.2719,270.297,249.9201,235.5,-34.797,BC1,100.0,100.0,0.0,0.0,0.0
71,2612247.8502,1269297.2719,270.297,249.9201,235.5,-34.797,BC1,100.0,100.0,2.98903278643,298.903278643,298.903278643
72,2612250.2986,1269295.5607,270.19,250.0883,235.5,-34.69,BC1,100.0,100.0,3.00203695701,300.203695701,300.203695701
73,2612252.7376,1269293.814,270.078,250.2419,235.5,-34.578,BC1,100.0,100.0,3.00216933718,300.216933718,300.216933718
74,2612255.1563,1269292.0392,269.964,250.5002,235.5,-34.464,BC1,100.0,100.0,3.00228159246,300.228159246,300.228159246
75,2612257.5543,1269290.2366,269.846,250.5002,235.5,-34.346,BC1,100.0,100.0,3.00241759594,300.241759594,300.241759594
76,2612259.9314,1269288.4065,269.725,251.7095,236.0,-33.725,BC1,100.0,100.0,3.00255780968,300.255780968,300.255780968
77,2612262.2872,1269286.5491,269.6,250.8564,236.0,-33.6,BC1,100.0,100.0,3.00265863684,300.265863684,300.265863684
78,2612264.6214,1269284.6646,269.473,254.0242,236.0,-33.473,BC1,100.0,100.0,3.00290233789,300.290233789,300.290233789
79,2612266.9338,1269282.7533,269.342,251.5852,236.0,-33.342,BC1,100.0,100.0,3.00297383426,300.297383426,300.297383426
80,2612269.2239,1269280.8155,269.207,251.5852,236.0,-33.207,BC1,100.0,100.0,3.00314175485,300.314175485,300.314175485
81,2612271.4915,1269278.8513,269.07,254.1157,236.0,-33.07,BC1,100.0,100.0,3.00331551447,300.331551447,300.331551447
82,2612273.7363,1269276.8611,268.929,254.1157,235.5,-33.429,BC1,100.0,100.0,3.0034213325,300.34213325,300.34213325
83,2612275.958,1269274.8452,268.785,254.0867,235.5,-33.285,BC1,100.0,100.0,3.00349899282,300.349899282,300.349899282
84,2612278.1562,1269272.8038,268.638,254.0867,235.5,-33.138,BC1,100.0,100.0,3.00382007625,300.382007625,300.382007625
85,2612280.3308,1269270.7371,268.487,252.6749,236.0,-32.487,BC1,100.0,100.0,3.00392858086,300.392858086,300.392858086
86,2612282.4814,1269268.6455,268.333,253.9783,236.0,-32.333,BC1,100.0,100.0,3.00408494903,300.408494903,300.408494903
87,2612284.6077,1269266.5292,268.176,253.9783,236.0,-32.176,BC1,100.0,100.0,3.00434364375,300.434364375,300.434364375
88,2612286.7095,1269264.3885,268.015,253.9684,236.0,-32.015,BC1,100.0,100.0,3.00440370964,300.440370964,300.440370964
89,2612288.7864,1269262.2237,267.852,253.9684,236.0,-31.852,BC1,100.0,100.0,3.00462014239,300.462014239,300.462014239
90,2612290.8382,1269260.0351,267.685,254.0015,236.0,-31.685,BC1,100.0,100.0,3.0048904804,300.48904804,300.48904804
91,2612292.8646,1269257.8229,267.514,254.0983,236.0,-31.514,BC1,100.0,100.0,0.545486773424,54.5486773424,54.5486773424
92,2612293.2297,1269257.4188,267.483,254.0983,236.0,-31.483,BC1,100.0,100.0,2.4594162013,245.94162013,245.94162013
93,2612294.8653,1269255.5875,267.342,254.0983,235.5,-31.842,BC1,100.0,100.0,3.00494308254,300.494308254,300.494308254
94,2612296.8401,1269253.3292,267.169,254.2788,235.5,-31.669,BC1,100.0,100.0,3.00485120592,300.485120592,300.485120592
95,2612298.7887,1269251.0483,266.997,254.2788,235.5,-31.497,BC1,100.0,100.0,3.0049913026,300.49913026,300.49913026
96,2612300.7109,1269248.745,266.824,254.4404,236.0,-30.824,BC1,100.0,100.0,3.00491669453,300.491669453,300.491669453
97,2612302.6064,1269246.4197,266.652,254.4404,236.0,-30.652,BC1,100.0,100.0,3.00501242244,300.501242244,300.501242244
98,2612304.4749,1269244.0726,266.479,255.0592,236.0,-30.479,BC1,100.0,100.0,3.00487741016,300.487741016,300.487741016
99,2612306.3162,1269241.7042,266.307,254.9908,236.0,-30.307,BC1,100.0,100.0,3.00497461915,300.497461915,300.497461915
100,2612308.1301,1269239.3147,266.134,256.2147,236.0,-30.134,BC1,100.0,100.0,3.00493602749,300.493602749,300.493602749
101,2612309.9163,1269236.9044,265.962,256.2147,236.0,-29.962,BC1,100.0,100.0,3.00491243314,300.491243314,300.491243314
102,2612311.6745,1269234.4737,265.789,257.0247,236.0,-29.789,BC1,100.0,100.0,3.00495271504,300.495271504,300.495271504
103,2612313.4046,1269232.0228,265.617,257.0247,236.0,-29.617,BC1,100.0,100.0,3.00500755075,300.500755075,300.500755075
104,2612315.1063,1269229.5521,265.444,257.9974,236.0,-29.444,BC1,100.0,100.0,1.35621419398,135.621419398,135.621419398
105,2612315.865,1269228.4306,265.367,257.9974,236.0,-29.367,BC1,100.0,100.0,1.65317760992,165.317760992,165.317760992
106,2612316.787,1269227.0617,265.272,257.9974,236.0,-29.272,BC1,100.0,100.0,3.00496211801,300.496211801,300.496211801
107,2612318.4418,1269224.5594,265.099,258.122,236.0,-29.099,BC1,100.0,100.0,3.00497321284,300.497321284,300.497321284
108,2612320.0698,1269222.0395,264.927,258.7224,236.0,-28.927,BC1,100.0,100.0,3.00495232236,300.495232236,300.495232236
