easting,northing,site_name,tmp1520856868982
2611425.737,1268858.606,,252.8542
2611428.736,1268858.564,,252.8542
2611431.736,1268858.533,,252.6798
2611434.736,1268858.513,,252.6798
2611437.736,1268858.503,,252.5004
2611440.736,1268858.503,,252.084
2611442.064,1268858.507,,252.084
2611443.736,1268858.514,,252.084
2611446.736,1268858.534,,252.2003
2611449.736,1268858.564,,252.2003
2611452.735,1268858.603,,253.3479
2611455.735,1268858.65,,253.5107
2611458.734,1268858.705,,253.5107
2611461.734,1268858.766,,253.5338
2611464.733,1268858.834,,253.5338
2611467.732,1268858.907,,253.4597
2611470.731,1268858.985,,253.436
2611473.73,1268859.067,,253.436
2611476.729,1268859.152,,253.9403
2611479.728,1268859.241,,253.9403
2611482.726,1268859.331,,254.1151
2611485.725,1268859.423,,253.8832
2611488.723,1268859.516,,253.8832
2611489.215,1268859.531,,253.8832
2611491.722,1268859.608,,253.8578
2611494.72,1268859.699,,253.8578
2611497.719,1268859.791,,254.1442
2611499.208,1268859.836,,254.1442
2611500.718,1268859.881,,253.9909
2611503.716,1268859.967,,253.9909
2611506.715,1268860.052,,253.9997
2611509.714,1268860.134,,253.9997
2611512.713,1268860.214,,254.119
2611515.712,1268860.292,,253.993
2611518.711,1268860.368,,253.993
2611521.71,1268860.441,,254.2383
2611524.709,1268860.512,,254.2383
2611527.709,1268860.581,,254.1066
2611530.708,1268860.648,,254.1315
2611533.707,1268860.712,,254.1315
2611536.707,1268860.774,,254.0726
2611539.706,1268860.834,,254.0726
2611542.705,1268860.891,,254.5128
2611545.705,1268860.947,,254.0159
2611548.704,1268861,,254.0159
2611551.704,1268861.051,,253.994
2611554.704,1268861.099,,253.994
2611557.703,1268861.146,,254.0917
2611560.703,1268861.19,,253.7292
2611563.703,1268861.231,,253.7292
2611566.702,1268861.271,,253.9334
2611569.702,1268861.308,,253.9334
2611572.702,1268861.343,,253.9152
2611575.702,1268861.376,,253.8699
2611578.702,1268861.407,,253.8699
2611581.702,1268861.435,,253.8195
2611584.701,1268861.461,,253.8195
2611587.701,1268861.485,,253.9739
2611590.701,1268861.507,,254.0485
