easting,northing,site_name,tmp1519198806382
2612071.548,1269294.122,,253.524
2612072.229,1269294.71,,253.524
2612076.083,1269297.895,,253.1596
2612080.052,1269300.936,,252.9344
2612084.131,1269303.828,,252.9344
2612088.313,1269306.567,,252.574
2612092.594,1269309.15,,252.0129
2612096.968,1269311.573,,251.8054
2612101.427,1269313.833,,251.6312
2612105.968,1269315.927,,251.1492
2612110.582,1269317.851,,251.1567
2612115.264,1269319.604,,251.1137
2612117.768,1269320.462,,250.6956
2612120.008,1269321.183,,250.6664
2612124.807,1269322.586,,250.6664
2612129.655,1269323.81,,250.6372
2612134.544,1269324.855,,250.638
2612139.468,1269325.718,,248.9911
2612144.422,1269326.399,,249.5887
2612149.397,1269326.896,,250.4562
2612154.386,1269327.21,,250.596
2612159.384,1269327.339,,250.7349
2612164.384,1269327.284,,250.7949
2612169.378,1269327.043,,250.8807
2612174.36,1269326.619,,250.9536
2612179.322,1269326.011,,250.981
2612184.259,1269325.22,,251.0078
2612189.163,1269324.247,,251.1372
2612194.028,1269323.094,,251.031
2612198.847,1269321.762,,251.0368
2612202.69,1269320.561,,251.048
2612203.614,1269320.253,,251.048
2612208.322,1269318.571,,254.2674
2612212.969,1269316.727,,254.3974
2612217.553,1269314.729,,254.2604
2612222.071,1269312.588,,254.1907
2612226.524,1269310.315,,254.1214
2612230.912,1269307.918,,254.0603
2612235.236,1269305.407,,254.0751
2612239.496,1269302.791,,249.5718
2612243.697,1269300.079,,251.5019
2612247.85,1269297.272,,249.9201
2612247.85,1269297.272,,249.9201
2612251.927,1269294.399,,250.2419
2612255.958,1269291.441,,250.5002
2612259.931,1269288.406,,251.7095
2612263.846,1269285.296,,250.8564
2612267.7,1269282.11,,251.5852
2612271.492,1269278.851,,254.1157
2612275.22,1269275.52,,252.0883
2612278.884,1269272.118,,254.0867
2612282.481,1269268.646,,253.9783
2612286.012,1269265.105,,253.6255
2612289.473,1269261.497,,253.9684
2612292.865,1269257.823,,254.0983
2612296.185,1269254.084,,254.2788
2612299.432,1269250.283,,254.2788
2612302.606,1269246.42,,254.4404
2612305.706,1269242.496,,254.9908
2612308.729,1269238.514,,256.2147
2612311.674,1269234.474,,257.0247
2612314.542,1269230.378,,257.0247
2612315.865,1269228.431,,257.9974
2612317.341,1269226.23,,257.9974
2612320.07,1269222.04,,258.7224
2612322.727,1269217.804,,260.0022
2612325.319,1269213.529,,262.4988
2612327.852,1269209.218,,260.7979
2612330.333,1269204.877,,261.9851
2612332.768,1269200.51,,261.9851
2612335.163,1269196.121,,261.6352
2612337.526,1269191.714,,260.9614
2612339.862,1269187.294,,259.6133
2612342.18,1269182.864,,260.0558
2612344.485,1269178.427,,258.8072
2612344.77,1269177.877,,258.8072
2612346.818,1269174.004,,260.3187
2612349.159,1269169.586,,258.8674
2612351.505,1269165.171,,261.3065
2612353.855,1269160.757,,260.7338
2612356.209,1269156.346,,262.2787
2612358.568,1269151.938,,260.7018
2612360.932,1269147.532,,261.4623
2612363.3,1269143.128,,260.7289
2612365.672,1269138.726,,261.9745
2612368.048,1269134.327,,261.4646
2612370.429,1269129.931,,262.5366
2612372.815,1269125.536,,262.5366
2612375.204,1269121.144,,262.4771
2612377.598,1269116.755,,262.5316
2612379.997,1269112.368,,262.0572
2612382.4,1269107.983,,262.4756
2612384.807,1269103.601,,262.4282
2612387.219,1269099.221,,262.4262
2612389.635,1269094.843,,262.3795
2612392.055,1269090.468,,262.494
2612394.48,1269086.095,,262.4827
2612396.909,1269081.725,,262.5408
2612399.343,1269077.357,,262.4436
2612401.781,1269072.992,,262.5587
2612402.937,1269070.925,,262.5587
2612404.223,1269068.629,,262.5389
2612406.67,1269064.268,,262.5353
2612409.121,1269059.91,,262.5641
2612411.576,1269055.555,,262.5919
2612414.036,1269051.202,,262.6098
2612416.5,1269046.851,,262.6429
2612418.968,1269042.503,,262.7045
2612421.441,1269038.157,,262.7251
2612423.918,1269033.814,,262.6821
2612426.331,1269029.594,,262.7191
2612426.4,1269029.473,,262.7191
2612428.883,1269025.134,,262.7191
2612431.367,1269020.794,,262.7195
2612433.85,1269016.454,,262.6719
2612436.334,1269012.115,,262.6749
2612438.817,1269007.775,,262.6347
2612441.301,1269003.435,,262.6527
2612443.784,1268999.096,,262.5565
2612446.268,1268994.756,,262.5862
2612448.751,1268990.416,,262.5862
2612451.235,1268986.077,,262.5993
2612453.718,1268981.737,,262.5519
2612456.202,1268977.398,,262.6379
2612458.685,1268973.058,,262.6548
2612461.169,1268968.718,,262.8065
2612463.652,1268964.379,,262.8657
2612466.136,1268960.039,,262.9531
2612468.619,1268955.7,,262.9869
2612471.103,1268951.36,,262.7819
2612473.586,1268947.02,,262.8746
2612476.07,1268942.681,,262.9595
2612478.553,1268938.341,,262.7365
2612481.037,1268934.002,,262.8015
2612483.52,1268929.662,,262.8928
2612486.004,1268925.322,,262.7388
2612488.487,1268920.983,,262.7975
2612490.971,1268916.643,,262.8025
2612493.454,1268912.304,,262.824
2612495.938,1268907.964,,262.8629
2612498.421,1268903.624,,263.1008
2612500.905,1268899.285,,262.7465
2612503.388,1268894.945,,263.2593
2612505.872,1268890.605,,262.7831
2612508.355,1268886.266,,262.7076
2612510.839,1268881.926,,262.6999
2612513.322,1268877.587,,262.7411
2612515.806,1268873.247,,262.7215
2612518.289,1268868.907,,262.6904
2612520.773,1268864.568,,262.7617
2612523.256,1268860.228,,262.7617
2612525.74,1268855.888,,262.718
2612528.223,1268851.549,,262.7326
2612530.706,1268847.209,,262.6776
2612533.19,1268842.87,,262.6697
2612535.674,1268838.53,,262.6843
2612538.157,1268834.19,,262.7016
2612540.64,1268829.851,,262.6887
2612543.124,1268825.511,,262.6887
2612545.608,1268821.172,,262.7103
2612548.091,1268816.832,,262.7427
2612550.574,1268812.492,,262.6942
2612553.058,1268808.153,,262.7177
2612555.542,1268803.813,,262.6722
2612558.025,1268799.474,,262.8003
2612560.508,1268795.134,,262.6787
2612562.992,1268790.794,,262.8346
2612565.476,1268786.455,,262.7423
2612567.959,1268782.115,,262.7391
2612570.442,1268777.776,,262.7998
2612572.926,1268773.436,,262.7726
2612575.41,1268769.096,,262.7864
2612577.893,1268764.757,,262.7409
2612580.376,1268760.417,,262.7959
2612582.86,1268756.077,,262.7576
2612585.344,1268751.738,,262.8464
2612587.827,1268747.398,,262.7714
2612590.31,1268743.059,,262.795
2612592.794,1268738.719,,262.7809
2612595.277,1268734.379,,262.8103
2612597.761,1268730.04,,262.8103
2612600.244,1268725.7,,262.8578
2612602.728,1268721.36,,262.8045
2612605.211,1268717.021,,263.018
2612607.695,1268712.681,,262.7613
2612610.178,1268708.342,,262.8018
2612612.662,1268704.002,,262.7202
2612615.145,1268699.662,,262.8064
2612617.629,1268695.323,,262.8064
2612620.112,1268690.983,,262.802
2612622.596,1268686.644,,262.7547
2612625.079,1268682.304,,262.68
2612627.563,1268677.964,,262.7687
2612630.046,1268673.625,,262.8799
2612632.53,1268669.285,,262.791
2612635.013,1268664.946,,262.8113
2612637.497,1268660.606,,262.8113
2612639.98,1268656.266,,262.3998
2612642.464,1268651.927,,262.8039
2612644.947,1268647.587,,262.5259
2612647.431,1268643.247,,262.5532
2612649.914,1268638.908,,262.3399
2612652.398,1268634.568,,262.8513
2612654.881,1268630.229,,262.8513
2612657.365,1268625.889,,262.9792
2612659.848,1268621.549,,262.8658
2612662.332,1268617.21,,262.9876
2612664.815,1268612.87,,262.899
2612667.299,1268608.53,,263.0352
2612669.782,1268604.191,,262.9637
2612672.266,1268599.851,,263.0636
2612674.749,1268595.512,,263.0636
2612677.233,1268591.172,,263.0849
2612679.716,1268586.832,,263.0054
2612682.2,1268582.493,,263.0381
2612684.683,1268578.153,,262.9917
2612687.167,1268573.814,,263.0796
2612689.65,1268569.474,,263.1461
