,A. Point Coordinates x,B. Point Coordinates y,C. Normal Vector x,D. Normal Vector y,E. Settlement [mm],F. Tangentenneigung,G. DC_Beta,H. DC_Settlement,I. DamageClass,z_0
0,2612350.5662,1269166.9364,2612315.2486,1269185.71583,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
1,2612350.5662,1269166.9364,2612316.13154,1269185.24635,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
2,2612350.5662,1269166.9364,2612317.01448,1269184.77686,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
3,2612350.5662,1269166.9364,2612317.89742,1269184.30738,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
4,2612350.5662,1269166.9364,2612318.78036,1269183.83789,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
5,2612350.5662,1269166.9364,2612319.6633,1269183.3684,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
6,2612350.5662,1269166.9364,2612320.54624,1269182.89892,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
7,2612350.5662,1269166.9364,2612321.42918,1269182.42943,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
8,2612350.5662,1269166.9364,2612322.31212,1269181.95995,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
9,2612350.5662,1269166.9364,2612323.19506,1269181.49046,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
10,2612350.5662,1269166.9364,2612324.078,1269181.02097,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
11,2612350.5662,1269166.9364,2612324.96094,1269180.55149,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
12,2612350.5662,1269166.9364,2612325.84388,1269180.082,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
13,2612350.5662,1269166.9364,2612326.72682,1269179.61252,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
14,2612350.5662,1269166.9364,2612327.60976,1269179.14303,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
15,2612350.5662,1269166.9364,2612328.4927,1269178.67355,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
16,2612350.5662,1269166.9364,2612329.37564,1269178.20406,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
17,2612350.5662,1269166.9364,2612330.25858,1269177.73457,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
18,2612350.5662,1269166.9364,2612331.14152,1269177.26509,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
19,2612350.5662,1269166.9364,2612332.02446,1269176.7956,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
20,2612350.5662,1269166.9364,2612332.9074,1269176.32612,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
21,2612350.5662,1269166.9364,2612333.79034,1269175.85663,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
22,2612350.5662,1269166.9364,2612334.67328,1269175.38714,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
23,2612350.5662,1269166.9364,2612335.55622,1269174.91766,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
24,2612350.5662,1269166.9364,2612336.43916,1269174.44817,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
25,2612350.5662,1269166.9364,2612337.3221,1269173.97869,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
26,2612350.5662,1269166.9364,2612338.20504,1269173.5092,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
27,2612350.5662,1269166.9364,2612339.08798,1269173.03972,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
28,2612350.5662,1269166.9364,2612339.97092,1269172.57023,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
29,2612350.5662,1269166.9364,2612340.85386,1269172.10074,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
30,2612350.5662,1269166.9364,2612341.7368,1269171.63126,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
31,2612350.5662,1269166.9364,2612342.61974,1269171.16177,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
32,2612350.5662,1269166.9364,2612343.50268,1269170.69229,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
33,2612350.5662,1269166.9364,2612344.38562,1269170.2228,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
34,2612350.5662,1269166.9364,2612345.26856,1269169.75331,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
35,2612350.5662,1269166.9364,2612346.1515,1269169.28383,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
36,2612350.5662,1269166.9364,2612347.03444,1269168.81434,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
37,2612350.5662,1269166.9364,2612347.91738,1269168.34486,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
38,2612350.5662,1269166.9364,2612348.80032,1269167.87537,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
39,2612350.5662,1269166.9364,2612349.68326,1269167.40589,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
40,2612350.5662,1269166.9364,2612350.5662,1269166.9364,-588361.358898,-588.361358898,DC3,DC3,DC3,0.00150000000002
41,2612350.5662,1269166.9364,2612351.44914,1269166.46691,-0.0,588.361358898,DC3,DC1,DC3,0.00150000000002
42,2612350.5662,1269166.9364,2612352.33208,1269165.99743,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
43,2612350.5662,1269166.9364,2612353.21502,1269165.52794,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
44,2612350.5662,1269166.9364,2612354.09796,1269165.05846,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
45,2612350.5662,1269166.9364,2612354.9809,1269164.58897,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
46,2612350.5662,1269166.9364,2612355.86384,1269164.11949,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
47,2612350.5662,1269166.9364,2612356.74678,1269163.65,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
48,2612350.5662,1269166.9364,2612357.62972,1269163.18051,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
49,2612350.5662,1269166.9364,2612358.51266,1269162.71103,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
50,2612350.5662,1269166.9364,2612359.3956,1269162.24154,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
51,2612350.5662,1269166.9364,2612360.27854,1269161.77206,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
52,2612350.5662,1269166.9364,2612361.16148,1269161.30257,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
53,2612350.5662,1269166.9364,2612362.04442,1269160.83308,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
54,2612350.5662,1269166.9364,2612362.92736,1269160.3636,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
55,2612350.5662,1269166.9364,2612363.8103,1269159.89411,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
56,2612350.5662,1269166.9364,2612364.69324,1269159.42463,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
57,2612350.5662,1269166.9364,2612365.57618,1269158.95514,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
58,2612350.5662,1269166.9364,2612366.45912,1269158.48566,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
59,2612350.5662,1269166.9364,2612367.34206,1269158.01617,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
60,2612350.5662,1269166.9364,2612368.225,1269157.54668,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
61,2612350.5662,1269166.9364,2612369.10794,1269157.0772,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
62,2612350.5662,1269166.9364,2612369.99088,1269156.60771,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
63,2612350.5662,1269166.9364,2612370.87382,1269156.13823,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
64,2612350.5662,1269166.9364,2612371.75676,1269155.66874,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
65,2612350.5662,1269166.9364,2612372.6397,1269155.19925,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
66,2612350.5662,1269166.9364,2612373.52264,1269154.72977,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
67,2612350.5662,1269166.9364,2612374.40558,1269154.26028,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
68,2612350.5662,1269166.9364,2612375.28852,1269153.7908,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
69,2612350.5662,1269166.9364,2612376.17146,1269153.32131,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
70,2612350.5662,1269166.9364,2612377.0544,1269152.85183,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
71,2612350.5662,1269166.9364,2612377.93734,1269152.38234,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
72,2612350.5662,1269166.9364,2612378.82028,1269151.91285,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
73,2612350.5662,1269166.9364,2612379.70322,1269151.44337,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
74,2612350.5662,1269166.9364,2612380.58616,1269150.97388,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
75,2612350.5662,1269166.9364,2612381.4691,1269150.5044,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
76,2612350.5662,1269166.9364,2612382.35204,1269150.03491,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
77,2612350.5662,1269166.9364,2612383.23498,1269149.56542,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
78,2612350.5662,1269166.9364,2612384.11792,1269149.09594,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
79,2612350.5662,1269166.9364,2612385.00086,1269148.62645,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
0,2612356.2097,1269156.3462,2612320.93731,1269175.21041,-0.0,0.0,DC1,DC1,DC1,1.6567
1,2612356.2097,1269156.3462,2612321.81912,1269174.7388,-0.0,0.0,DC1,DC1,DC1,1.6567
2,2612356.2097,1269156.3462,2612322.70093,1269174.2672,-2.40869353989e-315,-2.40869353989e-318,DC1,DC1,DC1,1.6567
3,2612356.2097,1269156.3462,2612323.58274,1269173.79559,-7.31756522503e-299,-7.31756522503e-302,DC1,DC1,DC1,1.6567
4,2612356.2097,1269156.3462,2612324.46455,1269173.32399,-8.08009302746e-283,-8.08009302746e-286,DC1,DC1,DC1,1.6567
5,2612356.2097,1269156.3462,2612325.34636,1269172.85238,-3.2428772485e-267,-3.2428772485e-270,DC1,DC1,DC1,1.6567
6,2612356.2097,1269156.3462,2612326.22817,1269172.38078,-4.7305218068e-252,-4.7305218068e-255,DC1,DC1,DC1,1.6567
7,2612356.2097,1269156.3462,2612327.10998,1269171.90917,-2.50814117621e-237,-2.50814117621e-240,DC1,DC1,DC1,1.6567
8,2612356.2097,1269156.3462,2612327.99179,1269171.43757,-4.83347300568e-223,-4.83347300568e-226,DC1,DC1,DC1,1.6567
9,2612356.2097,1269156.3462,2612328.8736,1269170.96596,-3.38556383631e-209,-3.38556383631e-212,DC1,DC1,DC1,1.6567
10,2612356.2097,1269156.3462,2612329.75541,1269170.49436,-8.61920294848e-196,-8.61920294848e-199,DC1,DC1,DC1,1.6567
11,2612356.2097,1269156.3462,2612330.63722,1269170.02275,-7.97567771868e-183,-7.97567771868e-186,DC1,DC1,DC1,1.6567
12,2612356.2097,1269156.3462,2612331.51903,1269169.55115,-2.68245519549e-170,-2.68245519549e-173,DC1,DC1,DC1,1.6567
13,2612356.2097,1269156.3462,2612332.40084,1269169.07954,-3.27915350135e-158,-3.27915350135e-161,DC1,DC1,DC1,1.6567
14,2612356.2097,1269156.3462,2612333.28265,1269168.60794,-1.45698609644e-146,-1.45698609644e-149,DC1,DC1,DC1,1.6567
15,2612356.2097,1269156.3462,2612334.16446,1269168.13633,-2.35295411491e-135,-2.35295411489e-138,DC1,DC1,DC1,1.6567
16,2612356.2097,1269156.3462,2612335.04627,1269167.66473,-1.38113426144e-124,-1.38113426142e-127,DC1,DC1,DC1,1.6567
17,2612356.2097,1269156.3462,2612335.92807,1269167.19312,-2.94661048433e-114,-2.94661048419e-117,DC1,DC1,DC1,1.6567
18,2612356.2097,1269156.3462,2612336.80988,1269166.72152,-2.28493553023e-104,-2.28493552994e-107,DC1,DC1,DC1,1.6567
19,2612356.2097,1269156.3462,2612337.69169,1269166.24991,-6.44005478962e-95,-6.44005478733e-98,DC1,DC1,DC1,1.6567
20,2612356.2097,1269156.3462,2612338.5735,1269165.7783,-6.59735059165e-86,-6.59735058521e-89,DC1,DC1,DC1,1.6567
21,2612356.2097,1269156.3462,2612339.45531,1269165.3067,-2.45648408789e-77,-2.45648408129e-80,DC1,DC1,DC1,1.6567
22,2612356.2097,1269156.3462,2612340.33712,1269164.83509,-3.32447244093e-69,-3.32447241636e-72,DC1,DC1,DC1,1.6567
23,2612356.2097,1269156.3462,2612341.21893,1269164.36349,-1.63529424774e-61,-1.63529421449e-64,DC1,DC1,DC1,1.6567
24,2612356.2097,1269156.3462,2612342.10074,1269163.89188,-2.92370446674e-54,-2.92370430321e-57,DC1,DC1,DC1,1.6567
25,2612356.2097,1269156.3462,2612342.98255,1269163.42028,-1.89992047722e-47,-1.89992018485e-50,DC1,DC1,DC1,1.6567
26,2612356.2097,1269156.3462,2612343.86436,1269162.94867,-4.48747214772e-41,-4.4874702478e-44,DC1,DC1,DC1,1.6567
27,2612356.2097,1269156.3462,2612344.74617,1269162.47707,-3.85240997535e-35,-3.85240548788e-38,DC1,DC1,DC1,1.6567
28,2612356.2097,1269156.3462,2612345.62798,1269162.00546,-1.20206408498e-29,-1.20206023257e-32,DC1,DC1,DC1,1.6567
29,2612356.2097,1269156.3462,2612346.50979,1269161.53386,-1.36328650154e-24,-1.3632744809e-27,DC1,DC1,DC1,1.6567
30,2612356.2097,1269156.3462,2612347.3916,1269161.06225,-5.61967290175e-20,-5.6195365731e-23,DC1,DC1,DC1,1.6567
31,2612356.2097,1269156.3462,2612348.27341,1269160.59065,-8.41975260906e-16,-8.41919064177e-19,DC1,DC1,DC1,1.6567
32,2612356.2097,1269156.3462,2612349.15522,1269160.11904,-4.58513381306e-12,-4.5842918378e-15,DC1,DC1,DC1,1.6567
33,2612356.2097,1269156.3462,2612350.03703,1269159.64744,-9.07546922439e-09,-9.07088409058e-12,DC1,DC1,DC1,1.6567
34,2612356.2097,1269156.3462,2612350.91884,1269159.17583,-6.52905838573e-06,-6.51998291651e-09,DC1,DC1,DC1,1.6567
35,2612356.2097,1269156.3462,2612351.80065,1269158.70423,-0.00170724718903,-1.70071813064e-06,DC1,DC1,DC1,1.6567
36,2612356.2097,1269156.3462,2612352.68246,1269158.23262,-0.162258198766,-0.000160550951577,DC1,DC1,DC1,1.6567
37,2612356.2097,1269156.3462,2612353.56427,1269157.76102,-5.60507315184,-0.00544281495308,DC3,DC1,DC3,1.6567
38,2612356.2097,1269156.3462,2612354.44608,1269157.28941,-70.3753081536,-0.0647702350018,DC3,DC3,DC3,1.6567
39,2612356.2097,1269156.3462,2612355.32789,1269156.81781,-321.161682374,-0.25078637422,DC3,DC3,DC3,1.6567
40,2612356.2097,1269156.3462,2612356.2097,1269156.3462,-532.710833802,-0.211549151428,DC3,DC3,DC3,1.6567
41,2612356.2097,1269156.3462,2612357.09151,1269155.87459,-321.161682374,0.211549151428,DC3,DC3,DC3,1.6567
42,2612356.2097,1269156.3462,2612357.97332,1269155.40299,-70.3753081536,0.25078637422,DC3,DC3,DC3,1.6567
43,2612356.2097,1269156.3462,2612358.85513,1269154.93138,-5.60507315184,0.0647702350018,DC3,DC1,DC3,1.6567
44,2612356.2097,1269156.3462,2612359.73694,1269154.45978,-0.162258198766,0.00544281495308,DC3,DC1,DC3,1.6567
45,2612356.2097,1269156.3462,2612360.61875,1269153.98817,-0.00170724718903,0.000160550951577,DC1,DC1,DC1,1.6567
46,2612356.2097,1269156.3462,2612361.50056,1269153.51657,-6.52905838573e-06,1.70071813064e-06,DC1,DC1,DC1,1.6567
47,2612356.2097,1269156.3462,2612362.38237,1269153.04496,-9.07546922439e-09,6.51998291651e-09,DC1,DC1,DC1,1.6567
48,2612356.2097,1269156.3462,2612363.26418,1269152.57336,-4.58513381306e-12,9.07088409058e-12,DC1,DC1,DC1,1.6567
49,2612356.2097,1269156.3462,2612364.14599,1269152.10175,-8.41975260906e-16,4.5842918378e-15,DC1,DC1,DC1,1.6567
50,2612356.2097,1269156.3462,2612365.0278,1269151.63015,-5.61967290175e-20,8.41919064177e-19,DC1,DC1,DC1,1.6567
51,2612356.2097,1269156.3462,2612365.90961,1269151.15854,-1.36328650154e-24,5.6195365731e-23,DC1,DC1,DC1,1.6567
52,2612356.2097,1269156.3462,2612366.79142,1269150.68694,-1.20206408498e-29,1.3632744809e-27,DC1,DC1,DC1,1.6567
53,2612356.2097,1269156.3462,2612367.67323,1269150.21533,-3.85240997535e-35,1.20206023257e-32,DC1,DC1,DC1,1.6567
54,2612356.2097,1269156.3462,2612368.55504,1269149.74373,-4.48747214772e-41,3.85240548788e-38,DC1,DC1,DC1,1.6567
55,2612356.2097,1269156.3462,2612369.43685,1269149.27212,-1.89992047722e-47,4.4874702478e-44,DC1,DC1,DC1,1.6567
56,2612356.2097,1269156.3462,2612370.31866,1269148.80052,-2.92370446674e-54,1.89992018485e-50,DC1,DC1,DC1,1.6567
57,2612356.2097,1269156.3462,2612371.20047,1269148.32891,-1.63529424774e-61,2.92370430321e-57,DC1,DC1,DC1,1.6567
58,2612356.2097,1269156.3462,2612372.08228,1269147.85731,-3.32447244093e-69,1.63529421449e-64,DC1,DC1,DC1,1.6567
59,2612356.2097,1269156.3462,2612372.96409,1269147.3857,-2.45648408789e-77,3.32447241636e-72,DC1,DC1,DC1,1.6567
60,2612356.2097,1269156.3462,2612373.8459,1269146.9141,-6.59735059165e-86,2.45648408129e-80,DC1,DC1,DC1,1.6567
61,2612356.2097,1269156.3462,2612374.72771,1269146.44249,-6.44005478962e-95,6.59735058521e-89,DC1,DC1,DC1,1.6567
62,2612356.2097,1269156.3462,2612375.60952,1269145.97088,-2.28493553023e-104,6.44005478733e-98,DC1,DC1,DC1,1.6567
63,2612356.2097,1269156.3462,2612376.49133,1269145.49928,-2.94661048433e-114,2.28493552994e-107,DC1,DC1,DC1,1.6567
64,2612356.2097,1269156.3462,2612377.37313,1269145.02767,-1.38113426144e-124,2.94661048419e-117,DC1,DC1,DC1,1.6567
65,2612356.2097,1269156.3462,2612378.25494,1269144.55607,-2.35295411491e-135,1.38113426142e-127,DC1,DC1,DC1,1.6567
66,2612356.2097,1269156.3462,2612379.13675,1269144.08446,-1.45698609644e-146,2.35295411489e-138,DC1,DC1,DC1,1.6567
67,2612356.2097,1269156.3462,2612380.01856,1269143.61286,-3.27915350135e-158,1.45698609644e-149,DC1,DC1,DC1,1.6567
68,2612356.2097,1269156.3462,2612380.90037,1269143.14125,-2.68245519549e-170,3.27915350135e-161,DC1,DC1,DC1,1.6567
69,2612356.2097,1269156.3462,2612381.78218,1269142.66965,-7.97567771868e-183,2.68245519549e-173,DC1,DC1,DC1,1.6567
70,2612356.2097,1269156.3462,2612382.66399,1269142.19804,-8.61920294848e-196,7.97567771868e-186,DC1,DC1,DC1,1.6567
71,2612356.2097,1269156.3462,2612383.5458,1269141.72644,-3.38556383631e-209,8.61920294848e-199,DC1,DC1,DC1,1.6567
72,2612356.2097,1269156.3462,2612384.42761,1269141.25483,-4.83347300568e-223,3.38556383631e-212,DC1,DC1,DC1,1.6567
73,2612356.2097,1269156.3462,2612385.30942,1269140.78323,-2.50814117621e-237,4.83347300568e-226,DC1,DC1,DC1,1.6567
74,2612356.2097,1269156.3462,2612386.19123,1269140.31162,-4.7305218068e-252,2.50814117621e-240,DC1,DC1,DC1,1.6567
75,2612356.2097,1269156.3462,2612387.07304,1269139.84002,-3.2428772485e-267,4.7305218068e-255,DC1,DC1,DC1,1.6567
76,2612356.2097,1269156.3462,2612387.95485,1269139.36841,-8.08009302746e-283,3.2428772485e-270,DC1,DC1,DC1,1.6567
77,2612356.2097,1269156.3462,2612388.83666,1269138.89681,-7.31756522503e-299,8.08009302746e-286,DC1,DC1,DC1,1.6567
78,2612356.2097,1269156.3462,2612389.71847,1269138.4252,-2.40869353989e-315,7.31756522503e-302,DC1,DC1,DC1,1.6567
79,2612356.2097,1269156.3462,2612390.60028,1269137.9536,-0.0,2.40869353989e-318,DC1,DC1,DC1,1.6567
0,2612357.6245,1269153.7008,2612322.37501,1269172.60776,-0.0,0.0,DC1,DC1,DC1,0.2498
1,2612357.6245,1269153.7008,2612323.25624,1269172.13509,-0.0,0.0,DC1,DC1,DC1,0.2498
2,2612357.6245,1269153.7008,2612324.13748,1269171.66241,-0.0,0.0,DC1,DC1,DC1,0.2498
3,2612357.6245,1269153.7008,2612325.01872,1269171.18974,-0.0,0.0,DC1,DC1,DC1,0.2498
4,2612357.6245,1269153.7008,2612325.89995,1269170.71706,-0.0,0.0,DC1,DC1,DC1,0.2498
5,2612357.6245,1269153.7008,2612326.78119,1269170.24439,-0.0,0.0,DC1,DC1,DC1,0.2498
6,2612357.6245,1269153.7008,2612327.66243,1269169.77172,-0.0,0.0,DC1,DC1,DC1,0.2498
7,2612357.6245,1269153.7008,2612328.54367,1269169.29904,-0.0,0.0,DC1,DC1,DC1,0.2498
8,2612357.6245,1269153.7008,2612329.4249,1269168.82637,-0.0,0.0,DC1,DC1,DC1,0.2498
9,2612357.6245,1269153.7008,2612330.30614,1269168.35369,-0.0,0.0,DC1,DC1,DC1,0.2498
10,2612357.6245,1269153.7008,2612331.18738,1269167.88102,-0.0,0.0,DC1,DC1,DC1,0.2498
11,2612357.6245,1269153.7008,2612332.06862,1269167.40835,-0.0,0.0,DC1,DC1,DC1,0.2498
12,2612357.6245,1269153.7008,2612332.94985,1269166.93567,-0.0,0.0,DC1,DC1,DC1,0.2498
13,2612357.6245,1269153.7008,2612333.83109,1269166.463,-0.0,0.0,DC1,DC1,DC1,0.2498
14,2612357.6245,1269153.7008,2612334.71233,1269165.99032,-0.0,0.0,DC1,DC1,DC1,0.2498
15,2612357.6245,1269153.7008,2612335.59357,1269165.51765,-0.0,0.0,DC1,DC1,DC1,0.2498
16,2612357.6245,1269153.7008,2612336.4748,1269165.04498,-0.0,0.0,DC1,DC1,DC1,0.2498
17,2612357.6245,1269153.7008,2612337.35604,1269164.5723,-0.0,0.0,DC1,DC1,DC1,0.2498
18,2612357.6245,1269153.7008,2612338.23728,1269164.09963,-0.0,0.0,DC1,DC1,DC1,0.2498
19,2612357.6245,1269153.7008,2612339.11852,1269163.62695,-0.0,0.0,DC1,DC1,DC1,0.2498
20,2612357.6245,1269153.7008,2612339.99975,1269163.15428,-0.0,0.0,DC1,DC1,DC1,0.2498
21,2612357.6245,1269153.7008,2612340.88099,1269162.68161,-0.0,0.0,DC1,DC1,DC1,0.2498
22,2612357.6245,1269153.7008,2612341.76223,1269162.20893,-0.0,0.0,DC1,DC1,DC1,0.2498
23,2612357.6245,1269153.7008,2612342.64346,1269161.73626,-0.0,0.0,DC1,DC1,DC1,0.2498
24,2612357.6245,1269153.7008,2612343.5247,1269161.26358,-0.0,0.0,DC1,DC1,DC1,0.2498
25,2612357.6245,1269153.7008,2612344.40594,1269160.79091,-0.0,0.0,DC1,DC1,DC1,0.2498
26,2612357.6245,1269153.7008,2612345.28718,1269160.31824,-0.0,0.0,DC1,DC1,DC1,0.2498
27,2612357.6245,1269153.7008,2612346.16841,1269159.84556,-0.0,0.0,DC1,DC1,DC1,0.2498
28,2612357.6245,1269153.7008,2612347.04965,1269159.37289,-0.0,0.0,DC1,DC1,DC1,0.2498
29,2612357.6245,1269153.7008,2612347.93089,1269158.90021,-0.0,0.0,DC1,DC1,DC1,0.2498
30,2612357.6245,1269153.7008,2612348.81213,1269158.42754,-0.0,0.0,DC1,DC1,DC1,0.2498
31,2612357.6245,1269153.7008,2612349.69336,1269157.95487,-0.0,0.0,DC1,DC1,DC1,0.2498
32,2612357.6245,1269153.7008,2612350.5746,1269157.48219,-0.0,0.0,DC1,DC1,DC1,0.2498
33,2612357.6245,1269153.7008,2612351.45584,1269157.00952,-0.0,0.0,DC1,DC1,DC1,0.2498
34,2612357.6245,1269153.7008,2612352.33708,1269156.53684,-0.0,0.0,DC1,DC1,DC1,0.2498
35,2612357.6245,1269153.7008,2612353.21831,1269156.06417,-7.70774817964e-239,-7.70774817964e-242,DC1,DC1,DC1,0.2498
36,2612357.6245,1269153.7008,2612354.09955,1269155.5915,-7.67299790037e-152,-7.67299790037e-155,DC1,DC1,DC1,0.2498
37,2612357.6245,1269153.7008,2612354.98079,1269155.11882,-3.54899514608e-84,-3.54899514608e-87,DC1,DC1,DC1,0.2498
38,2612357.6245,1269153.7008,2612355.86203,1269154.64615,-7.62690778321e-36,-7.62690778321e-39,DC1,DC1,DC1,0.2498
39,2612357.6245,1269153.7008,2612356.74326,1269154.17347,-7.61542857746e-07,-7.61542857746e-10,DC1,DC1,DC1,0.2498
40,2612357.6245,1269153.7008,2612357.6245,1269153.7008,-3532.99454908,-3.53299454832,DC3,DC3,DC3,0.2498
41,2612357.6245,1269153.7008,2612358.50574,1269153.22813,-7.61542857746e-07,3.53299454832,DC3,DC1,DC3,0.2498
42,2612357.6245,1269153.7008,2612359.38697,1269152.75545,-7.62690778321e-36,7.61542857746e-10,DC1,DC1,DC1,0.2498
43,2612357.6245,1269153.7008,2612360.26821,1269152.28278,-3.54899514608e-84,7.62690778321e-39,DC1,DC1,DC1,0.2498
44,2612357.6245,1269153.7008,2612361.14945,1269151.8101,-7.67299790037e-152,3.54899514608e-87,DC1,DC1,DC1,0.2498
45,2612357.6245,1269153.7008,2612362.03069,1269151.33743,-7.70774817964e-239,7.67299790037e-155,DC1,DC1,DC1,0.2498
46,2612357.6245,1269153.7008,2612362.91192,1269150.86476,-0.0,7.70774817964e-242,DC1,DC1,DC1,0.2498
47,2612357.6245,1269153.7008,2612363.79316,1269150.39208,-0.0,0.0,DC1,DC1,DC1,0.2498
48,2612357.6245,1269153.7008,2612364.6744,1269149.91941,-0.0,0.0,DC1,DC1,DC1,0.2498
49,2612357.6245,1269153.7008,2612365.55564,1269149.44673,-0.0,0.0,DC1,DC1,DC1,0.2498
50,2612357.6245,1269153.7008,2612366.43687,1269148.97406,-0.0,0.0,DC1,DC1,DC1,0.2498
51,2612357.6245,1269153.7008,2612367.31811,1269148.50139,-0.0,0.0,DC1,DC1,DC1,0.2498
52,2612357.6245,1269153.7008,2612368.19935,1269148.02871,-0.0,0.0,DC1,DC1,DC1,0.2498
53,2612357.6245,1269153.7008,2612369.08059,1269147.55604,-0.0,0.0,DC1,DC1,DC1,0.2498
54,2612357.6245,1269153.7008,2612369.96182,1269147.08336,-0.0,0.0,DC1,DC1,DC1,0.2498
55,2612357.6245,1269153.7008,2612370.84306,1269146.61069,-0.0,0.0,DC1,DC1,DC1,0.2498
56,2612357.6245,1269153.7008,2612371.7243,1269146.13802,-0.0,0.0,DC1,DC1,DC1,0.2498
57,2612357.6245,1269153.7008,2612372.60554,1269145.66534,-0.0,0.0,DC1,DC1,DC1,0.2498
58,2612357.6245,1269153.7008,2612373.48677,1269145.19267,-0.0,0.0,DC1,DC1,DC1,0.2498
59,2612357.6245,1269153.7008,2612374.36801,1269144.71999,-0.0,0.0,DC1,DC1,DC1,0.2498
60,2612357.6245,1269153.7008,2612375.24925,1269144.24732,-0.0,0.0,DC1,DC1,DC1,0.2498
61,2612357.6245,1269153.7008,2612376.13048,1269143.77465,-0.0,0.0,DC1,DC1,DC1,0.2498
62,2612357.6245,1269153.7008,2612377.01172,1269143.30197,-0.0,0.0,DC1,DC1,DC1,0.2498
63,2612357.6245,1269153.7008,2612377.89296,1269142.8293,-0.0,0.0,DC1,DC1,DC1,0.2498
64,2612357.6245,1269153.7008,2612378.7742,1269142.35662,-0.0,0.0,DC1,DC1,DC1,0.2498
