,Easting,Northing,Elevation,DTM,Rocksurface,delta_rocksurface_tunnelaxis,BoreClass
69,2612247.8502,1269297.2719,270.297,249.9201,235.5,-34.797,BC1
70,2612247.8502,1269297.2719,270.297,249.9201,235.5,-34.797,BC1
71,2612247.8502,1269297.2719,270.297,249.9201,235.5,-34.797,BC1
72,2612250.2986,1269295.5607,270.19,250.0883,235.5,-34.69,BC1
73,2612252.7376,1269293.814,270.078,250.2419,235.5,-34.578,BC1
74,2612255.1563,1269292.0392,269.964,250.5002,235.5,-34.464,BC1
75,2612257.5543,1269290.2366,269.846,250.5002,235.5,-34.346,BC1
76,2612259.9314,1269288.4065,269.725,251.7095,236.0,-33.725,BC1
77,2612262.2872,1269286.5491,269.6,250.8564,236.0,-33.6,BC1
78,2612264.6214,1269284.6646,269.473,254.0242,236.0,-33.473,BC1
79,2612266.9338,1269282.7533,269.342,251.5852,236.0,-33.342,BC1
80,2612269.2239,1269280.8155,269.207,251.5852,236.0,-33.207,BC1
81,2612271.4915,1269278.8513,269.07,254.1157,236.0,-33.07,BC1
82,2612273.7363,1269276.8611,268.929,254.1157,235.5,-33.429,BC1
83,2612275.958,1269274.8452,268.785,254.0867,235.5,-33.285,BC1
84,2612278.1562,1269272.8038,268.638,254.0867,235.5,-33.138,BC1
85,2612280.3308,1269270.7371,268.487,252.6749,236.0,-32.487,BC1
86,2612282.4814,1269268.6455,268.333,253.9783,236.0,-32.333,BC1
87,2612284.6077,1269266.5292,268.176,253.9783,236.0,-32.176,BC1
88,2612286.7095,1269264.3885,268.015,253.9684,236.0,-32.015,BC1
89,2612288.7864,1269262.2237,267.852,253.9684,236.0,-31.852,BC1
90,2612290.8382,1269260.0351,267.685,254.0015,236.0,-31.685,BC1
91,2612292.8646,1269257.8229,267.514,254.0983,236.0,-31.514,BC1
92,2612293.2297,1269257.4188,267.483,254.0983,236.0,-31.483,BC1
93,2612294.8653,1269255.5875,267.342,254.0983,235.5,-31.842,BC1
94,2612296.8401,1269253.3292,267.169,254.2788,235.5,-31.669,BC1
95,2612298.7887,1269251.0483,266.997,254.2788,235.5,-31.497,BC1
96,2612300.7109,1269248.745,266.824,254.4404,236.0,-30.824,BC1
97,2612302.6064,1269246.4197,266.652,254.4404,236.0,-30.652,BC1
98,2612304.4749,1269244.0726,266.479,255.0592,236.0,-30.479,BC1
