WBScode,WorkType,ExcavationType,ProfileType,SectionArea,Station,Description
1,NaN,NaN,NaN,NaN,204+874.1,"highway"
111a,UEX,MUL,MUL1,120.0,205+470,"conventional excavation"
111b,UEX,TBM,TBM1,132.7,205+490,"TBM section"
111c,UEX,MUL,MUL1,120.0,208+625,"conventional excavation"
1,NaN,NaN,NaN,NaN,208+645,"highway"
1,NaN,NaN,NaN,NaN,209+302.668,"highway"
