,Station,Easting,Northing,Elevation,easting,northing,DTM
63,205+056,2612240.4982,1269302.4833,270.602,2612240.4982,1269302.4833,251.5019
64,205+059,2612242.9784,1269300.7956,270.504,2612242.9784,1269300.7956,251.5019
65,205+062,2612245.4258,1269299.0607,270.402,2612245.4258,1269299.0607,249.9201
66,205+065,2612247.8502,1269297.2719,270.298,2612247.8502,1269297.2719,249.9201
67,205+065,2612247.8502,1269297.2719,270.298,2612247.8502,1269297.2719,249.9201
68,205+065.013,2612247.8502,1269297.2719,270.297,2612247.8502,1269297.2719,249.9201
69,205+065.013,2612247.8502,1269297.2719,270.297,2612247.8502,1269297.2719,249.9201
70,205+068,2612250.2986,1269295.5607,270.19,2612250.2986,1269295.5607,250.0883
71,205+071,2612252.7376,1269293.814,270.078,2612252.7376,1269293.814,250.2419
72,205+074,2612255.1563,1269292.0392,269.964,2612255.1563,1269292.0392,250.5002
73,205+077,2612257.5543,1269290.2366,269.846,2612257.5543,1269290.2366,250.5002
74,205+080,2612259.9314,1269288.4065,269.725,2612259.9314,1269288.4065,251.7095
75,205+083,2612262.2872,1269286.5491,269.6,2612262.2872,1269286.5491,250.8564
76,205+086,2612264.6214,1269284.6646,269.473,2612264.6214,1269284.6646,254.0242
77,205+089,2612266.9338,1269282.7533,269.342,2612266.9338,1269282.7533,251.5852
78,205+092,2612269.2239,1269280.8155,269.207,2612269.2239,1269280.8155,251.5852
79,205+095,2612271.4915,1269278.8513,269.07,2612271.4915,1269278.8513,254.1157
80,205+098,2612273.7363,1269276.8611,268.929,2612273.7363,1269276.8611,254.1157
81,205+101,2612275.958,1269274.8452,268.785,2612275.958,1269274.8452,254.0867
82,205+104,2612278.1562,1269272.8038,268.638,2612278.1562,1269272.8038,254.0867
83,205+107,2612280.3308,1269270.7371,268.487,2612280.3308,1269270.7371,252.6749
84,205+110,2612282.4814,1269268.6455,268.333,2612282.4814,1269268.6455,253.9783
85,205+113,2612284.6077,1269266.5292,268.176,2612284.6077,1269266.5292,253.9783
86,205+116,2612286.7095,1269264.3885,268.015,2612286.7095,1269264.3885,253.9684
87,205+119,2612288.7864,1269262.2237,267.852,2612288.7864,1269262.2237,253.9684
88,205+122,2612290.8382,1269260.0351,267.685,2612290.8382,1269260.0351,254.0015
89,205+125,2612292.8646,1269257.8229,267.514,2612292.8646,1269257.8229,254.0983
90,205+125.545,2612293.2297,1269257.4188,267.483,2612293.2297,1269257.4188,254.0983
91,205+128,2612294.8653,1269255.5875,267.342,2612294.8653,1269255.5875,254.0983
92,205+131,2612296.8401,1269253.3292,267.169,2612296.8401,1269253.3292,254.2788
93,205+134,2612298.7887,1269251.0483,266.997,2612298.7887,1269251.0483,254.2788
94,205+137,2612300.7109,1269248.745,266.824,2612300.7109,1269248.745,254.4404
95,205+140,2612302.6064,1269246.4197,266.652,2612302.6064,1269246.4197,254.4404
96,205+143,2612304.4749,1269244.0726,266.479,2612304.4749,1269244.0726,255.0592
97,205+146,2612306.3162,1269241.7042,266.307,2612306.3162,1269241.7042,254.9908
98,205+149,2612308.1301,1269239.3147,266.134,2612308.1301,1269239.3147,256.2147
99,205+152,2612309.9163,1269236.9044,265.962,2612309.9163,1269236.9044,256.2147
100,205+155,2612311.6745,1269234.4737,265.789,2612311.6745,1269234.4737,257.0247
101,205+158,2612313.4046,1269232.0228,265.617,2612313.4046,1269232.0228,257.0247
102,205+161,2612315.1063,1269229.5521,265.444,2612315.1063,1269229.5521,257.9974
103,205+162.354,2612315.865,1269228.4306,265.367,2612315.865,1269228.4306,257.9974
104,205+164,2612316.787,1269227.0617,265.272,2612316.787,1269227.0617,257.9974
105,205+167,2612318.4418,1269224.5594,265.099,2612318.4418,1269224.5594,258.122
106,205+170,2612320.0698,1269222.0395,264.927,2612320.0698,1269222.0395,258.7224
107,205+173,2612321.6723,1269219.5034,264.754,2612321.6723,1269219.5034,260.0022
108,205+176,2612323.2505,1269216.9521,264.582,2612323.2505,1269216.9521,260.0022
109,205+179,2612324.8057,1269214.3867,264.409,2612324.8057,1269214.3867,259.1537
110,205+182,2612326.3393,1269211.8083,264.237,2612326.3393,1269211.8083,262.4988
111,205+185,2612327.8526,1269209.218,264.064,,,
112,205+188,2612329.347,1269206.6167,263.892,2612329.347,1269206.6167,260.7979
113,205+191,2612330.8239,1269204.0054,263.719,2612330.8239,1269204.0054,261.9851
114,205+194,2612332.2847,1269201.3851,263.547,2612332.2847,1269201.3851,261.9851
115,205+197,2612333.7308,1269198.7566,263.374,2612333.7308,1269198.7566,260.7999
116,205+200,2612335.1636,1269196.1209,263.202,2612335.1636,1269196.1209,261.6352
117,205+203,2612336.5846,1269193.4788,263.029,2612336.5846,1269193.4788,260.9614
118,205+206,2612337.9953,1269190.8312,262.857,2612337.9953,1269190.8312,260.9614
119,205+209,2612339.3971,1269188.1789,262.684,2612339.3971,1269188.1789,259.6133
120,205+212,2612340.7916,1269185.5226,262.512,2612340.7916,1269185.5226,261.6351
121,205+215,2612342.1801,1269182.8633,262.339,2612342.1801,1269182.8633,260.0558
122,205+218,2612343.5643,1269180.2017,262.167,2612343.5643,1269180.2017,260.0558
123,205+220.619,2612344.7703,1269177.8768,262.016,2612344.7703,1269177.8768,258.8072
124,205+221,2612344.9482,1269177.54,261.994,2612344.9482,1269177.54,258.8072
125,205+224,2612346.3503,1269174.8878,261.822,2612346.3503,1269174.8878,260.3187
126,205+227,2612347.754,1269172.2365,261.649,2612347.754,1269172.2365,260.3187
127,205+230,2612349.1593,1269169.586,261.477,2612349.1593,1269169.586,258.8674
128,205+230.263,2612349.2826,1269169.3536,261.462,2612349.2826,1269169.3536,258.8674
129,205+233,2612350.5662,1269166.9364,261.305,2612350.5662,1269166.9364,261.3065
130,205+236,2612351.9747,1269164.2875,261.133,2612351.9747,1269164.2875,260.7338
131,205+239,2612353.3848,1269161.6396,260.962,2612353.3848,1269161.6396,260.7338
132,205+242,2612354.7964,1269158.9925,260.792,2612354.7964,1269158.9925,259.2222
133,205+245,2612356.2097,1269156.3462,260.622,2612356.2097,1269156.3462,262.2787
134,205+248,2612357.6245,1269153.7008,260.452,2612357.6245,1269153.7008,260.7018
135,205+251,2612359.041,1269151.0562,260.284,,,
136,205+254,2612360.459,1269148.4125,260.116,,,
137,205+257,2612361.8786,1269145.7696,259.948,2612361.8786,1269145.7696,261.4623
138,205+260,2612363.2998,1269143.1276,259.781,2612363.2998,1269143.1276,260.7289
139,205+263,2612364.7225,1269140.4865,259.615,2612364.7225,1269140.4865,260.7289
140,205+266,2612366.1469,1269137.8462,259.45,2612366.1469,1269137.8462,261.9745
141,205+269,2612367.5728,1269135.2067,259.284,2612367.5728,1269135.2067,261.9745
142,205+272,2612369.0003,1269132.5681,259.12,2612369.0003,1269132.5681,261.4646
143,205+275,2612370.4295,1269129.9304,258.956,2612370.4295,1269129.9304,262.5366
144,205+278,2612371.8601,1269127.2935,258.793,2612371.8601,1269127.2935,262.5366
145,205+281,2612373.2924,1269124.6575,258.63,2612373.2924,1269124.6575,261.2839
146,205+284,2612374.7263,1269122.0223,258.468,2612374.7263,1269122.0223,261.2839
147,205+287,2612376.1617,1269119.388,258.307,2612376.1617,1269119.388,262.5316
148,205+290,2612377.5987,1269116.7546,258.146,2612377.5987,1269116.7546,262.5316
149,205+293,2612379.0373,1269114.122,257.986,2612379.0373,1269114.122,262.0572
150,205+296,2612380.4775,1269111.4903,257.826,2612380.4775,1269111.4903,262.5215
151,205+299,2612381.9192,1269108.8595,257.667,2612381.9192,1269108.8595,262.4756
152,205+302,2612383.3625,1269106.2295,257.508,2612383.3625,1269106.2295,262.4756
153,205+305,2612384.8074,1269103.6004,257.351,2612384.8074,1269103.6004,262.4282
154,205+308,2612386.2539,1269100.9721,257.193,2612386.2539,1269100.9721,262.4752
155,205+311,2612387.702,1269098.3447,257.037,2612387.702,1269098.3447,262.4262
156,205+314,2612389.1516,1269095.7182,256.881,2612389.1516,1269095.7182,262.4262
157,205+317,2612390.6028,1269093.0926,256.725,2612390.6028,1269093.0926,262.494
158,205+320,2612392.0556,1269090.4678,256.57,2612392.0556,1269090.4678,262.494
159,205+323,2612393.51,1269087.8439,256.416,2612393.51,1269087.8439,262.4827
160,205+326,2612394.9659,1269085.2209,256.262,2612394.9659,1269085.2209,262.4827
161,205+329,2612396.4234,1269082.5987,256.109,2612396.4234,1269082.5987,262.5408
162,205+332,2612397.8825,1269079.9775,255.957,2612397.8825,1269079.9775,262.4436
163,205+335,2612399.3432,1269077.3571,255.805,2612399.3432,1269077.3571,262.4436
164,205+338,2612400.8054,1269074.7375,255.654,2612400.8054,1269074.7375,262.5587
165,205+341,2612402.2692,1269072.1189,255.503,2612402.2692,1269072.1189,262.5587
166,205+342.439,2612402.9719,1269070.8631,255.431,2612402.9719,1269070.8631,262.5587
167,205+344,2612403.7346,1269069.5011,255.353,2612403.7346,1269069.5011,262.5389
168,205+347,2612405.2015,1269066.8842,255.203,2612405.2015,1269066.8842,262.5375
169,205+350,2612406.67,1269064.2682,255.053,2612406.67,1269064.2682,262.5353
170,205+353,2612408.1401,1269061.6531,254.902,2612408.1401,1269061.6531,262.5353
171,205+356,2612409.6117,1269059.0389,254.752,2612409.6117,1269059.0389,262.5641
172,205+359,2612411.0849,1269056.4255,254.602,2612411.0849,1269056.4255,262.5919
173,205+362,2612412.5597,1269053.813,254.452,2612412.5597,1269053.813,262.6098
174,205+365,2612414.0361,1269051.2015,254.302,2612414.0361,1269051.2015,262.6098
175,205+368,2612415.514,1269048.5908,254.152,2612415.514,1269048.5908,262.6429
176,205+371,2612416.9935,1269045.9809,254.002,2612416.9935,1269045.9809,262.6429
177,205+374,2612418.4745,1269043.372,253.852,2612418.4745,1269043.372,262.7045
178,205+377,2612419.9571,1269040.764,253.702,2612419.9571,1269040.764,262.7045
179,205+380,2612421.4413,1269038.1568,253.552,2612421.4413,1269038.1568,262.7251
180,205+383,2612422.9271,1269035.5506,253.402,2612422.9271,1269035.5506,262.7251
181,205+386,2612424.4144,1269032.9452,253.252,2612424.4144,1269032.9452,262.6821
182,205+389,2612425.9032,1269030.3407,253.101,2612425.9032,1269030.3407,262.7433
183,205+389.861,2612426.3308,1269029.5935,253.058,2612426.3308,1269029.5935,262.7191
184,205+392,2612427.3933,1269027.7369,252.951,2612427.3933,1269027.7369,262.7191
185,205+395,2612428.8834,1269025.1332,252.801,2612428.8834,1269025.1332,262.7191
186,205+398,2612430.3735,1269022.5294,252.651,2612430.3735,1269022.5294,262.7195
187,205+401,2612431.8636,1269019.9256,252.501,2612431.8636,1269019.9256,262.6719
188,205+404,2612433.3537,1269017.3219,252.351,2612433.3537,1269017.3219,262.6719
189,205+407,2612434.8438,1269014.7181,252.201,2612434.8438,1269014.7181,262.5436
190,205+410,2612436.3339,1269012.1143,252.051,2612436.3339,1269012.1143,262.6749
191,205+413,2612437.824,1269009.5106,251.901,2612437.824,1269009.5106,262.6347
192,205+416,2612439.3141,1269006.9068,251.751,2612439.3141,1269006.9068,262.6347
193,205+419,2612440.8041,1269004.303,251.601,2612440.8041,1269004.303,262.6527
194,205+422,2612442.2942,1269001.6993,251.451,2612442.2942,1269001.6993,262.6527
195,205+425,2612443.7843,1268999.0955,251.3,2612443.7843,1268999.0955,262.5565
196,205+428,2612445.2744,1268996.4917,251.15,2612445.2744,1268996.4917,262.6941
197,205+431,2612446.7645,1268993.888,251.0,2612446.7645,1268993.888,262.5862
198,205+434,2612448.2546,1268991.2842,250.85,2612448.2546,1268991.2842,262.5862
199,205+437,2612449.7447,1268988.6804,250.7,2612449.7447,1268988.6804,262.5786
200,205+440,2612451.2348,1268986.0767,250.55,2612451.2348,1268986.0767,262.5993
201,205+443,2612452.7249,1268983.4729,250.4,2612452.7249,1268983.4729,262.5519
202,205+446,2612454.215,1268980.8691,250.25,2612454.215,1268980.8691,262.5519
203,205+449,2612455.7051,1268978.2653,250.1,2612455.7051,1268978.2653,262.6379
204,205+452,2612457.1952,1268975.6616,249.95,2612457.1952,1268975.6616,262.6379
205,205+455,2612458.6853,1268973.0578,249.8,2612458.6853,1268973.0578,262.6548
206,205+458,2612460.1754,1268970.454,249.65,,,
207,205+461,2612461.6655,1268967.8503,249.499,2612461.6655,1268967.8503,262.8065
208,205+464,2612463.1556,1268965.2465,249.349,2612463.1556,1268965.2465,262.8065
209,205+467,2612464.6457,1268962.6427,249.199,2612464.6457,1268962.6427,262.8657
210,205+470,2612466.1358,1268960.039,249.049,2612466.1358,1268960.039,262.9531
211,205+473,2612467.6259,1268957.4352,248.899,2612467.6259,1268957.4352,262.9869
212,205+476,2612469.116,1268954.8314,248.749,2612469.116,1268954.8314,262.8869
213,205+479,2612470.6061,1268952.2277,248.599,2612470.6061,1268952.2277,262.7819
214,205+482,2612472.0962,1268949.6239,248.449,2612472.0962,1268949.6239,262.8746
215,205+485,2612473.5863,1268947.0201,248.299,2612473.5863,1268947.0201,262.8746
216,205+488,2612475.0764,1268944.4164,248.149,2612475.0764,1268944.4164,262.9595
217,205+491,2612476.5665,1268941.8126,247.999,2612476.5665,1268941.8126,262.9595
218,205+494,2612478.0566,1268939.2088,247.849,2612478.0566,1268939.2088,262.7365
219,205+497,2612479.5467,1268936.6051,247.698,2612479.5467,1268936.6051,262.7365
220,205+500,2612481.0368,1268934.0013,247.548,2612481.0368,1268934.0013,262.8015
221,205+503,2612482.5269,1268931.3975,247.398,2612482.5269,1268931.3975,262.8015
222,205+506,2612484.017,1268928.7938,247.248,2612484.017,1268928.7938,262.8928
223,205+509,2612485.5071,1268926.19,247.098,2612485.5071,1268926.19,262.7388
224,205+512,2612486.9972,1268923.5862,246.948,2612486.9972,1268923.5862,262.7975
225,205+515,2612488.4873,1268920.9825,246.798,2612488.4873,1268920.9825,262.7975
226,205+518,2612489.9774,1268918.3787,246.648,2612489.9774,1268918.3787,262.8974
227,205+521,2612491.4675,1268915.7749,246.498,2612491.4675,1268915.7749,262.8025
228,205+524,2612492.9576,1268913.1711,246.348,2612492.9576,1268913.1711,262.824
229,205+527,2612494.4477,1268910.5674,246.198,2612494.4477,1268910.5674,262.824
230,205+530,2612495.9378,1268907.9636,246.048,2612495.9378,1268907.9636,262.8629
231,205+533,2612497.4279,1268905.3598,245.897,2612497.4279,1268905.3598,262.8629
232,205+536,2612498.918,1268902.7561,245.747,2612498.918,1268902.7561,263.1008
233,205+539,2612500.4081,1268900.1523,245.597,2612500.4081,1268900.1523,262.7113
234,205+542,2612501.8982,1268897.5485,245.447,2612501.8982,1268897.5485,262.7465
235,205+545,2612503.3883,1268894.9448,245.297,2612503.3883,1268894.9448,263.2593
236,205+548,2612504.8784,1268892.341,245.147,2612504.8784,1268892.341,263.2593
237,205+551,2612506.3685,1268889.7372,244.997,2612506.3685,1268889.7372,262.7076
238,205+554,2612507.8586,1268887.1335,244.847,2612507.8586,1268887.1335,262.7076
239,205+557,2612509.3487,1268884.5297,244.697,2612509.3487,1268884.5297,262.647
240,205+560,2612510.8388,1268881.9259,244.547,2612510.8388,1268881.9259,262.6999
241,205+563,2612512.3289,1268879.3222,244.397,2612512.3289,1268879.3222,262.7411
242,205+566,2612513.819,1268876.7184,244.247,2612513.819,1268876.7184,262.7411
243,205+569,2612515.3091,1268874.1146,244.096,2612515.3091,1268874.1146,262.7215
244,205+572,2612516.7992,1268871.5109,243.946,2612516.7992,1268871.5109,262.7215
245,205+575,2612518.2893,1268868.9071,243.796,2612518.2893,1268868.9071,262.6904
246,205+578,2612519.7794,1268866.3033,243.646,2612519.7794,1268866.3033,262.6904
247,205+581,2612521.2695,1268863.6996,243.496,2612521.2695,1268863.6996,262.7617
248,205+584,2612522.7596,1268861.0958,243.346,2612522.7596,1268861.0958,262.7617
249,205+587,2612524.2496,1268858.492,243.196,2612524.2496,1268858.492,262.6682
250,205+590,2612525.7397,1268855.8883,243.046,2612525.7397,1268855.8883,262.718
251,205+593,2612527.2298,1268853.2845,242.896,2612527.2298,1268853.2845,262.7326
252,205+596,2612528.7199,1268850.6807,242.746,2612528.7199,1268850.6807,262.7326
253,205+599,2612530.21,1268848.077,242.596,2612530.21,1268848.077,262.6776
254,205+602,2612531.7001,1268845.4732,242.446,2612531.7001,1268845.4732,262.6776
255,205+605,2612533.1902,1268842.8694,242.295,2612533.1902,1268842.8694,262.6697
256,205+608,2612534.6803,1268840.2656,242.145,2612534.6803,1268840.2656,262.6697
257,205+611,2612536.1704,1268837.6619,241.995,2612536.1704,1268837.6619,262.6843
258,205+614,2612537.6605,1268835.0581,241.845,2612537.6605,1268835.0581,262.6843
259,205+617,2612539.1506,1268832.4543,241.695,2612539.1506,1268832.4543,262.7016
260,205+620,2612540.6407,1268829.8506,241.545,2612540.6407,1268829.8506,262.6887
261,205+623,2612542.1308,1268827.2468,241.395,2612542.1308,1268827.2468,262.6887
262,205+626,2612543.6209,1268824.643,241.245,2612543.6209,1268824.643,262.6736
263,205+629,2612545.111,1268822.0393,241.095,2612545.111,1268822.0393,262.7103
264,205+632,2612546.6011,1268819.4355,240.945,2612546.6011,1268819.4355,262.7427
265,205+635,2612548.0912,1268816.8317,240.795,2612548.0912,1268816.8317,262.7427
266,205+638,2612549.5813,1268814.228,240.645,2612549.5813,1268814.228,262.696
267,205+641,2612551.0714,1268811.6242,240.494,2612551.0714,1268811.6242,262.6942
268,205+644,2612552.5615,1268809.0204,240.344,2612552.5615,1268809.0204,262.7177
269,205+647,2612554.0516,1268806.4167,240.194,2612554.0516,1268806.4167,262.7177
270,205+650,2612555.5417,1268803.8129,240.044,2612555.5417,1268803.8129,262.6722
271,205+653,2612557.0318,1268801.2091,239.894,2612557.0318,1268801.2091,262.6722
272,205+656,2612558.5219,1268798.6054,239.744,2612558.5219,1268798.6054,262.8003
273,205+659,2612560.012,1268796.0016,239.594,2612560.012,1268796.0016,262.6787
274,205+662,2612561.5021,1268793.3978,239.444,2612561.5021,1268793.3978,262.8346
275,205+665,2612562.9922,1268790.7941,239.294,2612562.9922,1268790.7941,262.8346
276,205+668,2612564.4823,1268788.1903,239.144,2612564.4823,1268788.1903,262.7385
277,205+671,2612565.9724,1268785.5865,238.994,2612565.9724,1268785.5865,262.7423
278,205+674,2612567.4625,1268782.9828,238.844,2612567.4625,1268782.9828,262.7391
279,205+677,2612568.9526,1268780.379,238.693,2612568.9526,1268780.379,262.7391
280,205+680,2612570.4427,1268777.7752,238.543,2612570.4427,1268777.7752,262.7998
281,205+683,2612571.9328,1268775.1715,238.393,2612571.9328,1268775.1715,262.7998
282,205+686,2612573.4229,1268772.5677,238.243,2612573.4229,1268772.5677,262.7726
283,205+689,2612574.913,1268769.9639,238.093,2612574.913,1268769.9639,262.7447
284,205+692,2612576.4031,1268767.3601,237.943,2612576.4031,1268767.3601,262.7864
285,205+695,2612577.8932,1268764.7564,237.793,2612577.8932,1268764.7564,262.7409
286,205+698,2612579.3833,1268762.1526,237.643,2612579.3833,1268762.1526,262.7409
287,205+701,2612580.8734,1268759.5488,237.493,2612580.8734,1268759.5488,262.7576
288,205+704,2612582.3635,1268756.9451,237.343,2612582.3635,1268756.9451,262.7576
289,205+707,2612583.8536,1268754.3413,237.193,2612583.8536,1268754.3413,262.7678
290,205+710,2612585.3437,1268751.7375,237.043,2612585.3437,1268751.7375,262.8464
291,205+713,2612586.8338,1268749.1338,236.892,2612586.8338,1268749.1338,262.7714
292,205+716,2612588.3239,1268746.53,236.742,2612588.3239,1268746.53,262.7714
293,205+719,2612589.814,1268743.9262,236.592,,,
294,205+722,2612591.3041,1268741.3225,236.442,2612591.3041,1268741.3225,262.795
295,205+725,2612592.7942,1268738.7187,236.292,2612592.7942,1268738.7187,262.7809
296,205+728,2612594.2843,1268736.1149,236.142,2612594.2843,1268736.1149,262.7809
297,205+731,2612595.7744,1268733.5112,235.992,2612595.7744,1268733.5112,262.8103
298,205+734,2612597.2645,1268730.9074,235.842,2612597.2645,1268730.9074,262.8103
299,205+737,2612598.7546,1268728.3036,235.692,2612598.7546,1268728.3036,262.804
300,205+740,2612600.2447,1268725.6999,235.542,2612600.2447,1268725.6999,262.8578
301,205+743,2612601.7348,1268723.0961,235.392,2612601.7348,1268723.0961,262.8045
302,205+746,2612603.2249,1268720.4923,235.242,2612603.2249,1268720.4923,262.8045
303,205+749,2612604.715,1268717.8886,235.091,2612604.715,1268717.8886,262.7668
304,205+752,2612606.2051,1268715.2848,234.941,2612606.2051,1268715.2848,263.018
305,205+755,2612607.6952,1268712.681,234.791,,,
306,205+758,2612609.1852,1268710.0773,234.641,2612609.1852,1268710.0773,262.7613
307,205+761,2612610.6753,1268707.4735,234.491,2612610.6753,1268707.4735,262.8018
308,205+764,2612612.1654,1268704.8697,234.341,2612612.1654,1268704.8697,262.7202
309,205+767,2612613.6555,1268702.266,234.191,,,
310,205+770,2612615.1456,1268699.6622,234.041,2612615.1456,1268699.6622,262.8064
311,205+773,2612616.6357,1268697.0584,233.891,2612616.6357,1268697.0584,262.8064
312,205+776,2612618.1258,1268694.4546,233.741,2612618.1258,1268694.4546,262.6923
313,205+779,2612619.6159,1268691.8509,233.591,2612619.6159,1268691.8509,262.6923
314,205+782,2612621.106,1268689.2471,233.441,2612621.106,1268689.2471,262.7547
315,205+785,2612622.5961,1268686.6433,233.29,2612622.5961,1268686.6433,262.7547
316,205+788,2612624.0862,1268684.0396,233.14,2612624.0862,1268684.0396,262.7132
317,205+791,2612625.5763,1268681.4358,232.99,2612625.5763,1268681.4358,262.68
318,205+794,2612627.0664,1268678.832,232.84,2612627.0664,1268678.832,262.7687
319,205+797,2612628.5565,1268676.2283,232.69,2612628.5565,1268676.2283,262.7687
320,205+800,2612630.0466,1268673.6245,232.54,2612630.0466,1268673.6245,262.8799
321,205+803,2612631.5367,1268671.0207,232.39,2612631.5367,1268671.0207,262.8799
322,205+806,2612633.0268,1268668.417,232.24,,,
323,205+809,2612634.5169,1268665.8132,232.09,2612634.5169,1268665.8132,262.791
324,205+812,2612636.007,1268663.2094,231.94,,,
325,205+815,2612637.4971,1268660.6057,231.79,2612637.4971,1268660.6057,262.8113
326,205+818,2612638.9872,1268658.0019,231.64,2612638.9872,1268658.0019,262.3998
327,205+821,2612640.4773,1268655.3981,231.489,2612640.4773,1268655.3981,262.9533
328,205+824,2612641.9674,1268652.7944,231.339,2612641.9674,1268652.7944,262.8039
329,205+827,2612643.4575,1268650.1906,231.189,2612643.4575,1268650.1906,262.8039
330,205+830,2612644.9476,1268647.5868,231.039,2612644.9476,1268647.5868,262.5259
331,205+833,2612646.4377,1268644.9831,230.889,2612646.4377,1268644.9831,262.5532
332,205+836,2612647.9278,1268642.3793,230.739,2612647.9278,1268642.3793,262.5532
333,205+839,2612649.4179,1268639.7755,230.589,2612649.4179,1268639.7755,262.3399
334,205+842,2612650.908,1268637.1718,230.439,,,
335,205+845,2612652.3981,1268634.568,230.289,2612652.3981,1268634.568,262.8513
336,205+848,2612653.8882,1268631.9642,230.139,2612653.8882,1268631.9642,262.8513
337,205+851,2612655.3783,1268629.3604,229.989,2612655.3783,1268629.3604,262.9792
