"Point","Type","Station","Northing","Easting","Elevation"
"205+235","PC","205+235","1269165.1706","2612351.5048","261.318"
"","","","","",""
"205+240:1","PC","205+240","1269160.7574","2612353.8549","261.035"
"","","","","",""
"205+245:1","PC","205+245","1269156.3464","2612356.2094","260.754"
"","","","","",""
"205+250:1","PC","205+250","1269151.9379","2612358.5684","260.475"
"","","","","",""
"205+255","PC","205+255","1269147.5317","2612360.9318","260.197"
"","","","","",""
"205+260:2","PC","205+260","1269143.1279","2612363.2995","259.920"
"","","","","",""
"205+265","PC","205+265","1269138.7264","2612365.6717","259.645"
"","","","","",""
"205+270:1","PC","205+270","1269134.3273","2612368.0483","259.372"
"","","","","",""
"205+275:1","PC","205+275","1269129.9306","2612370.4292","259.100"
"","","","","",""
"205+280:1","PC","205+280","1269125.5363","2612372.8146","258.830"
"","","","","",""
"205+285","PC","205+285","1269121.1444","2612375.2043","258.562"
"","","","","",""
"205+290:2","PC","205+290","1269116.7548","2612377.5985","258.295"
"","","","","",""
"205+295","PC","205+295","1269112.3677","2612379.9970","258.029"
"","","","","",""
"205+300:2","PC","205+300","1269107.9829","2612382.3999","257.765"
"","","","","",""
"205+305:1","PC","205+305","1269103.6006","2612384.8072","257.503"
"","","","","",""
"205+310:1","PC","205+310","1269099.2207","2612387.2189","257.242"
"","","","","",""
"205+315","PC","205+315","1269094.8432","2612389.6350","256.983"
"","","","","",""
"205+320:2","PC","205+320","1269090.4681","2612392.0554","256.725"
"","","","","",""
"205+325","PC","205+325","1269086.0954","2612394.4802","256.469"
"","","","","",""
"205+330:1","PC","205+330","1269081.7251","2612396.9094","256.215"
"","","","","",""
"205+335:1","PC","205+335","1269077.3573","2612399.3430","255.962"
"","","","","",""
"205+340:1","PC","205+340","1269072.9919","2612401.7809","255.710"
"","","","","",""
"EC2:2","PC","205+342.368","1269070.9254","2612402.9370","255.592"
"","","","","",""
"205+345","PC","205+345","1269068.6290","2612404.2232","255.460"
"","","","","",""
"205+350:2","PC","205+350","1269064.2685","2612406.6698","255.210"
"","","","","",""
"205+355","PC","205+355","1269059.9105","2612409.1208","254.960"
"","","","","",""
"205+360:1","PC","205+360","1269055.5549","2612411.5762","254.710"
"","","","","",""
"205+365:1","PC","205+365","1269051.2017","2612414.0359","254.460"
"","","","","",""
"205+370:1","PC","205+370","1269046.8511","2612416.5000","254.210"
"","","","","",""
"205+375","PC","205+375","1269042.5028","2612418.9684","253.960"
"","","","","",""
"205+380:2","PC","205+380","1269038.1571","2612421.4411","253.710"
"","","","","",""
"205+385","PC","205+385","1269033.8138","2612423.9183","253.460"
"","","","","",""
"221","PT","205+389.861","1269029.5935","2612426.3308","253.217"
"","","","","",""
"205+390:1","","205+390","1269029.4731","2612426.3997","253.210"
"","","","","",""
"205+395:1","","205+395","1269025.1335","2612428.8832","252.960"
"","","","","",""
"205+400:2","","205+400","1269020.7938","2612431.3667","252.710"
"","","","","",""
"205+405","","205+405","1269016.4542","2612433.8502","252.460"
"","","","","",""
"205+410:2","","205+410","1269012.1146","2612436.3337","252.210"
"","","","","",""
"205+415","","205+415","1269007.7750","2612438.8172","251.960"
"","","","","",""
"205+420:1","","205+420","1269003.4354","2612441.3007","251.710"
"","","","","",""
"205+425:1","","205+425","1268999.0958","2612443.7842","251.460"
"","","","","",""
"205+430:1","","205+430","1268994.7562","2612446.2677","251.210"
"","","","","",""
"205+435","","205+435","1268990.4165","2612448.7512","250.960"
"","","","","",""
"205+440:2","","205+440","1268986.0769","2612451.2347","250.710"
"","","","","",""
"205+445","","205+445","1268981.7373","2612453.7182","250.460"
"","","","","",""
"205+450:1","","205+450","1268977.3977","2612456.2017","250.210"
"","","","","",""
"205+455:1","","205+455","1268973.0581","2612458.6852","249.960"
"","","","","",""
"205+460:1","","205+460","1268968.7185","2612461.1687","249.710"
"","","","","",""
"205+465","","205+465","1268964.3789","2612463.6521","249.460"
"","","","","",""
"205+470:2","","205+470","1268960.0392","2612466.1356","249.210"
"","","","","",""
"205+475","","205+475","1268955.6996","2612468.6191","248.960"
"","","","","",""
"205+480:1","","205+480","1268951.3600","2612471.1026","248.710"
"","","","","",""
"205+485:1","","205+485","1268947.0204","2612473.5861","248.460"
"","","","","",""
"205+490:1","","205+490","1268942.6808","2612476.0696","248.210"
"","","","","",""
"205+495","","205+495","1268938.3412","2612478.5531","247.960"
"","","","","",""
"205+500:3","","205+500","1268934.0016","2612481.0366","247.710"
"","","","","",""
"205+505","","205+505","1268929.6620","2612483.5201","247.460"
"","","","","",""
"205+510:1","","205+510","1268925.3223","2612486.0036","247.210"
"","","","","",""
"205+515:1","","205+515","1268920.9827","2612488.4871","246.960"
"","","","","",""
"205+520:1","","205+520","1268916.6431","2612490.9706","246.710"
"","","","","",""
"205+525","","205+525","1268912.3035","2612493.4541","246.460"
"","","","","",""
"205+530:2","","205+530","1268907.9639","2612495.9376","246.210"
"","","","","",""
"205+535","","205+535","1268903.6243","2612498.4211","245.960"
"","","","","",""
"205+540:1","","205+540","1268899.2847","2612500.9046","245.710"
"","","","","",""
"205+545:1","","205+545","1268894.9450","2612503.3881","245.460"
"","","","","",""
"205+550:1","","205+550","1268890.6054","2612505.8716","245.210"
"","","","","",""
"205+555","","205+555","1268886.2658","2612508.3551","244.960"
"","","","","",""
"205+560:2","","205+560","1268881.9262","2612510.8386","244.710"
"","","","","",""
"205+565","","205+565","1268877.5866","2612513.3221","244.460"
"","","","","",""
"205+570:1","","205+570","1268873.2470","2612515.8056","244.210"
"","","","","",""
"205+575:1","","205+575","1268868.9074","2612518.2891","243.960"
"","","","","",""
"205+580:1","","205+580","1268864.5677","2612520.7726","243.710"
"","","","","",""
"205+585","","205+585","1268860.2281","2612523.2561","243.460"
"","","","","",""
"205+590:2","","205+590","1268855.8885","2612525.7396","243.210"
"","","","","",""
"205+595","","205+595","1268851.5489","2612528.2230","242.960"
"","","","","",""
"205+600:2","","205+600","1268847.2093","2612530.7065","242.710"
"","","","","",""
"205+605:1","","205+605","1268842.8697","2612533.1900","242.460"
"","","","","",""
"205+610:1","","205+610","1268838.5301","2612535.6735","242.210"
"","","","","",""
"205+615","","205+615","1268834.1904","2612538.1570","241.960"
"","","","","",""
"205+620:2","","205+620","1268829.8508","2612540.6405","241.710"
"","","","","",""
"205+625","","205+625","1268825.5112","2612543.1240","241.460"
"","","","","",""
"205+630:1","","205+630","1268821.1716","2612545.6075","241.210"
"","","","","",""
"205+635:1","","205+635","1268816.8320","2612548.0910","240.960"
"","","","","",""
"205+640:1","","205+640","1268812.4924","2612550.5745","240.710"
"","","","","",""
"205+645","","205+645","1268808.1528","2612553.0580","240.460"
"","","","","",""
"205+650:2","","205+650","1268803.8132","2612555.5415","240.210"
"","","","","",""
"205+655","","205+655","1268799.4735","2612558.0250","239.960"
"","","","","",""
"205+660:1","","205+660","1268795.1339","2612560.5085","239.710"
"","","","","",""
"205+665:1","","205+665","1268790.7943","2612562.9920","239.460"
"","","","","",""
"205+670:1","","205+670","1268786.4547","2612565.4755","239.210"
"","","","","",""
"205+675","","205+675","1268782.1151","2612567.9590","238.960"
"","","","","",""
"205+680:2","","205+680","1268777.7755","2612570.4425","238.710"
"","","","","",""
"205+685","","205+685","1268773.4359","2612572.9260","238.460"
"","","","","",""
"205+690:1","","205+690","1268769.0962","2612575.4095","238.210"
"","","","","",""
"205+695:1","","205+695","1268764.7566","2612577.8930","237.960"
"","","","","",""
"205+700:2","","205+700","1268760.4170","2612580.3765","237.710"
"","","","","",""
"205+705","","205+705","1268756.0774","2612582.8600","237.460"
"","","","","",""
"205+710:2","","205+710","1268751.7378","2612585.3435","237.210"
"","","","","",""
"205+715","","205+715","1268747.3982","2612587.8270","236.960"
"","","","","",""
"205+720:1","","205+720","1268743.0586","2612590.3105","236.710"
"","","","","",""
"205+725:1","","205+725","1268738.7189","2612592.7939","236.460"
"","","","","",""
"205+730:1","","205+730","1268734.3793","2612595.2774","236.210"
"","","","","",""
"205+735","","205+735","1268730.0397","2612597.7609","235.960"
"","","","","",""
"205+740:2","","205+740","1268725.7001","2612600.2444","235.710"
"","","","","",""
"205+745","","205+745","1268721.3605","2612602.7279","235.460"
"","","","","",""
"205+750:1","","205+750","1268717.0209","2612605.2114","235.210"
"","","","","",""
"205+755:1","","205+755","1268712.6813","2612607.6949","234.960"
"","","","","",""
"205+760:1","","205+760","1268708.3417","2612610.1784","234.710"
"","","","","",""
"205+765","","205+765","1268704.0020","2612612.6619","234.460"
"","","","","",""
"205+770:2","","205+770","1268699.6624","2612615.1454","234.210"
"","","","","",""
"205+775","","205+775","1268695.3228","2612617.6289","233.960"
"","","","","",""
"205+780:1","","205+780","1268690.9832","2612620.1124","233.710"
"","","","","",""
"205+785:1","","205+785","1268686.6436","2612622.5959","233.460"
"","","","","",""
"205+790:1","","205+790","1268682.3040","2612625.0794","233.210"
"","","","","",""
"205+795","","205+795","1268677.9644","2612627.5629","232.960"
"","","","","",""
"205+800:3","","205+800","1268673.6247","2612630.0464","232.710"
"","","","","",""
"205+805","","205+805","1268669.2851","2612632.5299","232.460"
"","","","","",""
"205+810:1","","205+810","1268664.9455","2612635.0134","232.210"
"","","","","",""
"205+815:1","","205+815","1268660.6059","2612637.4969","231.960"
"","","","","",""
"205+820:1","","205+820","1268656.2663","2612639.9804","231.710"
"","","","","",""
"205+825","","205+825","1268651.9267","2612642.4639","231.460"
"","","","","",""
"205+830:2","","205+830","1268647.5871","2612644.9474","231.210"
"","","","","",""
"205+835","","205+835","1268643.2474","2612647.4309","230.960"
"","","","","",""
"205+840:1","","205+840","1268638.9078","2612649.9144","230.710"
"","","","","",""
"205+845:1","","205+845","1268634.5682","2612652.3979","230.460"
"","","","","",""
"205+850:1","","205+850","1268630.2286","2612654.8814","230.210"
"","","","","",""
"205+855","","205+855","1268625.8890","2612657.3648","229.960"
"","","","","",""
"205+860:2","","205+860","1268621.5494","2612659.8483","229.710"
"","","","","",""
"205+865","","205+865","1268617.2098","2612662.3318","229.460"
"","","","","",""
"205+870:1","","205+870","1268612.8702","2612664.8153","229.210"
"","","","","",""
"205+875:1","","205+875","1268608.5305","2612667.2988","228.960"
"","","","","",""
"205+880:1","","205+880","1268604.1909","2612669.7823","228.710"
"","","","","",""
"205+885","","205+885","1268599.8513","2612672.2658","228.460"
"","","","","",""
"205+890:2","","205+890","1268595.5117","2612674.7493","228.210"
"","","","","",""
"205+895","","205+895","1268591.1721","2612677.2328","227.960"
"","","","","",""
"BC3:4","","205+900","1268586.8325","2612679.7163","227.710"
"","","","","",""
"205+905:1","","205+905","1268582.4929","2612682.1998","227.462"
"","","","","",""
