,Station,Easting,Northing,Elevation,DTM,RockSurface,StationReal,RockCover,WBScode,WorkType,ExcavationType,ProfileType,SectionArea,Description,Unit,BoreClass,SupportClass,DisposalClass,StationInterval,ExcavationVolume,DisposalVolume
32,104+160,2611007.782,1268889.993,255.471,245.01,237.0,104160.0,-18.471000000000004,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,2.9995623012386847,NaN,NaN
33,104+163,2611010.781,1268889.935,255.474,244.963,237.0,104163.0,-18.47399999999999,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.000542117685302,NaN,NaN
34,104+166,2611013.781,1268889.878,255.476,244.963,238.0,104166.0,-17.476,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,2.9995608010194283,NaN,NaN
35,104+169,2611016.78,1268889.82,255.476,244.886,238.0,104169.0,-17.476,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,2.999561468249209,NaN,NaN
36,104+172,2611019.779,1268889.762,255.474,244.886,238.0,104172.0,-17.47399999999999,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0005632804562663,NaN,NaN
37,104+175,2611022.779,1268889.704,255.47,244.767,238.0,104175.0,-17.47,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,2.9995476323928756,NaN,NaN
38,104+178,2611025.778,1268889.647,255.464,244.802,238.0,104178.0,-17.464,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0005687794187406,NaN,NaN
39,104+181,2611028.778,1268889.589,255.457,244.802,238.0,104181.0,-17.456999999999994,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,2.999574302965725,NaN,NaN
40,104+184,2611031.777,1268889.531,255.448,244.97,238.0,104184.0,-17.448000000000008,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0005807771155673,NaN,NaN
41,104+187,2611034.777,1268889.473,255.437,244.97,238.0,104187.0,-17.437000000000012,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,2.9995698027906075,NaN,NaN
42,104+190,2611037.776,1268889.416,255.424,244.819,238.0,104190.0,-17.424000000000007,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0005932746701047,NaN,NaN
43,104+193,2611040.776,1268889.358,255.41,244.774,238.0,104193.0,-17.409999999999997,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,2.9996089743518763,NaN,NaN
44,104+196,2611043.775,1268889.3,255.393,244.774,238.0,104196.0,-17.393,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,2.9996148089055286,NaN,NaN
45,104+199,2611046.774,1268889.242,255.375,244.77,238.0,104199.0,-17.375,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.000608105035277,NaN,NaN
46,104+202,2611049.774,1268889.185,255.355,244.77,238.0,104202.0,-17.35499999999999,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,2.99963431088063,NaN,NaN
47,104+205,2611052.773,1268889.127,255.334,244.765,238.0,104205.0,-17.334000000000003,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0006565948176194,NaN,NaN
48,104+208,2611055.773,1268889.069,255.31,244.77,238.0,104208.0,-17.310000000000002,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,2.999645812257458,NaN,NaN
49,104+211,2611058.772,1268889.012,255.285,244.77,238.0,104211.0,-17.284999999999997,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0006820891294814,NaN,NaN
50,104+214,2611061.772,1268888.954,255.258,244.768,238.0,104214.0,-17.25800000000001,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,2.99970098539927,NaN,NaN
51,104+217,2611064.771,1268888.896,255.229,244.768,238.0,104217.0,-17.229000000000013,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0007207467532635,NaN,NaN
52,104+220,2611067.771,1268888.838,255.198,244.766,238.0,104220.0,-17.198000000000008,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,2.999712319376685,NaN,NaN
