,Station,Easting,Northing,Elevation,Alignment_Station_real
235,205+212,2612340.792,1269185.523,262.512,205212.0
237,205+215,2612342.18,1269182.863,262.339,205215.0
239,205+218,2612343.564,1269180.202,262.167,205218.0
241,205+220.619,2612344.77,1269177.877,262.016,205220.619
243,205+221,2612344.948,1269177.54,261.994,205221.0
245,205+224,2612346.35,1269174.888,261.822,205224.0
247,205+227,2612347.754,1269172.236,261.649,205227.0
249,205+230,2612349.159,1269169.586,261.477,205230.0
251,205+230.263,2612349.283,1269169.354,261.462,205230.263
253,205+233,2612350.566,1269166.936,261.305,205233.0
255,205+236,2612351.975,1269164.288,261.133,205236.0
257,205+239,2612353.385,1269161.64,260.962,205239.0
259,205+242,2612354.796,1269158.992,260.792,205242.0
261,205+245,2612356.21,1269156.346,260.622,205245.0
263,205+248,2612357.624,1269153.701,260.452,205248.0
265,205+251,2612359.041,1269151.056,260.284,205251.0
267,205+254,2612360.459,1269148.412,260.116,205254.0
269,205+257,2612361.879,1269145.77,259.948,205257.0
271,205+260,2612363.3,1269143.128,259.781,205260.0
273,205+263,2612364.722,1269140.486,259.615,205263.0
275,205+266,2612366.147,1269137.846,259.45,205266.0
277,205+269,2612367.573,1269135.207,259.284,205269.0
279,205+272,2612369.0,1269132.568,259.12,205272.0
281,205+275,2612370.43,1269129.93,258.956,205275.0
283,205+278,2612371.86,1269127.294,258.793,205278.0
285,205+281,2612373.292,1269124.658,258.63,205281.0
287,205+284,2612374.726,1269122.022,258.468,205284.0
289,205+287,2612376.162,1269119.388,258.307,205287.0
291,205+290,2612377.599,1269116.755,258.146,205290.0
293,205+293,2612379.037,1269114.122,257.986,205293.0
295,205+296,2612380.478,1269111.49,257.826,205296.0
297,205+299,2612381.919,1269108.86,257.667,205299.0
299,205+302,2612383.362,1269106.23,257.508,205302.0
301,205+305,2612384.807,1269103.6,257.351,205305.0
303,205+308,2612386.254,1269100.972,257.193,205308.0
305,205+311,2612387.702,1269098.345,257.037,205311.0
307,205+314,2612389.152,1269095.718,256.881,205314.0
309,205+317,2612390.603,1269093.093,256.725,205317.0
311,205+320,2612392.056,1269090.468,256.57,205320.0
313,205+323,2612393.51,1269087.844,256.416,205323.0
315,205+326,2612394.966,1269085.221,256.262,205326.0
317,205+329,2612396.423,1269082.599,256.109,205329.0
319,205+332,2612397.882,1269079.978,255.957,205332.0
321,205+335,2612399.343,1269077.357,255.805,205335.0
323,205+338,2612400.805,1269074.738,255.654,205338.0
325,205+341,2612402.269,1269072.119,255.503,205341.0
327,205+342.439,2612402.972,1269070.863,255.431,205342.439
329,205+344,2612403.735,1269069.501,255.353,205344.0
331,205+347,2612405.202,1269066.884,255.203,205347.0
333,205+350,2612406.67,1269064.268,255.053,205350.0
335,205+353,2612408.14,1269061.653,254.902,205353.0
337,205+356,2612409.612,1269059.039,254.752,205356.0
339,205+359,2612411.085,1269056.426,254.602,205359.0
341,205+362,2612412.56,1269053.813,254.452,205362.0
343,205+365,2612414.036,1269051.202,254.302,205365.0
345,205+368,2612415.514,1269048.591,254.152,205368.0
347,205+371,2612416.994,1269045.981,254.002,205371.0
349,205+374,2612418.474,1269043.372,253.852,205374.0
351,205+377,2612419.957,1269040.764,253.702,205377.0
353,205+380,2612421.441,1269038.157,253.552,205380.0
355,205+383,2612422.927,1269035.551,253.402,205383.0
357,205+386,2612424.414,1269032.945,253.252,205386.0
359,205+389,2612425.903,1269030.341,253.101,205389.0
361,205+389.861,2612426.331,1269029.594,253.058,205389.861
363,205+392,2612427.393,1269027.737,252.951,205392.0
365,205+395,2612428.883,1269025.133,252.801,205395.0
367,205+398,2612430.374,1269022.529,252.651,205398.0
369,205+401,2612431.864,1269019.926,252.501,205401.0
371,205+404,2612433.354,1269017.322,252.351,205404.0
373,205+407,2612434.844,1269014.718,252.201,205407.0
375,205+410,2612436.334,1269012.114,252.051,205410.0
377,205+413,2612437.824,1269009.511,251.901,205413.0
379,205+416,2612439.314,1269006.907,251.751,205416.0
381,205+419,2612440.804,1269004.303,251.601,205419.0
383,205+422,2612442.294,1269001.699,251.451,205422.0
385,205+425,2612443.784,1268999.096,251.3,205425.0
387,205+428,2612445.274,1268996.492,251.15,205428.0
389,205+431,2612446.764,1268993.888,251.0,205431.0
391,205+434,2612448.255,1268991.284,250.85,205434.0
393,205+437,2612449.745,1268988.68,250.7,205437.0
395,205+440,2612451.235,1268986.077,250.55,205440.0
397,205+443,2612452.725,1268983.473,250.4,205443.0
399,205+446,2612454.215,1268980.869,250.25,205446.0
401,205+449,2612455.705,1268978.265,250.1,205449.0
403,205+452,2612457.195,1268975.662,249.95,205452.0
405,205+455,2612458.685,1268973.058,249.8,205455.0
407,205+458,2612460.175,1268970.454,249.65,205458.0
409,205+461,2612461.666,1268967.85,249.499,205461.0
411,205+464,2612463.156,1268965.246,249.349,205464.0
413,205+467,2612464.646,1268962.643,249.199,205467.0
415,205+470,2612466.136,1268960.039,249.049,205470.0
