	Xcoord	Ycoord	Zcoord	Felstiefe	DTM	Felsoberflache	delta_ZCoordFelstiefe
70	2612236.9613	1269304.364	270.728	18.19478	249.5718	236.0	252.53322
71	2612237.3875	1269304.1029	270.712	18.19478	249.5718	236.0	252.51722
72	2612237.8132	1269303.8408	270.697	18.19478	249.5718	236.0	252.50222
73	2612238.2382	1269303.5777	270.681	17.90434	249.5718	236.0	252.77666
74	2612238.6626	1269303.3136	270.665	17.90434	249.5718	236.0	252.76066
75	2612239.0864	1269303.0485	270.65	17.90434	249.5718	236.0	252.74566
76	2612239.5096	1269302.7825	270.634	17.90434	249.5718	236.0	252.72966
77	2612239.9322	1269302.5155	270.618	17.90434	249.5718	236.0	252.71366
78	2612240.3542	1269302.2476	270.602	17.90434	251.5019	236.0	252.69766
79	2612240.7756	1269301.9787	270.586	17.90434	251.5019	236.0	252.68166
80	2612241.1964	1269301.7089	270.569	17.90434	251.5019	236.0	252.66466
81	2612241.6166	1269301.4382	270.553	17.90434	251.5019	236.0	252.64866
82	2612242.0362	1269301.1665	270.537	17.90434	251.5019	236.0	252.63266
83	2612242.4552	1269300.894	270.52	17.90434	251.5019	236.0	252.61566
84	2612242.8737	1269300.6205	270.504	17.90434	251.5019	236.0	252.59966
85	2612243.2915	1269300.3462	270.487	17.90434	251.5019	236.0	252.58266
86	2612243.7088	1269300.0709	270.47	17.90434	251.5019	236.0	252.56566
87	2612244.1255	1269299.7948	270.453	17.90434	249.716	236.0	252.54866
88	2612244.5416	1269299.5178	270.436	17.90434	249.716	236.0	252.53166
89	2612244.9571	1269299.24	270.419	17.90434	249.716	236.0	252.51466
90	2612245.3721	1269298.9613	270.402	17.90434	249.9201	236.0	252.49766
91	2612245.7865	1269298.6818	270.385	17.90434	249.9201	236.0	252.48066
92	2612246.2004	1269298.4015	270.367	17.90434	249.9201	236.0	252.46266
93	2612246.6137	1269298.1203	270.35	17.90434	249.9201	236.0	252.44566
94	2612247.0264	1269297.8383	270.333	18.46774	249.9201	235.5	251.86526
95	2612247.4386	1269297.5555	270.315	18.46774	249.9201	235.5	251.84726
96	2612247.8502	1269297.2719	270.297	18.46774	249.9201	235.5	251.82926
97	2612315.865	1269228.4306	265.367	21.99744	257.9974	236.0	243.36956
98	2612316.1457	1269228.0125	265.338	21.99744	257.9974	236.0	243.34056
99	2612316.4255	1269227.5939	265.309	21.99744	257.9974	236.0	243.31156
100	2612316.7045	1269227.1748	265.28	21.99744	257.9974	236.0	243.28256
101	2612316.9828	1269226.7552	265.251	21.99744	257.9974	236.0	243.25356
102	2612317.2602	1269226.335	265.222	21.99744	257.9974	236.0	243.22456
103	2612317.5369	1269225.9144	265.193	21.99744	257.9974	236.0	243.19556
104	2612317.8128	1269225.4932	265.164	21.99744	257.9974	236.0	243.16656
105	2612318.0879	1269225.0715	265.135	21.99744	257.9974	236.0	243.13756
106	2612318.3623	1269224.6494	265.106	21.99744	258.122	236.0	243.10856
107	2612318.636	1269224.2267	265.077	21.99744	258.122	236.0	243.07956
108	2612318.9088	1269223.8036	265.048	21.99744	258.122	236.0	243.05056
109	2612319.181	1269223.38	265.019	21.99744	258.122	236.0	243.02156
110	2612319.4524	1269222.9559	264.99	21.99744	258.122	236.0	242.99256
111	2612319.7231	1269222.5314	264.961	21.99744	258.122	236.0	242.96356
112	2612319.9931	1269222.1064	264.932	21.99744	258.122	236.0	242.93456
113	2612320.2624	1269221.6809	264.903	21.99744	258.7224	236.0	242.90556
114	2612320.5309	1269221.255	264.875	21.99744	258.7224	236.0	242.87756
115	2612320.7988	1269220.8287	264.846	21.99744	258.7224	236.0	242.84856
116	2612321.066	1269220.402	264.817	20.8023	258.7224	236.142857143	244.0147
117	2612321.3324	1269219.9748	264.788	20.8023	260.0022	236.142857143	243.9857
118	2612321.5983	1269219.5472	264.759	20.8023	260.0022	236.142857143	243.9567
119	2612321.8634	1269219.1191	264.73	20.8023	260.0022	236.142857143	243.9277
120	2612322.1279	1269218.6907	264.701	20.8023	260.0022	236.142857143	243.8987
121	2612322.3917	1269218.2618	264.672	20.8023	260.0022	236.142857143	243.8697
122	2612322.6549	1269217.8326	264.643	20.8023	260.0022	236.142857143	243.8407
123	2612322.9174	1269217.403	264.614	20.8023	260.0022	236.142857143	243.8117
124	2612323.1793	1269216.9729	264.585	20.8023	260.0022	236.142857143	243.7827
125	2612323.4406	1269216.5425	264.556	20.8023	260.0022	236.142857143	243.7537
126	2612323.7012	1269216.1118	264.527	20.8023	260.0022	236.142857143	243.7247
127	2612323.9612	1269215.6806	264.498	20.8023	260.0022	236.142857143	243.6957
128	2612324.2207	1269215.2491	264.469	20.8023	260.0022	236.142857143	243.6667
129	2612324.4795	1269214.8172	264.44	20.8023	259.1537	236.142857143	243.6377
130	2612324.7377	1269214.385	264.411	24.65506	259.1537	236.142857143	239.75594
131	2612324.9954	1269213.9524	264.382	24.65506	259.1537	236.142857143	239.72694
132	2612325.2524	1269213.5195	264.353	24.65506	262.4988	236.142857143	239.69794
133	2612325.5089	1269213.0862	264.324	24.65506	262.4988	236.142857143	239.66894
134	2612325.7648	1269212.6526	264.295	24.65506	262.4988	236.142857143	239.63994
135	2612326.0202	1269212.2187	264.267	24.65506	262.4988	236.142857143	239.61194
136	2612326.275	1269211.7844	264.238	24.65506	262.4988	236.142857143	239.58294
137	2612326.5293	1269211.3498	264.209	24.65506	262.4988	236.142857143	239.55394
138	2612327.0363	1269210.4798	264.151	24.65506	262.4988	236.142857143	239.49594
139	2612327.2889	1269210.0443	264.122	24.65506	262.4988	236.142857143	239.46694
140	2612327.5411	1269209.6085	264.093	24.65506	260.7979	236.142857143	239.43794
141	2612327.7928	1269209.1724	264.064	24.65506	260.7979	236.142857143	239.40894
142	2612328.044	1269208.736	264.035	24.65506	260.7979	236.142857143	239.37994
143	2612328.2946	1269208.2994	264.006	24.65506	260.7979	236.142857143	239.35094
144	2612328.5448	1269207.8624	263.977	24.65506	260.7979	236.142857143	239.32194
145	2612328.7946	1269207.4252	263.948	24.65506	260.7979	236.142857143	239.29294
146	2612329.0438	1269206.9877	263.919	24.65506	260.7979	236.142857143	239.26394
147	2612329.2926	1269206.55	263.89	24.65506	260.7979	236.142857143	239.23494
148	2612329.5409	1269206.112	263.861	24.65506	260.7979	236.142857143	239.20594
149	2612329.7888	1269205.6738	263.832	24.65506	260.7979	236.142857143	239.17694
150	2612330.0362	1269205.2353	263.803	24.65506	262.5907	236.142857143	239.14794
151	2612330.2833	1269204.7965	263.774	24.65506	261.9851	236.142857143	239.11894
152	2612330.5298	1269204.3575	263.745	24.65506	261.9851	236.142857143	239.08994
153	2612330.776	1269203.9183	263.716	24.65506	261.9851	236.142857143	239.06094
154	2612331.0218	1269203.4789	263.688	24.65506	261.9851	236.142857143	239.03294
155	2612331.2671	1269203.0392	263.659	24.65506	261.9851	236.142857143	239.00394
156	2612331.5121	1269202.5993	263.63	24.65506	261.9851	236.142857143	238.97494
157	2612331.7567	1269202.1592	263.601	24.65506	261.9851	236.142857143	238.94594
158	2612332.0009	1269201.7189	263.572	24.65506	261.9851	236.142857143	238.91694
159	2612332.2447	1269201.2784	263.543	24.65506	261.9851	236.142857143	238.88794
160	2612332.4881	1269200.8377	263.514	24.65506	261.9851	236.142857143	238.85894
161	2612332.7312	1269200.3967	263.485	24.65506	261.9851	236.142857143	238.82994
162	2612332.974	1269199.9556	263.456	24.65506	260.7999	236.142857143	238.80094
163	2612333.2164	1269199.5143	263.427	24.65506	260.7999	236.142857143	238.77194
164	2612333.4585	1269199.0728	263.398	24.65506	260.7999	236.142857143	238.74294
165	2612333.7002	1269198.6312	263.369	24.65506	260.7999	236.142857143	238.71394
166	2612333.9417	1269198.1893	263.34	24.65506	260.7999	236.142857143	238.68494
167	2612334.1828	1269197.7473	263.311	24.65506	260.7999	236.142857143	238.65594
168	2612334.4236	1269197.3052	263.282	24.65506	260.7999	236.142857143	238.62694
169	2612334.6641	1269196.8628	263.253	24.65506	260.7999	236.142857143	238.59794
170	2612334.9044	1269196.4203	263.224	24.65506	260.7999	236.142857143	238.56894
171	2612335.1443	1269195.9777	263.195	24.65506	261.6352	236.142857143	238.53994
172	2612335.384	1269195.5349	263.166	24.65506	261.6352	236.142857143	238.51094
173	2612335.6234	1269195.092	263.137	24.65506	261.6352	236.142857143	238.48194
174	2612335.8626	1269194.6489	263.109	24.65506	260.9614	236.142857143	238.45394
175	2612336.1015	1269194.2057	263.08	24.65506	260.9614	236.142857143	238.42494
176	2612336.3401	1269193.7624	263.051	22.20767	260.9614	236.0	240.84333
177	2612336.5786	1269193.3189	263.022	22.20767	260.9614	236.0	240.81433
178	2612336.8168	1269192.8753	262.993	22.20767	260.9614	236.0	240.78533
179	2612337.0547	1269192.4316	262.964	22.20767	260.9614	236.0	240.75633
180	2612337.2925	1269191.9878	262.935	22.20767	260.9614	236.0	240.72733
181	2612337.5301	1269191.5439	262.906	22.20767	260.9614	236.0	240.69833
182	2612337.7675	1269191.0998	262.877	22.20767	260.9614	236.0	240.66933
183	2612338.0047	1269190.6557	262.848	22.20767	260.9614	236.0	240.64033
184	2612338.2417	1269190.2115	262.819	22.20767	260.9614	236.0	240.61133
185	2612338.4785	1269189.7672	262.79	22.20767	259.6133	236.0	240.58233
186	2612338.7152	1269189.3228	262.761	22.20767	259.6133	236.0	240.55333
187	2612338.9517	1269188.8783	262.732	22.20767	259.6133	236.0	240.52433
188	2612339.1881	1269188.4337	262.703	22.20767	259.6133	236.0	240.49533
189	2612339.4243	1269187.9891	262.674	22.20767	259.6133	236.0	240.46633
190	2612339.6604	1269187.5444	262.645	22.20767	259.6133	236.0	240.43733
191	2612339.8963	1269187.0996	262.616	22.20767	259.6133	236.0	240.40833
192	2612340.1322	1269186.6547	262.587	22.20767	261.6351	236.0	240.37933
193	2612340.3679	1269186.2098	262.558	22.20767	261.6351	236.0	240.35033
194	2612340.6036	1269185.7649	262.529	22.20767	261.6351	236.0	240.32133
195	2612340.8391	1269185.3199	262.501	22.20767	261.6351	236.0	240.29333
196	2612341.0746	1269184.8748	262.472	22.20767	260.0558	236.0	240.26433
197	2612341.31	1269184.4297	262.443	22.20767	260.0558	236.0	240.23533
198	2612341.5453	1269183.9846	262.414	22.20767	260.0558	236.0	240.20633
199	2612341.7805	1269183.5395	262.385	22.20767	260.0558	236.0	240.17733
200	2612342.0157	1269183.0943	262.356	26.67031	260.0558	236.184706317	235.68569
201	2612342.2508	1269182.6491	262.327	26.67031	260.0558	236.184706317	235.65669
202	2612342.486	1269182.2038	262.298	26.67031	260.0558	236.184706317	235.62769
203	2612342.721	1269181.7586	262.269	26.67031	260.0558	236.184706317	235.59869
204	2612342.9561	1269181.3133	262.24	26.67031	260.0558	236.184706317	235.56969
205	2612343.1911	1269180.868	262.211	26.67031	260.0558	236.184706317	235.54069
206	2612343.4261	1269180.4228	262.182	26.67031	260.0558	236.184706317	235.51169
207	2612343.6945	1269179.9142	262.149	26.67031	258.8072	236.184706317	235.47869
208	2612343.9634	1269179.4048	262.116	26.67031	258.8072	236.184706317	235.44569
209	2612344.2323	1269178.8955	262.083	26.67031	258.8072	236.184706317	235.41269
210	2612344.5013	1269178.3861	262.05	26.67031	258.8072	236.184706317	235.37969
211	2612344.7703	1269177.8768	262.017	26.67031	258.8072	236.184706317	235.34669
212	2612426.3308	1269029.5935	253.061	25.78615	262.7191	236.881150464	227.27485
213	2612881.7295	1268233.8388	214.288	23.23864	262.7869	239.611242955	191.04936
214	2612881.978	1268233.4046	214.276	23.23864	262.7869	239.611242955	191.03736
215	2612882.2265	1268232.9704	214.263	23.08015	262.7869	239.620351725	191.18285
216	2612882.475	1268232.5362	214.251	23.08015	262.7869	239.620351725	191.17085
217	2612882.7235	1268232.1019	214.238	23.08015	262.7869	239.620351725	191.15785
218	2612882.972	1268231.6677	214.226	23.08015	262.7869	239.620351725	191.14585
219	2612883.2206	1268231.2335	214.213	23.08015	262.7869	239.620351725	191.13285
220	2612883.4691	1268230.7993	214.201	23.08015	262.7869	239.620351725	191.12085
221	2612883.7176	1268230.3651	214.188	23.08015	262.7869	239.620351725	191.10785
222	2612883.9661	1268229.9309	214.175	23.08015	262.7005	239.620351725	191.09485
223	2612884.2147	1268229.4967	214.163	23.08015	262.7005	239.620351725	191.08285
224	2612884.4632	1268229.0625	214.15	23.08015	262.7005	239.620351725	191.06985
225	2612884.7118	1268228.6283	214.138	23.08015	262.7005	239.620351725	191.05785
226	2612884.9604	1268228.1941	214.125	23.08015	262.7005	239.620351725	191.04485
227	2612885.2089	1268227.7599	214.113	23.08015	262.7309	239.620351725	191.03285
228	2612885.4575	1268227.3257	214.1	23.08015	262.7309	239.620351725	191.01985
229	2612885.7061	1268226.8916	214.088	23.08015	262.7309	239.620351725	191.00785
230	2612885.9548	1268226.4574	214.075	23.08015	262.7309	239.620351725	190.99485
231	2612886.2034	1268226.0233	214.063	23.08015	262.7309	239.620351725	190.98285
232	2612886.4521	1268225.5891	214.05	23.08015	262.7309	239.620351725	190.96985
233	2612886.7007	1268225.155	214.038	23.08015	262.7309	239.620351725	190.95785
234	2612886.9494	1268224.7209	214.025	23.08015	262.7851	239.620351725	190.94485
235	2612887.1981	1268224.2868	214.013	23.08015	262.7851	239.620351725	190.93285
236	2612887.4469	1268223.8527	214.0	23.08015	262.7851	239.620351725	190.91985
237	2612887.6956	1268223.4186	213.988	23.08015	262.7851	239.620351725	190.90785
238	2612887.9444	1268222.9845	213.975	23.08015	262.7851	239.620351725	190.89485
239	2612888.1932	1268222.5504	213.963	23.08015	262.7851	239.620351725	190.88285
240	2612888.442	1268222.1164	213.95	23.08015	262.7851	239.620351725	190.86985
241	2612888.6908	1268221.6823	213.938	23.08015	262.7851	239.620351725	190.85785
242	2612888.9397	1268221.2483	213.925	23.08015	262.7851	239.620351725	190.84485
243	2612889.1886	1268220.8143	213.913	23.08015	262.7851	239.620351725	190.83285
244	2612889.4375	1268220.3803	213.9	23.08015	262.7851	239.620351725	190.81985
245	2612889.6864	1268219.9464	213.888	23.08015	262.747	239.620351725	190.80785
246	2612889.9354	1268219.5124	213.875	23.08015	262.747	239.620351725	190.79485
247	2612890.1844	1268219.0785	213.863	23.08015	262.7747	239.620351725	190.78285
248	2612890.4334	1268218.6445	213.85	23.08015	262.7747	239.620351725	190.76985
249	2612890.6825	1268218.2106	213.838	23.08015	262.7747	239.620351725	190.75785
250	2612890.9316	1268217.7767	213.825	23.08015	262.7747	239.620351725	190.74485
251	2612891.1807	1268217.3429	213.813	23.08015	262.7747	239.620351725	190.73285
252	2612891.4299	1268216.909	213.8	23.24856	262.7747	239.64814069	190.55144
253	2612891.679	1268216.4752	213.788	23.24856	262.7747	239.64814069	190.53944
254	2612891.9283	1268216.0414	213.775	23.24856	262.7747	239.64814069	190.52644
255	2612892.1775	1268215.6076	213.763	23.24856	262.7747	239.64814069	190.51444
256	2612892.4268	1268215.1738	213.75	23.24856	262.7747	239.64814069	190.50144
257	2612892.6762	1268214.7401	213.738	23.24856	262.7161	239.64814069	190.48944
258	2612892.9256	1268214.3063	213.725	23.24856	262.7161	239.64814069	190.47644
259	2612893.175	1268213.8726	213.713	23.24856	262.7161	239.64814069	190.46444
260	2612893.4244	1268213.439	213.7	23.24856	262.7161	239.64814069	190.45144
261	2612893.6739	1268213.0053	213.688	23.24856	262.7161	239.64814069	190.43944
262	2612893.9235	1268212.5717	213.675	23.24856	262.7161	239.64814069	190.42644
263	2612894.1731	1268212.1381	213.663	23.24856	262.7161	239.64814069	190.41444
264	2612894.4227	1268211.7045	213.65	23.24856	262.7161	239.64814069	190.40144
265	2612894.6724	1268211.271	213.638	23.24856	262.7161	239.64814069	190.38944
266	2612894.9221	1268210.8374	213.625	23.24856	262.7161	239.64814069	190.37644
267	2612895.1719	1268210.4039	213.613	23.24856	262.8109	239.64814069	190.36444
268	2612895.4217	1268209.9705	213.6	23.24856	262.7325	239.64814069	190.35144
269	2612895.6716	1268209.537	213.588	23.24856	262.7325	239.64814069	190.33944
270	2612895.9215	1268209.1036	213.575	23.24856	262.7325	239.64814069	190.32644
271	2612896.1715	1268208.6702	213.563	23.24856	262.7325	239.64814069	190.31444
272	2612896.4215	1268208.2369	213.55	23.24856	262.7325	239.64814069	190.30144
273	2612896.6715	1268207.8035	213.538	23.24856	262.7325	239.64814069	190.28944
274	2612896.9217	1268207.3702	213.525	23.24856	262.7325	239.64814069	190.27644
275	2612897.1718	1268206.937	213.513	23.24856	262.7325	239.64814069	190.26444
