easting,northing,site_name,tmp1492248246522
2612071.5482,1269294.1221,,253.524
2612072.9907,1269295.3587,,253.6122
2612075.3031,1269297.2698,,253.1596
2612077.6574,1269299.1291,,253.1596
2612080.0523,1269300.9358,,252.9344
2612082.4866,1269302.689,,252.9344
2612084.9592,1269304.3878,,252.9344
2612087.4688,1269306.0314,,252.574
2612090.0142,1269307.619,,252.0129
2612092.5942,1269309.1498,,252.0129
2612095.2075,1269310.6231,,251.8054
2612097.8528,1269312.0381,,251.8054
2612100.5287,1269313.3941,,251.6312
2612103.2341,1269314.6905,,251.6312
2612105.9675,1269315.9266,,251.1492
2612108.7277,1269317.1019,,251.1492
2612111.5132,1269318.2157,,251.1567
2612114.3227,1269319.2675,,251.1567
2612117.1548,1269320.2568,,250.6956
2612117.7589,1269320.4587,,250.6956
2612120.0082,1269321.1831,,250.6664
2612122.8813,1269322.0459,,250.6664
2612125.7729,1269322.8449,,250.6372
2612128.6815,1269323.5796,,250.6372
2612131.6057,1269324.2496,,250.638
2612134.5439,1269324.8547,,250.638
2612137.4949,1269325.3946,,248.9911
2612140.4571,1269325.8689,,249.5887
2612143.4291,1269326.2774,,249.5887
2612146.4094,1269326.6201,,250.4562
2612149.3966,1269326.8965,,250.4562
2612152.3891,1269327.1068,,250.596
2612155.3856,1269327.2506,,250.7349
2612158.3846,1269327.3281,,250.7349
2612161.3845,1269327.339,,250.7949
2612164.3839,1269327.2835,,250.7949
2612167.3814,1269327.1615,,250.8807
2612170.3754,1269326.9731,,250.9536
2612173.3645,1269326.7185,,250.9536
2612176.3472,1269326.3977,,250.981
2612179.3221,1269326.0108,,250.981
2612182.2877,1269325.5581,,251.0078
2612185.2425,1269325.0399,,250.9561
2612188.1852,1269324.4562,,251.1372
2612191.1141,1269323.8075,,251.031
2612194.028,1269323.0941,,251.031
2612196.9253,1269322.3163,,251.0368
2612199.8047,1269321.4745,,251.0368
2612202.6648,1269320.569,,251.048
2612202.6903,1269320.5606,,251.048
2612205.5957,1269319.6207,,254.2674
2612208.4335,1269318.6479,,254.2674
2612211.2494,1269317.6135,,254.3974
2612214.0425,1269316.5186,,254.3974
2612216.8114,1269315.3643,,254.1948
2612219.5554,1269314.1517,,254.2604
2612222.2733,1269312.8819,,254.1907
2612224.9643,1269311.5559,,254.1907
2612227.6275,1269310.1749,,254.1214
2612230.262,1269308.7399,,254.0603
2612232.8671,1269307.2522,,254.0603
2612235.4419,1269305.7128,,254.0751
2612237.9859,1269304.1228,,249.5718
2612240.4982,1269302.4833,,251.5019
2612242.9784,1269300.7956,,251.5019
2612245.4258,1269299.0607,,249.9201
2612247.8502,1269297.2719,,249.9201
2612250.2986,1269295.5607,,250.0883
2612252.7376,1269293.814,,250.2419
2612255.1563,1269292.0392,,250.5002
2612257.5543,1269290.2366,,250.5002
2612259.9314,1269288.4065,,251.7095
2612262.2872,1269286.5491,,250.8564
2612264.6214,1269284.6646,,254.0242
2612266.9338,1269282.7533,,251.5852
2612269.2239,1269280.8155,,251.5852
2612271.4915,1269278.8513,,254.1157
2612273.7363,1269276.8611,,254.1157
2612275.958,1269274.8452,,254.0867
2612278.1562,1269272.8038,,254.0867
2612280.3308,1269270.7371,,252.6749
2612282.4814,1269268.6455,,253.9783
2612284.6077,1269266.5292,,253.9783
2612286.7095,1269264.3885,,253.9684
2612288.7864,1269262.2237,,253.9684
2612290.8382,1269260.0351,,254.0015
2612292.8646,1269257.8229,,254.0983
2612293.2297,1269257.4188,,254.0983
2612294.8653,1269255.5875,,254.0983
2612296.8401,1269253.3292,,254.2788
2612298.7887,1269251.0483,,254.2788
2612300.7109,1269248.745,,254.4404
2612302.6064,1269246.4197,,254.4404
2612304.4749,1269244.0726,,255.0592
2612306.3162,1269241.7042,,254.9908
2612308.1301,1269239.3147,,256.2147
2612309.9163,1269236.9044,,256.2147
2612311.6745,1269234.4737,,257.0247
2612313.4046,1269232.0228,,257.0247
2612315.1063,1269229.5521,,257.9974
2612315.865,1269228.4306,,257.9974
2612316.787,1269227.0617,,257.9974
2612318.4418,1269224.5594,,258.122
2612320.0698,1269222.0395,,258.7224
2612321.6723,1269219.5034,,260.0022
2612323.2505,1269216.9521,,260.0022
2612324.8057,1269214.3867,,259.1537
2612326.3393,1269211.8083,,262.4988
2612327.8526,1269209.218,,260.7979
2612329.347,1269206.6167,,260.7979
2612330.8239,1269204.0054,,261.9851
2612332.2847,1269201.3851,,261.9851
2612333.7308,1269198.7566,,260.7999
2612335.1636,1269196.1209,,261.6352
2612336.5846,1269193.4788,,260.9614
2612337.9953,1269190.8312,,260.9614
2612339.3971,1269188.1789,,259.6133
2612340.7916,1269185.5226,,261.6351
2612342.1801,1269182.8633,,260.0558
2612343.5643,1269180.2017,,260.0558
2612344.7703,1269177.8768,,258.8072
2612344.9482,1269177.54,,258.8072
2612346.3503,1269174.8878,,260.3187
2612347.754,1269172.2365,,260.3187
2612349.1593,1269169.586,,258.8674
2612349.2826,1269169.3536,,258.8674
2612350.5662,1269166.9364,,261.3065
2612351.9747,1269164.2875,,260.7338
2612353.3848,1269161.6396,,260.7338
2612354.7964,1269158.9925,,259.2222
2612356.2097,1269156.3462,,262.2787
2612357.6245,1269153.7008,,260.7018
2612359.041,1269151.0562,,260.7018
2612360.459,1269148.4125,,261.4623
2612361.8786,1269145.7696,,261.4623
2612363.2998,1269143.1276,,260.7289
2612364.7225,1269140.4865,,260.7289
2612366.1469,1269137.8462,,261.9745
2612367.5728,1269135.2067,,261.9745
2612369.0003,1269132.5681,,261.4646
2612370.4295,1269129.9304,,262.5366
2612371.8601,1269127.2935,,262.5366
2612373.2924,1269124.6575,,261.2839
2612374.7263,1269122.0223,,261.2839
2612376.1617,1269119.388,,262.5316
2612377.5987,1269116.7546,,262.5316
2612379.0373,1269114.122,,262.0572
2612380.4775,1269111.4903,,262.5215
2612381.9192,1269108.8595,,262.4756
2612383.3625,1269106.2295,,262.4756
2612384.8074,1269103.6004,,262.4282
2612386.2539,1269100.9721,,262.4752
2612387.702,1269098.3447,,262.4262
2612389.1516,1269095.7182,,262.4262
2612390.6028,1269093.0926,,262.494
2612392.0556,1269090.4678,,262.494
2612393.51,1269087.8439,,262.4827
2612394.9659,1269085.2209,,262.4827
2612396.4234,1269082.5987,,262.5408
2612397.8825,1269079.9775,,262.4436
2612399.3432,1269077.3571,,262.4436
2612400.8054,1269074.7375,,262.5587
2612402.2692,1269072.1189,,262.5587
2612402.9719,1269070.8631,,262.5587
2612403.7346,1269069.5011,,262.5389
2612405.2015,1269066.8842,,262.5375
2612406.67,1269064.2682,,262.5353
2612408.1401,1269061.6531,,262.5353
2612409.6117,1269059.0389,,262.5641
2612411.0849,1269056.4255,,262.5919
2612412.5597,1269053.813,,262.6098
2612414.0361,1269051.2015,,262.6098
2612415.514,1269048.5908,,262.6429
2612416.9935,1269045.9809,,262.6429
2612418.4745,1269043.372,,262.7045
2612419.9571,1269040.764,,262.7045
2612421.4413,1269038.1568,,262.7251
2612422.9271,1269035.5506,,262.7251
2612424.4144,1269032.9452,,262.6821
2612425.9032,1269030.3407,,262.7433
2612426.3308,1269029.5935,,262.7191
2612427.3933,1269027.7369,,262.7191
2612428.8834,1269025.1332,,262.7191
2612430.3735,1269022.5294,,262.7195
2612431.8636,1269019.9256,,262.6719
2612433.3537,1269017.3219,,262.6719
2612434.8438,1269014.7181,,262.5436
2612436.3339,1269012.1143,,262.6749
2612437.824,1269009.5106,,262.6347
2612439.3141,1269006.9068,,262.6347
2612440.8041,1269004.303,,262.6527
2612442.2942,1269001.6993,,262.6527
2612443.7843,1268999.0955,,262.5565
2612445.2744,1268996.4917,,262.6941
2612446.7645,1268993.888,,262.5862
2612448.2546,1268991.2842,,262.5862
2612449.7447,1268988.6804,,262.5786
2612451.2348,1268986.0767,,262.5993
2612452.7249,1268983.4729,,262.5519
2612454.215,1268980.8691,,262.5519
2612455.7051,1268978.2653,,262.6379
2612457.1952,1268975.6616,,262.6379
2612458.6853,1268973.0578,,262.6548
2612460.1754,1268970.454,,262.8311
2612461.6655,1268967.8503,,262.8065
2612463.1556,1268965.2465,,262.8065
2612464.6457,1268962.6427,,262.8657
2612466.1358,1268960.039,,262.9531
2612467.6259,1268957.4352,,262.9869
2612469.116,1268954.8314,,262.8869
2612470.6061,1268952.2277,,262.7819
2612472.0962,1268949.6239,,262.8746
2612473.5863,1268947.0201,,262.8746
2612475.0764,1268944.4164,,262.9595
2612476.5665,1268941.8126,,262.9595
2612478.0566,1268939.2088,,262.7365
