"Point","Type","Station","Northing","Easting","Elevation"
"205+065:1","SP","205+065","1269297.2719","2612247.8502","270.298"
"","","","","",""
"104","SC","205+065.013","1269297.2719","2612247.8502","270.297"
"","","","","",""
"205+070:1","PC","205+070","1269294.3994","2612251.9268","270.116"
"","","","","",""
"205+075","PC","205+075","1269291.4414","2612255.9579","269.925"
"","","","","",""
"205+080:2","PC","205+080","1269288.4065","2612259.9314","269.725"
"","","","","",""
"205+085","PC","205+085","1269285.2958","2612263.8458","269.515"
"","","","","",""
"205+090:1","PC","205+090","1269282.1103","2612267.6996","269.297"
"","","","","",""
"205+095:1","PC","205+095","1269278.8513","2612271.4915","269.070"
"","","","","",""
"205+100:2","PC","205+100","1269275.5200","2612275.2200","268.833"
"","","","","",""
"205+105","PC","205+105","1269272.1177","2612278.8837","268.588"
"","","","","",""
"205+110:2","PC","205+110","1269268.6455","2612282.4814","268.333"
"","","","","",""
"205+115","PC","205+115","1269265.1047","2612286.0116","268.069"
"","","","","",""
"205+120:1","PC","205+120","1269261.4968","2612289.4731","267.796"
"","","","","",""
"EC1:2","PC","205+125","1269257.8229","2612292.8646","267.514"
"","","","","",""
"EC1:3","EC","205+125.545","1269257.4185","2612293.2299","267.483"
"","","","","",""
"205+130:1","PC","205+130","1269254.0845","2612296.1847","267.227"
"","","","","",""
"205+135","PC","205+135","1269250.2830","2612299.4324","266.940"
"","","","","",""
"205+140:2","PC","205+140","1269246.4197","2612302.6064","266.652"
"","","","","",""
"205+145","PC","205+145","1269242.4960","2612305.7055","266.365"
"","","","","",""
"205+150:1","PC","205+150","1269238.5136","2612308.7286","266.077"
"","","","","",""
"205+155:1","PC","205+155","1269234.4737","2612311.6745","265.790"
"","","","","",""
"205+160:1","PC","205+160","1269230.3779","2612314.5422","265.502"
"","","","","",""
"105","CS","205+162.354","1269228.4306","2612315.8650","265.367"
"","","","","",""
"205+165","SP","205+165","1269226.2299","2612317.3414","265.215"
"","","","","",""
"205+170:2","SP","205+170","1269222.0398","2612320.0696","264.927"
"","","","","",""
"205+175","SP","205+175","1269217.8044","2612322.7268","264.640"
"","","","","",""
"205+180:1","SP","205+180","1269213.5289","2612325.3190","264.352"
"","","","","",""
"205+185:1","SP","205+185","1269209.2183","2612327.8524","264.065"
"","","","","",""
"205+190:1","SP","205+190","1269204.8772","2612330.3333","263.777"
"","","","","",""
"205+195","SP","205+195","1269200.5101","2612332.7680","263.490"
"","","","","",""
"205+200:3","SP","205+200","1269196.1212","2612335.1633","263.202"
"","","","","",""
"205+205","SP","205+205","1269191.7145","2612337.5259","262.915"
"","","","","",""
"205+210:1","SP","205+210","1269187.2941","2612339.8624","262.627"
"","","","","",""
"205+215:1","SP","205+215","1269182.8636","2612342.1799","262.340"
"","","","","",""
"205+220:1","SP","205+220","1269178.4267","2612344.4851","262.052"
"","","","","",""
"220","SC","205+220.619","1269177.8770","2612344.7700","262.016"
"","","","","",""
"205+225","PC","205+225","1269174.0042","2612346.8178","261.765"
"","","","","",""
"BC2:3","PC","205+230","1269169.5862","2612349.1591","261.477"
"","","","","",""
"BC2:4","BC","205+230.262","1269169.3548","2612349.2819","261.462"
"","","","","",""
"205+235","PC","205+235","1269165.1706","2612351.5048","261.190"
"","","","","",""
"205+240:1","PC","205+240","1269160.7574","2612353.8549","260.905"
"","","","","",""
"205+245:1","PC","205+245","1269156.3464","2612356.2094","260.622"
"","","","","",""
"205+250:1","PC","205+250","1269151.9379","2612358.5684","260.340"
"","","","","",""
"205+255","PC","205+255","1269147.5317","2612360.9318","260.060"
"","","","","",""
"205+260:2","PC","205+260","1269143.1279","2612363.2995","259.782"
"","","","","",""
"205+265","PC","205+265","1269138.7264","2612365.6717","259.505"
"","","","","",""
"205+270:1","PC","205+270","1269134.3273","2612368.0483","259.230"
"","","","","",""
"205+275:1","PC","205+275","1269129.9306","2612370.4292","258.957"
"","","","","",""
"205+280:1","PC","205+280","1269125.5363","2612372.8146","258.685"
"","","","","",""
"205+285","PC","205+285","1269121.1444","2612375.2043","258.415"
"","","","","",""
"205+290:2","PC","205+290","1269116.7548","2612377.5985","258.146"
"","","","","",""
"205+295","PC","205+295","1269112.3677","2612379.9970","257.880"
"","","","","",""
"205+300:2","PC","205+300","1269107.9829","2612382.3999","257.615"
"","","","","",""
"205+305:1","PC","205+305","1269103.6006","2612384.8072","257.351"
"","","","","",""
"205+310:1","PC","205+310","1269099.2207","2612387.2189","257.090"
"","","","","",""
"205+315","PC","205+315","1269094.8432","2612389.6350","256.830"
"","","","","",""
"205+320:2","PC","205+320","1269090.4681","2612392.0554","256.571"
"","","","","",""
"205+325","PC","205+325","1269086.0954","2612394.4802","256.315"
"","","","","",""
"205+330:1","PC","205+330","1269081.7251","2612396.9094","256.060"
"","","","","",""
"205+335:1","PC","205+335","1269077.3573","2612399.3430","255.806"
"","","","","",""
"205+340:1","PC","205+340","1269072.9919","2612401.7809","255.555"
"","","","","",""
"EC2:2","PC","205+342.368","1269070.9254","2612402.9370","255.436"
"","","","","",""
"EC2:3","EC","205+342.438","1269070.8643","2612402.9712","255.433"
"","","","","",""
"205+345","PC","205+345","1269068.6290","2612404.2232","255.304"
"","","","","",""
"205+350:2","PC","205+350","1269064.2685","2612406.6698","255.054"
"","","","","",""
"205+355","PC","205+355","1269059.9105","2612409.1208","254.804"
"","","","","",""
"205+360:1","PC","205+360","1269055.5549","2612411.5762","254.554"
"","","","","",""
"205+365:1","PC","205+365","1269051.2017","2612414.0359","254.304"
"","","","","",""
"205+370:1","PC","205+370","1269046.8511","2612416.5000","254.054"
"","","","","",""
"205+375","PC","205+375","1269042.5028","2612418.9684","253.804"
"","","","","",""
"205+380:2","PC","205+380","1269038.1571","2612421.4411","253.554"
"","","","","",""
"205+385","PC","205+385","1269033.8138","2612423.9183","253.304"
"","","","","",""
"221","PT","205+389.861","1269029.5935","2612426.3308","253.061"
"","","","","",""
"205+390:1","","205+390","1269029.4731","2612426.3997","253.054"
"","","","","",""
"205+395:1","","205+395","1269025.1335","2612428.8832","252.804"
"","","","","",""
"205+400:2","","205+400","1269020.7938","2612431.3667","252.554"
"","","","","",""
"205+405","","205+405","1269016.4542","2612433.8502","252.304"
"","","","","",""
"205+410:2","","205+410","1269012.1146","2612436.3337","252.054"
"","","","","",""
"205+415","","205+415","1269007.7750","2612438.8172","251.804"
"","","","","",""
"205+420:1","","205+420","1269003.4354","2612441.3007","251.554"
"","","","","",""
"205+425:1","","205+425","1268999.0958","2612443.7842","251.304"
"","","","","",""
"205+430:1","","205+430","1268994.7562","2612446.2677","251.054"
"","","","","",""
"205+435","","205+435","1268990.4165","2612448.7512","250.804"
"","","","","",""
"205+440:2","","205+440","1268986.0769","2612451.2347","250.554"
"","","","","",""
"205+445","","205+445","1268981.7373","2612453.7182","250.304"
"","","","","",""
"205+450:1","","205+450","1268977.3977","2612456.2017","250.054"
"","","","","",""
"205+455:1","","205+455","1268973.0581","2612458.6852","249.804"
"","","","","",""
"205+460:1","","205+460","1268968.7185","2612461.1687","249.554"
"","","","","",""
"205+465","","205+465","1268964.3789","2612463.6521","249.304"
"","","","","",""
"205+470:2","","205+470","1268960.0392","2612466.1356","249.054"
"","","","","",""
"205+475","","205+475","1268955.6996","2612468.6191","248.804"
"","","","","",""
"205+480:1","","205+480","1268951.3600","2612471.1026","248.554"
"","","","","",""
"205+485:1","","205+485","1268947.0204","2612473.5861","248.304"
"","","","","",""
"205+490:1","","205+490","1268942.6808","2612476.0696","248.054"
"","","","","",""
"205+495","","205+495","1268938.3412","2612478.5531","247.804"
"","","","","",""
"205+500:3","","205+500","1268934.0016","2612481.0366","247.554"
"","","","","",""
"205+505","","205+505","1268929.6620","2612483.5201","247.304"
"","","","","",""
"205+510:1","","205+510","1268925.3223","2612486.0036","247.054"
"","","","","",""
"205+515:1","","205+515","1268920.9827","2612488.4871","246.804"
"","","","","",""
"205+520:1","","205+520","1268916.6431","2612490.9706","246.554"
"","","","","",""
"205+525","","205+525","1268912.3035","2612493.4541","246.304"
"","","","","",""
"205+530:2","","205+530","1268907.9639","2612495.9376","246.054"
"","","","","",""
"205+535","","205+535","1268903.6243","2612498.4211","245.804"
"","","","","",""
"205+540:1","","205+540","1268899.2847","2612500.9046","245.554"
"","","","","",""
"205+545:1","","205+545","1268894.9450","2612503.3881","245.304"
"","","","","",""
"205+550:1","","205+550","1268890.6054","2612505.8716","245.054"
"","","","","",""
"205+555","","205+555","1268886.2658","2612508.3551","244.804"
"","","","","",""
"205+560:2","","205+560","1268881.9262","2612510.8386","244.554"
"","","","","",""
"205+565","","205+565","1268877.5866","2612513.3221","244.304"
"","","","","",""
"205+570:1","","205+570","1268873.2470","2612515.8056","244.054"
"","","","","",""
"205+575:1","","205+575","1268868.9074","2612518.2891","243.804"
"","","","","",""
"205+580:1","","205+580","1268864.5677","2612520.7726","243.554"
"","","","","",""
"205+585","","205+585","1268860.2281","2612523.2561","243.304"
"","","","","",""
"205+590:2","","205+590","1268855.8885","2612525.7396","243.054"
"","","","","",""
"205+595","","205+595","1268851.5489","2612528.2230","242.804"
"","","","","",""
"205+600:2","","205+600","1268847.2093","2612530.7065","242.554"
"","","","","",""
"205+605:1","","205+605","1268842.8697","2612533.1900","242.304"
"","","","","",""
"205+610:1","","205+610","1268838.5301","2612535.6735","242.054"
"","","","","",""
"205+615","","205+615","1268834.1904","2612538.1570","241.804"
"","","","","",""
"205+620:2","","205+620","1268829.8508","2612540.6405","241.554"
"","","","","",""
"205+625","","205+625","1268825.5112","2612543.1240","241.304"
"","","","","",""
"205+630:1","","205+630","1268821.1716","2612545.6075","241.054"
"","","","","",""
"205+635:1","","205+635","1268816.8320","2612548.0910","240.804"
"","","","","",""
"205+640:1","","205+640","1268812.4924","2612550.5745","240.554"
"","","","","",""
"205+645","","205+645","1268808.1528","2612553.0580","240.304"
"","","","","",""
"205+650:2","","205+650","1268803.8132","2612555.5415","240.054"
"","","","","",""
"205+655","","205+655","1268799.4735","2612558.0250","239.804"
"","","","","",""
"205+660:1","","205+660","1268795.1339","2612560.5085","239.554"
"","","","","",""
"205+665:1","","205+665","1268790.7943","2612562.9920","239.304"
"","","","","",""
"205+670:1","","205+670","1268786.4547","2612565.4755","239.054"
"","","","","",""
"205+675","","205+675","1268782.1151","2612567.9590","238.804"
"","","","","",""
"205+680:2","","205+680","1268777.7755","2612570.4425","238.554"
"","","","","",""
"205+685","","205+685","1268773.4359","2612572.9260","238.304"
"","","","","",""
"205+690:1","","205+690","1268769.0962","2612575.4095","238.054"
"","","","","",""
"205+695:1","","205+695","1268764.7566","2612577.8930","237.804"
"","","","","",""
"205+700:2","","205+700","1268760.4170","2612580.3765","237.554"
"","","","","",""
"205+705","","205+705","1268756.0774","2612582.8600","237.304"
"","","","","",""
"205+710:2","","205+710","1268751.7378","2612585.3435","237.054"
"","","","","",""
"205+715","","205+715","1268747.3982","2612587.8270","236.804"
"","","","","",""
"205+720:1","","205+720","1268743.0586","2612590.3105","236.554"
"","","","","",""
"205+725:1","","205+725","1268738.7189","2612592.7939","236.304"
"","","","","",""
"205+730:1","","205+730","1268734.3793","2612595.2774","236.054"
"","","","","",""
"205+735","","205+735","1268730.0397","2612597.7609","235.804"
"","","","","",""
"205+740:2","","205+740","1268725.7001","2612600.2444","235.554"
"","","","","",""
"205+745","","205+745","1268721.3605","2612602.7279","235.304"
"","","","","",""
"205+750:1","","205+750","1268717.0209","2612605.2114","235.054"
"","","","","",""
"205+755:1","","205+755","1268712.6813","2612607.6949","234.804"
"","","","","",""
"205+760:1","","205+760","1268708.3417","2612610.1784","234.554"
"","","","","",""
"205+765","","205+765","1268704.0020","2612612.6619","234.304"
"","","","","",""
"205+770:2","","205+770","1268699.6624","2612615.1454","234.054"
"","","","","",""
"205+775","","205+775","1268695.3228","2612617.6289","233.804"
"","","","","",""
"205+780:1","","205+780","1268690.9832","2612620.1124","233.554"
"","","","","",""
"205+785:1","","205+785","1268686.6436","2612622.5959","233.304"
"","","","","",""
"205+790:1","","205+790","1268682.3040","2612625.0794","233.054"
"","","","","",""
"205+795","","205+795","1268677.9644","2612627.5629","232.804"
"","","","","",""
"205+800:3","","205+800","1268673.6247","2612630.0464","232.554"
"","","","","",""
"205+805","","205+805","1268669.2851","2612632.5299","232.304"
"","","","","",""
"205+810:1","","205+810","1268664.9455","2612635.0134","232.054"
"","","","","",""
"205+815:1","","205+815","1268660.6059","2612637.4969","231.804"
"","","","","",""
"205+820:1","","205+820","1268656.2663","2612639.9804","231.554"
"","","","","",""
"205+825","","205+825","1268651.9267","2612642.4639","231.304"
"","","","","",""
"205+830:2","","205+830","1268647.5871","2612644.9474","231.054"
"","","","","",""
"205+835","","205+835","1268643.2474","2612647.4309","230.804"
"","","","","",""
"205+840:1","","205+840","1268638.9078","2612649.9144","230.554"
"","","","","",""
"205+845:1","","205+845","1268634.5682","2612652.3979","230.304"
"","","","","",""
"205+850:1","","205+850","1268630.2286","2612654.8814","230.054"
"","","","","",""
"205+855","","205+855","1268625.8890","2612657.3648","229.804"
"","","","","",""
"205+860:2","","205+860","1268621.5494","2612659.8483","229.554"
"","","","","",""
"205+865","","205+865","1268617.2098","2612662.3318","229.304"
"","","","","",""
"205+870:1","","205+870","1268612.8702","2612664.8153","229.054"
"","","","","",""
"205+875:1","","205+875","1268608.5305","2612667.2988","228.804"
"","","","","",""
"205+880:1","","205+880","1268604.1909","2612669.7823","228.554"
"","","","","",""
"205+885","","205+885","1268599.8513","2612672.2658","228.304"
"","","","","",""
"205+890:2","","205+890","1268595.5117","2612674.7493","228.054"
"","","","","",""
"205+895","","205+895","1268591.1721","2612677.2328","227.804"
"","","","","",""
"BC3:5","BC","205+899.114","1268587.6014","2612679.2762","227.598"
"","","","","",""
"BC3:4","","205+900","1268586.8325","2612679.7163","227.554"
"","","","","",""
"205+905:1","","205+905","1268582.4929","2612682.1998","227.306"
"","","","","",""
"205+910:1","","205+910","1268578.1532","2612684.6833","227.060"
"","","","","",""
"205+915","","205+915","1268573.8136","2612687.1668","226.817"
"","","","","",""
"205+920:2","","205+920","1268569.4740","2612689.6503","226.576"
"","","","","",""
"205+925","","205+925","1268565.1344","2612692.1338","226.338"
"","","","","",""
"205+930:1","","205+930","1268560.7948","2612694.6173","226.102"
"","","","","",""
"205+935:1","","205+935","1268556.4552","2612697.1008","225.868"
"","","","","",""
"205+940:1","","205+940","1268552.1156","2612699.5843","225.638"
"","","","","",""
"205+945","","205+945","1268547.7759","2612702.0678","225.409"
"","","","","",""
"205+950:2","","205+950","1268543.4363","2612704.5513","225.184"
"","","","","",""
"205+955","","205+955","1268539.0967","2612707.0348","224.960"
"","","","","",""
"205+960:1","","205+960","1268534.7571","2612709.5183","224.740"
"","","","","",""
"205+965:1","","205+965","1268530.4175","2612712.0018","224.521"
"","","","","",""
"205+970:1","","205+970","1268526.0779","2612714.4853","224.306"
"","","","","",""
"205+975","","205+975","1268521.7383","2612716.9688","224.092"
"","","","","",""
"205+980:2","","205+980","1268517.3987","2612719.4523","223.882"
"","","","","",""
"205+985","","205+985","1268513.0590","2612721.9358","223.673"
"","","","","",""
"205+990:1","","205+990","1268508.7194","2612724.4192","223.468"
"","","","","",""
"205+995:1","","205+995","1268504.3798","2612726.9027","223.264"
"","","","","",""
"206+000:2","","206+000","1268500.0402","2612729.3862","223.064"
"","","","","",""
"206+005","","206+005","1268495.7006","2612731.8697","222.865"
"","","","","",""
"206+010:2","","206+010","1268491.3610","2612734.3532","222.670"
"","","","","",""
"206+015","","206+015","1268487.0214","2612736.8367","222.476"
"","","","","",""
"206+020:1","","206+020","1268482.6817","2612739.3202","222.286"
"","","","","",""
"206+025:1","","206+025","1268478.3421","2612741.8037","222.097"
"","","","","",""
"206+030:1","","206+030","1268474.0025","2612744.2872","221.912"
"","","","","",""
"206+035","","206+035","1268469.6629","2612746.7707","221.728"
"","","","","",""
"206+040:2","","206+040","1268465.3233","2612749.2542","221.548"
"","","","","",""
"206+045","","206+045","1268460.9837","2612751.7377","221.370"
"","","","","",""
"206+050:1","","206+050","1268456.6441","2612754.2212","221.194"
"","","","","",""
"206+055:1","","206+055","1268452.3044","2612756.7047","221.021"
"","","","","",""
"206+060:1","","206+060","1268447.9648","2612759.1882","220.850"
"","","","","",""
"206+065","","206+065","1268443.6252","2612761.6717","220.682"
"","","","","",""
"206+070:2","","206+070","1268439.2856","2612764.1552","220.516"
"","","","","",""
"206+075","","206+075","1268434.9460","2612766.6387","220.353"
"","","","","",""
"206+080:1","","206+080","1268430.6064","2612769.1222","220.192"
"","","","","",""
"206+085:1","","206+085","1268426.2668","2612771.6057","220.034"
"","","","","",""
"206+090:1","","206+090","1268421.9272","2612774.0892","219.878"
"","","","","",""
"206+095","","206+095","1268417.5875","2612776.5727","219.725"
"","","","","",""
"206+100:3","","206+100","1268413.2479","2612779.0562","219.575"
"","","","","",""
"206+105","","206+105","1268408.9083","2612781.5397","219.426"
"","","","","",""
"206+110:1","","206+110","1268404.5687","2612784.0232","219.281"
"","","","","",""
"206+115:1","","206+115","1268400.2291","2612786.5067","219.138"
"","","","","",""
"206+120:1","","206+120","1268395.8895","2612788.9901","218.997"
"","","","","",""
"206+125","","206+125","1268391.5499","2612791.4736","218.859"
"","","","","",""
"206+130:2","","206+130","1268387.2102","2612793.9571","218.723"
"","","","","",""
"206+135","","206+135","1268382.8706","2612796.4406","218.590"
"","","","","",""
"206+140:1","","206+140","1268378.5310","2612798.9241","218.459"
"","","","","",""
"206+145:1","","206+145","1268374.1914","2612801.4076","218.331"
"","","","","",""
"EC3:2","","206+148.723","1268370.9601","2612803.2568","218.237"
"","","","","",""
"EC3:3","EC","206+148.762","1268370.9263","2612803.2762","218.236"
"","","","","",""
"206+150:1","","206+150","1268369.8518","2612803.8911","218.205"
"","","","","",""
"206+155","","206+155","1268365.5122","2612806.3746","218.080"
"","","","","",""
"206+160:2","","206+160","1268361.1726","2612808.8581","217.955"
"","","","","",""
"206+165","","206+165","1268356.8329","2612811.3416","217.830"
"","","","","",""
"206+170:1","","206+170","1268352.4933","2612813.8251","217.705"
"","","","","",""
"206+175:1","","206+175","1268348.1537","2612816.3086","217.580"
"","","","","",""
"206+180:1","","206+180","1268343.8141","2612818.7921","217.455"
"","","","","",""
"206+185","","206+185","1268339.4745","2612821.2756","217.330"
"","","","","",""
"206+190:2","","206+190","1268335.1349","2612823.7591","217.205"
"","","","","",""
"206+195","","206+195","1268330.7953","2612826.2426","217.080"
"","","","","",""
"206+200:2","","206+200","1268326.4557","2612828.7261","216.955"
"","","","","",""
"206+205:1","","206+205","1268322.1160","2612831.2096","216.830"
"","","","","",""
"206+210:1","","206+210","1268317.7764","2612833.6931","216.705"
"","","","","",""
"206+215","","206+215","1268313.4368","2612836.1766","216.580"
"","","","","",""
"206+220:2","","206+220","1268309.0972","2612838.6601","216.455"
"","","","","",""
"206+225","","206+225","1268304.7576","2612841.1436","216.330"
"","","","","",""
"206+230:1","","206+230","1268300.4180","2612843.6271","216.205"
"","","","","",""
"206+235:1","","206+235","1268296.0784","2612846.1106","216.080"
"","","","","",""
"206+240:1","","206+240","1268291.7387","2612848.5941","215.955"
"","","","","",""
"206+245","","206+245","1268287.3991","2612851.0776","215.830"
"","","","","",""
"206+250:2","","206+250","1268283.0595","2612853.5610","215.705"
"","","","","",""
"206+255","","206+255","1268278.7199","2612856.0445","215.580"
"","","","","",""
"206+260:1","","206+260","1268274.3803","2612858.5280","215.455"
"","","","","",""
"206+265:1","","206+265","1268270.0407","2612861.0115","215.330"
"","","","","",""
"206+270:1","","206+270","1268265.7011","2612863.4950","215.205"
"","","","","",""
"206+275","","206+275","1268261.3614","2612865.9785","215.080"
"","","","","",""
"206+280:2","","206+280","1268257.0218","2612868.4620","214.955"
"","","","","",""
"206+285","","206+285","1268252.6822","2612870.9455","214.830"
"","","","","",""
"206+290:1","","206+290","1268248.3426","2612873.4290","214.705"
"","","","","",""
"206+295:1","","206+295","1268244.0030","2612875.9125","214.580"
"","","","","",""
"206+300:2","","206+300","1268239.6634","2612878.3960","214.455"
"","","","","",""
"206+305","","206+305","1268235.3238","2612880.8795","214.330"
"","","","","",""
"206+310:2","","206+310","1268230.9842","2612883.3630","214.205"
"","","","","",""
"206+315","","206+315","1268226.6445","2612885.8465","214.080"
"","","","","",""
"222","TS","206+317.952","1268224.0820","2612887.3130","214.007"
"","","","","",""
"206+320:1","SP","206+320","1268222.3049","2612888.3300","213.955"
"","","","","",""
"206+325:1","SP","206+325","1268217.9655","2612890.8139","213.830"
"","","","","",""
"206+330:1","SP","206+330","1268213.6269","2612893.2990","213.705"
"","","","","",""
"206+335","SP","206+335","1268209.2894","2612895.7863","213.580"
"","","","","",""
"206+340:2","SP","206+340","1268204.9537","2612898.2766","213.455"
"","","","","",""
"206+345","SP","206+345","1268200.6202","2612900.7708","213.330"
"","","","","",""
"206+350:1","SP","206+350","1268196.2895","2612903.2698","213.205"
"","","","","",""
"206+355:1","SP","206+355","1268191.9621","2612905.7744","213.080"
"","","","","",""
"206+360:1","SP","206+360","1268187.6384","2612908.2856","212.955"
"","","","","",""
"206+365","SP","206+365","1268183.3191","2612910.8042","212.830"
"","","","","",""
"206+370:2","SP","206+370","1268179.0046","2612913.3311","212.705"
"","","","","",""
"206+375","SP","206+375","1268174.6955","2612915.8672","212.580"
"","","","","",""
"206+380:1","SP","206+380","1268170.3923","2612918.4132","212.455"
"","","","","",""
"206+385:1","SP","206+385","1268166.0956","2612920.9702","212.330"
"","","","","",""
"206+390:1","SP","206+390","1268161.8059","2612923.5389","212.205"
"","","","","",""
"BC4:6","BC","206+392.288","1268159.8454","2612924.7185","212.148"
"","","","","",""
"BC4:5","SP","206+392.591","1268159.5859","2612924.8749","212.141"
"","","","","",""
"BC4:4","SP","206+393.709","1268158.6286","2612925.4525","212.113"
"","","","","",""
"206+395","SP","206+395","1268157.5237","2612926.1203","212.081"
"","","","","",""
"206+400:3","SP","206+400","1268153.2497","2612928.7150","211.958"
"","","","","",""
"206+405","SP","206+405","1268148.9844","2612931.3241","211.837"
"","","","","",""
"206+410:1","SP","206+410","1268144.7284","2612933.9483","211.718"
"","","","","",""
"206+415:1","SP","206+415","1268140.4823","2612936.5885","211.601"
"","","","","",""
"206+420:1","SP","206+420","1268136.2467","2612939.2455","211.486"
"","","","","",""
"206+425","SP","206+425","1268132.0222","2612941.9201","211.373"
"","","","","",""
"206+430:2","SP","206+430","1268127.8094","2612944.6131","211.262"
"","","","","",""
"206+435","SP","206+435","1268123.6090","2612947.3254","211.153"
"","","","","",""
"206+440:1","SP","206+440","1268119.4216","2612950.0577","211.047"
"","","","","",""
"206+445:1","SP","206+445","1268115.2478","2612952.8108","210.942"
"","","","","",""
"206+450:1","SP","206+450","1268111.0884","2612955.5855","210.839"
"","","","","",""
"206+455","SP","206+455","1268106.9440","2612958.3826","210.738"
"","","","","",""
"206+460:2","SP","206+460","1268102.8153","2612961.2029","210.639"
"","","","","",""
"206+465","SP","206+465","1268098.7030","2612964.0470","210.542"
"","","","","",""
"517","SC","206+465.542","1268098.2580","2612964.3570","210.532"
"","","","","",""
"206+470:1","PC","206+470","1268094.6080","2612966.9156","210.447"
"","","","","",""
"206+475:1","PC","206+475","1268090.5301","2612969.8089","210.354"
"","","","","",""
"206+480:1","PC","206+480","1268086.4698","2612972.7267","210.263"
"","","","","",""
"206+485","PC","206+485","1268082.4271","2612975.6689","210.174"
"","","","","",""
"206+490:2","PC","206+490","1268078.4022","2612978.6354","210.087"
"","","","","",""
"206+495","PC","206+495","1268074.3953","2612981.6261","210.003"
"","","","","",""
"206+500:2","PC","206+500","1268070.4064","2612984.6409","209.920"
"","","","","",""
"206+505:1","PC","206+505","1268066.4358","2612987.6797","209.839"
"","","","","",""
"206+510:1","PC","206+510","1268062.4835","2612990.7423","209.760"
"","","","","",""
"206+515","PC","206+515","1268058.5498","2612993.8287","209.683"
"","","","","",""
"206+520:2","PC","206+520","1268054.6347","2612996.9387","209.608"
"","","","","",""
"206+525","PC","206+525","1268050.7385","2613000.0723","209.535"
"","","","","",""
"206+530:1","PC","206+530","1268046.8612","2613003.2292","209.464"
"","","","","",""
"206+535:1","PC","206+535","1268043.0030","2613006.4095","209.395"
"","","","","",""
"206+540:1","PC","206+540","1268039.1640","2613009.6129","209.328"
"","","","","",""
