"Point","Type","Station","Northing","Easting","Elevation"
"","","","","",""
"0","","204+874.1","1269294.1221","2612071.5482","270.962"
"","","","","",""
"204+875","PC","204+875","1269294.7104","2612072.2293","270.975"
"","","","","",""
"204+880:1","PC","204+880","1269297.8953","2612076.0833","271.047"
"","","","","",""
"204+885:1","PC","204+885","1269300.9358","2612080.0523","271.120"
"","","","","",""
"204+890:1","PC","204+890","1269303.8276","2612084.1308","271.192"
"","","","","",""
"204+895","PC","204+895","1269306.5669","2612088.3134","271.265"
"","","","","",""
"204+900:3","PC","204+900","1269309.1498","2612092.5942","271.337"
"","","","","",""
"204+905","PC","204+905","1269311.5729","2612096.9675","271.410"
"","","","","",""
"204+910:1","PC","204+910","1269313.8329","2612101.4273","271.482"
"","","","","",""
"204+915:1","PC","204+915","1269315.9266","2612105.9675","271.555"
"","","","","",""
"204+920:1","PC","204+920","1269317.8513","2612110.5819","271.627"
"","","","","",""
"204+925","PC","204+925","1269319.6042","2612115.2643","271.700"
"","","","","",""
"BC1:2","BC","204+927.637","1269320.4619","2612117.7684","271.738"
"","","","","",""
"BC1:1","PC","204+927.647","1269320.4619","2612117.7684","271.738"
"","","","","",""
"204+930:2","PC","204+930","1269321.1831","2612120.0082","271.771"
"","","","","",""
"204+935","PC","204+935","1269322.5857","2612124.8071","271.835"
"","","","","",""
"204+940:1","PC","204+940","1269323.8101","2612129.6546","271.890"
"","","","","",""
"204+945:1","PC","204+945","1269324.8547","2612134.5439","271.935"
"","","","","",""
"204+950:1","PC","204+950","1269325.7181","2612139.4685","271.971"
"","","","","",""
"204+955","PC","204+955","1269326.3990","2612144.4217","271.999"
"","","","","",""
"204+960:2","PC","204+960","1269326.8965","2612149.3966","272.017"
"","","","","",""
"204+965","PC","204+965","1269327.2100","2612154.3864","272.026"
"","","","","",""
"204+970:1","PC","204+970","1269327.3391","2612159.3845","272.026"
"","","","","",""
"204+975:1","PC","204+975","1269327.2835","2612164.3839","272.017"
"","","","","",""
"204+980:1","PC","204+980","1269327.0433","2612169.3778","271.999"
"","","","","",""
"204+985","PC","204+985","1269326.6189","2612174.3595","271.971"
"","","","","",""
"204+990:2","PC","204+990","1269326.0108","2612179.3221","271.935"
"","","","","",""
"204+995","PC","204+995","1269325.2199","2612184.2589","271.890"
"","","","","",""
"205+000:2","PC","205+000","1269324.2472","2612189.1631","271.835"
"","","","","",""
"205+005:1","PC","205+005","1269323.0941","2612194.0280","271.771"
"","","","","",""
"205+010:1","PC","205+010","1269321.7622","2612198.8470","271.698"
"","","","","",""
"2","CS","205+014.027","1269320.5606","2612202.6903","271.633"
"","","","","",""
"205+015","SP","205+015","1269320.2530","2612203.6139","271.617"
"","","","","",""
"205+020:2","SP","205+020","1269318.5713","2612208.3223","271.526"
"","","","","",""
"205+025","SP","205+025","1269316.7266","2612212.9693","271.426"
"","","","","",""
"205+030:1","SP","205+030","1269314.7289","2612217.5527","271.316"
"","","","","",""
"205+035:1","SP","205+035","1269312.5884","2612222.0711","271.198"
"","","","","",""
"205+040:1","SP","205+040","1269310.3148","2612226.5241","271.071"
"","","","","",""
"205+045","SP","205+045","1269307.9178","2612230.9119","270.934"
"","","","","",""
"205+050:2","SP","205+050","1269305.4068","2612235.2355","270.789"
"","","","","",""
"205+055","SP","205+055","1269302.7908","2612239.4964","270.634"
"","","","","",""
"205+060:1","SP","205+060","1269300.0788","2612243.6969","270.471"
"","","","","",""
